rank	count	TAXON_URI
3=	1	http://biodiversity.org.au/afd.taxon/01fada43-e038-49e3-8532-d68c06ce7139
3=	1	http://biodiversity.org.au/afd.taxon/01fb3f0d-ea49-49f9-915f-85e4a5505663
3=	1	http://biodiversity.org.au/afd.taxon/01fb641e-e654-4a1f-b738-30af76ca3e36
3=	1	http://biodiversity.org.au/afd.taxon/01fbd344-2fb6-4b83-9b68-ff3c15a3302a
3=	1	http://biodiversity.org.au/afd.taxon/01fc7bb1-c608-466d-89fe-4027f17c34e0
3=	1	http://biodiversity.org.au/afd.taxon/01fde24c-9377-4460-a836-d3068c5c486c
3=	1	http://biodiversity.org.au/afd.taxon/0202f59c-3215-4d53-8a4a-e31053ecf640
3=	1	http://biodiversity.org.au/afd.taxon/02052dc7-f96e-4aec-a5ad-5ab97b631fe8
3=	1	http://biodiversity.org.au/afd.taxon/020dd48e-df2b-43b6-9a5b-a2af40dc5edd
3=	1	http://biodiversity.org.au/afd.taxon/020df75e-b6d4-4f35-afe3-c5d27e8a3811
3=	1	http://biodiversity.org.au/afd.taxon/0210e3c5-0902-4a90-b3b5-71f4fef64a04
3=	1	http://biodiversity.org.au/afd.taxon/0212ffcf-8d6f-48a5-b8a4-d8363bc79cf8
3=	1	http://biodiversity.org.au/afd.taxon/02159e4f-21ce-4371-8c2d-0b30b6b4513d
3=	1	http://biodiversity.org.au/afd.taxon/02201b9b-6b25-4a8e-b9fe-b092c4c858c6
3=	1	http://biodiversity.org.au/afd.taxon/0220810f-e05b-4a97-9e9a-4288122de1ae
3=	1	http://biodiversity.org.au/afd.taxon/02208690-2c60-4e42-a77c-9558b85daa40
3=	1	http://biodiversity.org.au/afd.taxon/0220cff5-d559-4d5f-9a64-3c6b509f7250
3=	1	http://biodiversity.org.au/afd.taxon/0222653a-611a-4ef3-bafb-42b5aac83171
3=	1	http://biodiversity.org.au/afd.taxon/0224650c-e1aa-4f4c-b71f-afaacb1beb9c
