rank	count	Latitude
567=	18	-3.60000
567=	18	-30.09500
567=	18	-33.01500
567=	18	-34.85058
567=	18	-37.63335
567=	18	-38.13534
567=	18	-41.24956
585=	17	-17.25000
585=	17	-18.63694
585=	17	-20.26922
585=	17	-22.31666
585=	17	-23.03333
585=	17	-23.23334
585=	17	-27.63010
585=	17	-29.60866
585=	17	-31.00000
585=	17	-32.70617
585=	17	-33.72415
585=	17	-33.75268
585=	17	-35.01666
585=	17	-35.60200
585=	17	-9.60000
585=	17	-9.90000
585=	17	0.52138
602=	16	-0.92944
602=	16	-10.27000
602=	16	-12.75000
602=	16	-15.47300
602=	16	-17.11666
602=	16	-22.24519
602=	16	-22.61611
602=	16	-22.97922
602=	16	-25.06666
602=	16	-27.07244
602=	16	-27.33300
602=	16	-27.35530
602=	16	-29.16269
602=	16	-31.44702
602=	16	-31.91500
602=	16	-35.01500
602=	16	-36.20000
602=	16	-7.38012
620=	15	-1.85000
620=	15	-19.15583
620=	15	-21.35572
620=	15	-22.19686
620=	15	-22.72694
620=	15	-23.05500
620=	15	-27.50400
620=	15	-28.95005
620=	15	-29.19661
620=	15	-29.52483
620=	15	-29.53227
620=	15	-29.57413
620=	15	-32.41372
620=	15	-32.73441
620=	15	-33.61520
620=	15	-34.74900
620=	15	-35.71668
620=	15	-36.50000
620=	15	-7.11670
639=	14	-11.36670
639=	14	-15.30177
639=	14	-15.81667
639=	14	-16.45000
639=	14	-16.59194
639=	14	-16.80000
639=	14	-16.81666
639=	14	-17.11667
639=	14	-17.25275
639=	14	-17.41836
639=	14	-2.66000
639=	14	-20.40077
639=	14	-22.26670
639=	14	-23.41600
639=	14	-27.70000
639=	14	-28.59100
639=	14	-28.91277
639=	14	-29.17625
639=	14	-29.62000
639=	14	-29.81666
639=	14	-29.99611
639=	14	-29.99963
639=	14	-30.07069
639=	14	-31.19679
639=	14	-32.53222
639=	14	-32.57620
639=	14	-33.44900
639=	14	-33.75000
639=	14	-33.89910
639=	14	-35.16000
639=	14	-35.29000
639=	14	-38.56668
639=	14	-6.00031
639=	14	-7.48300
639=	14	-8.10000
639=	14	-8.36667
639=	14	3.14100
676=	13	-10.80000
676=	13	-12.41666
676=	13	-15.70775
676=	13	-17.05369
676=	13	-17.33258
676=	13	-17.51441
676=	13	-17.56000
676=	13	-17.81451
676=	13	-21.59275
676=	13	-22.76867
676=	13	-22.96516
676=	13	-23.20000
676=	13	-27.83666
676=	13	-28.07100
676=	13	-28.11666
676=	13	-28.50000
676=	13	-29.04816
676=	13	-29.92068
676=	13	-30.05639
676=	13	-30.15146
676=	13	-30.26248
676=	13	-30.44600
676=	13	-31.56500
676=	13	-31.65169
676=	13	-31.78335
676=	13	-31.85800
676=	13	-32.68958
676=	13	-33.61777
676=	13	-33.96520
676=	13	-33.97064
676=	13	-34.03333
676=	13	-35.02300
676=	13	-35.11667
676=	13	-35.76339
676=	13	-36.45600
676=	13	-41.68000
676=	13	-5.48300
676=	13	-7.75000
714=	12	-0.86667
714=	12	-1.75000
714=	12	-10.43500
714=	12	-15.95000
714=	12	-17.26667
714=	12	-17.70083
714=	12	-17.94500
714=	12	-21.17888
714=	12	-21.59472
714=	12	-22.16144
714=	12	-22.72841
714=	12	-23.28366
714=	12	-24.40589
714=	12	-28.66200
714=	12	-3.26667
714=	12	-30.20327
714=	12	-31.52083
714=	12	-31.63716
714=	12	-31.80210
714=	12	-32.16800
714=	12	-33.10111
714=	12	-33.61625
714=	12	-35.02213
714=	12	-35.16520
714=	12	-35.26700
714=	12	-37.24204
714=	12	-42.91490
714=	12	-43.51878
714=	12	-5.92972
714=	12	-6.05194
714=	12	-8.76700
714=	12	-9.59400
714=	12	1.38389
714=	12	5.07000
714=	12	6.01777
749=	11	-1.66666
749=	11	-10.06670
749=	11	-10.11700
749=	11	-12.55000
749=	11	-12.70000
749=	11	-15.05000
749=	11	-16.02000
749=	11	-16.67361
749=	11	-17.28333
749=	11	-17.97000
749=	11	-19.81856
749=	11	-20.68333
749=	11	-20.95573
749=	11	-21.72002
749=	11	-22.30001
749=	11	-22.43425
749=	11	-22.47367
749=	11	-22.65001
749=	11	-26.26666
749=	11	-26.64315
749=	11	-27.17994
749=	11	-27.18877
749=	11	-27.38300
749=	11	-27.49000
749=	11	-27.97400
749=	11	-28.93200
749=	11	-29.16827
749=	11	-29.45068
749=	11	-29.51160
749=	11	-31.23333
749=	11	-31.25700
749=	11	-31.72200
749=	11	-32.35000
749=	11	-33.01750
749=	11	-33.09611
749=	11	-33.53000
749=	11	-34.28300
749=	11	-34.78333
749=	11	-36.45000
749=	11	-36.98596
749=	11	-4.33333
749=	11	-41.81038
749=	11	-6.58970
749=	11	-8.39361
749=	11	1.28333
749=	11	6.12480
795=	10	-14.66700
795=	10	-15.47000
795=	10	-16.15949
795=	10	-16.25000
795=	10	-17.01472
795=	10	-18.02336
795=	10	-18.09611
795=	10	-18.18333
795=	10	-19.92400
795=	10	-20.20933
795=	10	-22.38514
795=	10	-23.21953
795=	10	-24.65000
795=	10	-24.88965
795=	10	-26.49927
795=	10	-29.54497
795=	10	-29.55577
795=	10	-3.66000
795=	10	-30.06102
795=	10	-30.26667
795=	10	-31.26667
795=	10	-31.33100
795=	10	-31.50749
795=	10	-31.56666
795=	10	-32.00000
795=	10	-32.03333
795=	10	-32.11667
795=	10	-32.33698
795=	10	-32.56570
795=	10	-33.01916
795=	10	-33.45700
795=	10	-34.60001
795=	10	-34.91533
795=	10	-36.34900
795=	10	-37.29277
795=	10	-41.17801
795=	10	-42.07403
795=	10	-42.09995
795=	10	-5.16666
795=	10	-8.31666
795=	10	7.81361
836=	9	-0.84497
836=	9	-12.34000
836=	9	-12.38333
836=	9	-14.51600
836=	9	-15.97252
836=	9	-16.08333
836=	9	-16.42361
836=	9	-16.46667
836=	9	-16.81888
836=	9	-16.91666
836=	9	-17.05000
836=	9	-17.22056
836=	9	-17.42388
836=	9	-19.34533
836=	9	-20.39611
836=	9	-20.57805
836=	9	-20.93083
836=	9	-21.03333
836=	9	-22.08161
836=	9	-22.25800
836=	9	-22.47740
836=	9	-22.96088
836=	9	-23.37003
836=	9	-23.68333
836=	9	-23.70500
836=	9	-24.75000
836=	9	-25.53800
836=	9	-26.75346
836=	9	-27.65000
836=	9	-28.27172
836=	9	-29.01000
836=	9	-29.48558
836=	9	-29.50000
836=	9	-29.55080
836=	9	-29.57676
836=	9	-3.60706
836=	9	-30.09758
836=	9	-30.16430
836=	9	-30.43334
836=	9	-31.58918
836=	9	-32.45000
836=	9	-32.48700
836=	9	-32.86402
836=	9	-33.65100
836=	9	-33.90674
836=	9	-34.22000
836=	9	-35.11800
836=	9	-35.98818
836=	9	-37.60000
836=	9	-42.27722
836=	9	-7.20472
836=	9	-8.13591
836=	9	-8.16666
836=	9	-9.26028
836=	9	5.98830
891=	8	-1.58333
891=	8	-10.29000
891=	8	-10.78333
891=	8	-12.66028
891=	8	-13.83333
891=	8	-14.31054
891=	8	-15.47863
891=	8	-16.40000
891=	8	-16.58333
891=	8	-17.02652
891=	8	-17.05197
891=	8	-17.15700
891=	8	-17.26390
891=	8	-17.27100
891=	8	-17.36519
