rank	count	Host photo
94=	63	http://research.amnh.org/pbi/specimen/pbi_wa04_l49_h303.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l49_h303_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l49_h303_05.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l49_h303_06.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l49h303.jpg
94=	63	http://research.amnh.org/pbi/specimen/wa%201996%20l45%20h136.jpg
96=	62	http://research.amnh.org/pbi/specimen/tas04l07h10c.jpg;http://research.amnh.org/pbi/specimen/tas04l07h10b.jpg;http://research.amnh.org/pbi/specimen/tas04l07h10a.jpg
96=	62	http://research.amnh.org/pbi/specimen/wa%201996%20l15%20h038.jpg
96=	62	http://research.amnh.org/pbi/specimen/wa%201996%20l24%20h084.jpg
96=	62	http://research.amnh.org/pbi/specimen/wa%201996%20l28%20h096.jpg;
96=	62	http://research.amnh.org/pbi/specimen/wa%201996%20l28%20h101.jpg
96=	62	http://research.amnh.org/pbi/specimen/wa%201997%20l19%20h047.jpg
96=	62	http://research.amnh.org/pbi/specimen/wa1999%20l49%20h157.jpg
103=	61	http://research.amnh.org/pbi/specimen/nsw%201995%20l39%20h065.jpg
103=	61	http://research.amnh.org/pbi/specimen/wa%201996%20l26%20h087.jpg
103=	61	http://research.amnh.org/pbi/specimen/wa1999%20l57%20h188.jpg
106=	60	http://research.amnh.org/pbi/specimen/wa%201996%20l02%20h005b.jpg;http://research.amnh.org/pbi/specimen/wa%201996%20l02%20h005.jpg
106=	60	http://research.amnh.org/pbi/specimen/wa1999%20l42%20h134.jpg
108=	58	http://research.amnh.org/pbi/specimen/nsw%201995%20l45%20h073.jpg
108=	58	http://research.amnh.org/pbi/specimen/pbi_wa04l06h58.jpg;http://research.amnh.org/pbi/specimen/wa04l6h58a.jpg;http://research.amnh.org/pbi/specimen/wa04l6h58b.jpg
108=	58	http://research.amnh.org/pbi/specimen/wa%201996%20l15%20h039.jpg
111=	57	http://research.amnh.org/pbi/specimen/wa%201997%20l18%20h045.jpg;
111=	57	http://research.amnh.org/pbi/specimen/wa1999%20l57%20h191.jpg
113=	56	http://research.amnh.org/pbi/specimen/nsw%201995%20l34%20h052.jpg
113=	56	http://research.amnh.org/pbi/specimen/nsw%201995%20l74%20h110.jpg;
113=	56	http://research.amnh.org/pbi/specimen/wa%201996%20l56%20h159.jpg
113=	56	http://research.amnh.org/pbi/specimen/wa%201997%20l05%20h017.jpg
117	55	http://research.amnh.org/pbi/specimen/nsw%201995%20l65%20h102.jpg
118	52	http://research.amnh.org/pbi/specimen/wa%201997%20l55%20h105.jpg;
119=	51	http://research.amnh.org/pbi/specimen/wa%201996%20l28%20h100.jpg;
119=	51	http://research.amnh.org/pbi/specimen/wa1999%20l69%20h214.jpg
121	49	http://research.amnh.org/pbi/specimen/wa%201996%20l28%20h097.jpg
122=	48	http://research.amnh.org/pbi/specimen/pbi_wa04_l53_h335_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l53_hc335.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l53_hc335_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l53_hc335_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l53_hc335_03.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l53h335.jpg
122=	48	http://research.amnh.org/pbi/specimen/wa1999%20l51%20h170.jpg
