rank	count	UID
1=	1	105554
1=	1	105555
1=	1	105556
1=	1	105558
1=	1	105559
1=	1	105560
1=	1	105561
1=	1	105562
1=	1	105563
1=	1	105564
1=	1	105566
1=	1	105567
1=	1	105568
1=	1	105570
1=	1	105571
1=	1	105573
1=	1	105574
1=	1	105575
1=	1	105577
1=	1	105578
1=	1	105579
1=	1	105581
1=	1	105583
1=	1	105585
1=	1	105586
1=	1	105588
1=	1	105591
1=	1	1055935
1=	1	1055936
1=	1	1055937
1=	1	105608
1=	1	105609
1=	1	105610
1=	1	105611
1=	1	105612
1=	1	105613
1=	1	105614
1=	1	105615
1=	1	105616
1=	1	105617
1=	1	105618
1=	1	105619
1=	1	105620
1=	1	105621
1=	1	105622
1=	1	105623
1=	1	105624
1=	1	105625
1=	1	105626
1=	1	105627
1=	1	105628
1=	1	105629
1=	1	105630
1=	1	105631
1=	1	105632
1=	1	105633
1=	1	105634
1=	1	105635
1=	1	105636
1=	1	105637
1=	1	105638
1=	1	105639
1=	1	105640
1=	1	105641
1=	1	105642
1=	1	105643
1=	1	105644
1=	1	105645
1=	1	105646
1=	1	105647
1=	1	105648
1=	1	105649
1=	1	105650
1=	1	105651
1=	1	105652
1=	1	105653
1=	1	105654
1=	1	105655
1=	1	105656
1=	1	105657
1=	1	105658
1=	1	105659
1=	1	105660
1=	1	105661
1=	1	105662
1=	1	105663
1=	1	105664
1=	1	105665
1=	1	105666
1=	1	105667
1=	1	105668
1=	1	105669
1=	1	105670
1=	1	105671
1=	1	105681
1=	1	105684
1=	1	105687
1=	1	105689
1=	1	105727
1=	1	105728
1=	1	105729
1=	1	105730
1=	1	105731
1=	1	105732
1=	1	105734
1=	1	105735
1=	1	105736
1=	1	105737
1=	1	105738
1=	1	105739
1=	1	105740
1=	1	105741
1=	1	105742
1=	1	105743
1=	1	105744
1=	1	105745
1=	1	105746
1=	1	105747
1=	1	105748
1=	1	105749
1=	1	105750
1=	1	105751
1=	1	105752
1=	1	105753
1=	1	105754
1=	1	105755
1=	1	105756
1=	1	105757
1=	1	105758
1=	1	105759
1=	1	105760
1=	1	105761
1=	1	105762
1=	1	105763
1=	1	105764
1=	1	105765
1=	1	105766
