rank	count	Locality photo
69	15	http://research.amnh.org/pbi/specimen/ca01l20.jpg
70	14	http://research.amnh.org/pbi/specimen/pbinsw05_l4h4_02.jpg
71	11	http://research.amnh.org/pbi/specimen/ca01l18.jpg;http://research.amnh.org/pbi/specimen/ca01l18c.jpg;http://research.amnh.org/pbi/specimen/ca01l18d.jpg;http://research.amnh.org/pbi/specimen/ca01l18b.jpg
72	8	http://research.amnh.org/pbi/specimen/wa99l02h5c.jpg
73=	7	http://research.amnh.org/pbi/specimen/pbiwa04_l38.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l38_01.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l38_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l38_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l38_04.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l38_05.jpg
73=	7	http://research.amnh.org/pbi/specimen/pbiwa04_nearl51.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_01.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_04.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_nearl51_05.jpg
73=	7	http://research.amnh.org/pbi/specimen/wa99l17a.jpg;
76=	6	http://research.amnh.org/pbi/specimen/pbinsw05_l13h2_03.jpg
76=	6	http://research.amnh.org/pbi/specimen/pbiwa04l18.jpg
76=	6	http://research.amnh.org/pbi/specimen/wa04l7.jpg;
76=	6	http://research.amnh.org/pbi/specimen/wa99l07.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29d.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29g.jpg;
80=	5	http://research.amnh.org/pbi/specimen/ca01l24c.jpg;http://research.amnh.org/pbi/specimen/ca01l24b.jpg;http://research.amnh.org/pbi/specimen/ca01l24a.jpg
80=	5	http://research.amnh.org/pbi/specimen/pbiqld05_l4h4a.jpg
80=	5	http://research.amnh.org/pbi/specimen/tas04l37a.jpg;http://research.amnh.org/pbi/specimen/tas04l37b.jpg;http://research.amnh.org/pbi/specimen/tas04l37c.jpg
80=	5	http://research.amnh.org/pbi/specimen/wa99l27b.jpg;
84=	4	http://research.amnh.org/pbi/specimen/pbi_ncal05_l13.jpg
84=	4	http://research.amnh.org/pbi/specimen/pbi_ncal05_l53.jpg
84=	4	http://research.amnh.org/pbi/specimen/pbiqld05_l2h2a.jpg
84=	4	http://research.amnh.org/pbi/specimen/wa99l29a.jpg;http://research.amnh.org/pbi/specimen/wa99l29b.jpg;http://research.amnh.org/pbi/specimen/wa99l29h104e.jpg;
88=	3	http://research.amnh.org/pbi/specimen/ca01h128c.jpg;
88=	3	http://research.amnh.org/pbi/specimen/ca01l52.jpg
88=	3	http://research.amnh.org/pbi/specimen/wa99l02h5c.jpg;
88=	3	http://research.amnh.org/pbi/specimen/wa99l33c.jpg;
92=	2	http://research.amnh.org/pbi/specimen/pbi_ncal05_l08.jpg
92=	2	http://research.amnh.org/pbi/specimen/wa99l05a.jpg;
94=	1	http://research.amnh.org/pbi/specimen/ca01l23a.jpg
94=	1	http://research.amnh.org/pbi/specimen/pbi_ncal05_l09.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l09_01.jpg
94=	1	http://research.amnh.org/pbi/specimen/pbi_ncal05_l35.jpg
94=	1	http://research.amnh.org/pbi/specimen/pbiqld05_l5h5a.jpg
94=	1	http://research.amnh.org/pbi/specimen/pbiwa04_l30_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30_04.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30ish.jpg
94=	1	http://research.amnh.org/pbi/specimen/wa99l02h5c.jpg;;
94=	1	http://research.amnh.org/pbi/specimen/wa99l04b_cassis_collecting.jpg;
94=	1	http://research.amnh.org/pbi/specimen/wa99l12a.jpg;http://research.amnh.org/pbi/specimen/wa99l12h43b.jpg;
94=	1	http://research.amnh.org/pbi/specimen/wa99l39a.jpg;

62083	TOTAL
