rank	count	Coll. end date
341=	1	1981-03-20
341=	1	1981-03-26
341=	1	1981-03-27
341=	1	1981-05-05
341=	1	1981-10-08
341=	1	1981-10-24
341=	1	1982-01-16
341=	1	1982-04-22
341=	1	1982-06-29
341=	1	1982-08-10
341=	1	1982-09-13
341=	1	1982-10-07
341=	1	1983-01-28
341=	1	1983-05-11
341=	1	1983-05-29
341=	1	1983-08-04
341=	1	1984-02-10
341=	1	1984-03-07
341=	1	1984-08-28
341=	1	1984-11-10
341=	1	1984-11-15
341=	1	1984-11-18
341=	1	1984-12-02
341=	1	1984-12-03
341=	1	1984-12-17
341=	1	1985-01-28
341=	1	1985-05-16
341=	1	1985-10-09
341=	1	1985-10-27
341=	1	1985-11-08
341=	1	1985-12-06
341=	1	1986-01-25
341=	1	1986-01-31
341=	1	1986-02-03
341=	1	1986-10-23
341=	1	1986-11-14
341=	1	1986-11-27
341=	1	1986-11-30
341=	1	1986-12-01
341=	1	1987-01-11
341=	1	1987-03-31
341=	1	1987-11-24
341=	1	1987-12-07
341=	1	1987-12-10
341=	1	1988-05-25
341=	1	1988-08-28
341=	1	1988-11-09
341=	1	1988-12-13
341=	1	1988-12-19
341=	1	1988-12-30
341=	1	1989-01-17
341=	1	1989-09-03
341=	1	1989-12-19
341=	1	1990-01-07
341=	1	1990-01-14
341=	1	1990-01-16
341=	1	1990-01-26
341=	1	1990-09-15
341=	1	1990-10-28
341=	1	1991-01-08
341=	1	1991-02-28
341=	1	1991-10-08
341=	1	1991-10-20
341=	1	1991-11-23
341=	1	1991-12-06
341=	1	1991-12-13
341=	1	1992-01-26
341=	1	1992-02-12
341=	1	1992-04-03
341=	1	1993-06-11
341=	1	1994-02-25
341=	1	1995-04-23
341=	1	1995-12-09
341=	1	1995-12-14
341=	1	1996-03-16
341=	1	1996-08-28
341=	1	1997-04-09
341=	1	1998-04-26
341=	1	1998-08-31
341=	1	1998-09-19
341=	1	1998-12-07
341=	1	1998-12-15
341=	1	1999-04-27
341=	1	1999-05-16
341=	1	1999-06-12
341=	1	1999-10-23
341=	1	1999-12-15
341=	1	1999-12-17
341=	1	1999-12-21
341=	1	2000-12-08
341=	1	2001-09-23
341=	1	2001-12-14
341=	1	2002-04-14
341=	1	2002-09-07
341=	1	2002-09-09
341=	1	2003-02-08
341=	1	2003-07-01
341=	1	2004-02-13
341=	1	2004-04-19
341=	1	2004-04-29
341=	1	2004-11-23
341=	1	2005-02-04
341=	1	2005-12-26
341=	1	2006-01-13
341=	1	2006-01-22
341=	1	2006-01-29
341=	1	2007-11-04

62083	TOTAL
