rank	count	Collector
450=	4	L. Larivière
450=	4	L. S. Calder
450=	4	Lippens
450=	4	M. Cheng &#38; D. Azzi
450=	4	M. Driessen
450=	4	Monteith, Thompson, Cook
450=	4	N. Howcroft
450=	4	O. Milton
450=	4	P. B. Carne
450=	4	P. Cochereau
450=	4	Pitjantjatjara Lands Survey
450=	4	Pitjantjatjara Landssur
450=	4	Ponomarenko
450=	4	R. Eastwood, A. McArthur
450=	4	R. G. Wind
450=	4	S. Barker
450=	4	South Para Surv BAR006
450=	4	T. Woodger
450=	4	Tawi
450=	4	Teiso Esaki
450=	4	Tepper
450=	4	V. V. Hickman
450=	4	W. A. Smith
450=	4	W. A. T. Summerville
450=	4	W. Kent
450=	4	W. W. Wirth
450=	4	Woods &#38; Forrests
513=	3	A. Beal
513=	3	A. F. Perkins
513=	3	A. Kowanko
513=	3	A. Macqueen
513=	3	A. N. McFarland
513=	3	A. Tomour
513=	3	B. Daily
513=	3	B. Day and P. Serov
513=	3	Britton &#38; Uther Baker
513=	3	C. Collins
513=	3	Cassis &#38; Silveira
513=	3	DPI QLD
513=	3	E. Gasso Miracle
513=	3	E. Hardy
513=	3	E. Matthews &#38; G. F. Gross
513=	3	E. Schicha
513=	3	E. Schmidt
513=	3	F. A. Perkins
513=	3	G. C. Gregory
513=	3	G. H. Hardy
513=	3	G. R. Brown
513=	3	G. R. Hill
513=	3	G.E.H. Wright
513=	3	G.F. Hevel and J.A. Fortin
513=	3	H. James
513=	3	H. M. Hale
513=	3	H. M. Pendlebury
513=	3	I. Naumann
513=	3	I.D. Buddle
513=	3	J &#38; P Hasenpusch
513=	3	J. A. Forrest &#38; D. Hirst
513=	3	J. H. B.
513=	3	J. H. Barrett
513=	3	J. Krikken
513=	3	J. Lawrence &#38; T. Weir
513=	3	J. Lawrence, T. Weir, M-L. Johnson
513=	3	J. V. Peters
513=	3	J. W. Beardsley
513=	3	J.W.B.
513=	3	K. Halfpapp &#38; S. de Faveri
513=	3	K. Houston &#38; E. Hamacek
513=	3	K.L. Maehler
513=	3	L. F. Graham
513=	3	L. Roberts
513=	3	L.J. Lipovsky
513=	3	Lea &#38; Wilson
513=	3	M. &#38; J. Shaw
513=	3	M. A. Schneider and G. Daniels
513=	3	M. Cheng &#38; I. England
513=	3	M. Cheng, R. Kittel &#38; C. Levy
513=	3	M. Hannah &#38; D. Wilson
513=	3	M. S. &#38; B. J. Moulds &#38; K. A. Kopestonsky
513=	3	M. S. Upton &#38; J. Feehan
513=	3	M.J. Dudzinski
513=	3	N. E. H. Caldwell
513=	3	N. McFarland &#38; T. Newbery
513=	3	N. Reygaert
513=	3	P. A. Adams
513=	3	P. D. Rossiter
513=	3	Qld. Mus. &#38; ANZSES
513=	3	R. Hazali
513=	3	R. L. Brown
513=	3	R. P. McMillan &#38; T. F. Houston
513=	3	R. Patterson
513=	3	R. Strastman
513=	3	R. Wharton and J. Bracken
513=	3	R.G Oakley
513=	3	Rev. L. Wagner
513=	3	S. Doyle
513=	3	S. J. Paramonov
513=	3	S. M. Slack-Smith
513=	3	T. Campbell and E. Adams
513=	3	T. Vernon
513=	3	T. Weir &#38; N. Forrester
513=	3	T. Weir &#38; T. Angeles
513=	3	Upton &#38; Feehan
513=	3	Upton &#38; McInnes
513=	3	W. Driscoll
513=	3	W. J. M. Vestjens
592=	2	A. A. Gerault
592=	2	A. C. Eyles and R. P. Macfarlane
592=	2	A. Catley
592=	2	A. Douglas
592=	2	A. J. Turner
592=	2	A. M. Douglas &#38; L. N. McKenna
592=	2	A. N. Gillogly &#38; S. Keenan
592=	2	A. Newton &#38; M. Thayer
592=	2	A. Newtown &#38; M. Thayer
592=	2	A. Simson
592=	2	A. Slater
592=	2	A.K. Walker
592=	2	A.M. Lea and wife
592=	2	B. Cameron
592=	2	B. Cowell
592=	2	B. Gray
592=	2	B. M. Waterhouse
592=	2	B.P. Hanich et al.
592=	2	Britton, Upton, and Balderson
592=	2	C. F.  Baker
592=	2	C. F. Butcher
592=	2	C. G. Roche
592=	2	C. H. Watts
592=	2	C. Lambkin &#38; G. Monteith
592=	2	C. Speed
592=	2	C. Symonds &#38; R. Leijs
592=	2	C. Yoshimoto and N.L.H. Krauss
592=	2	C. v. Achterberg
592=	2	C.N. and A.S. Smithers
592=	2	C.W. Sabrosky
592=	2	Carter &#38; Lea
592=	2	Cook and Monteith
592=	2	D. Colless and Z. Liepa
592=	2	D. G. Hall
592=	2	D. Hyatt &#38; G. A. Holloway
592=	2	D. J. Wimbish
592=	2	D. K. Hood
592=	2	D. K. McAlpine &#38; K. C. Khoo
592=	2	D. S. Kent &#38; S. M. Smith
592=	2	D.K. McAlpine and R. Meier
592=	2	Demarz
592=	2	Dodd
592=	2	E. Exley &#38; R. Storey
592=	2	E. L. Jones
592=	2	E. Miller
592=	2	E. O. Wilson
592=	2	E. S. Nielson &#38; E. D. Edwards
592=	2	E. Sutton
592=	2	E.J. Ford, Jnr
592=	2	F. A. Gibson
592=	2	F. H. Hobler
592=	2	G. A. Holloway &#38; H. Hughes
592=	2	G. Daniels
592=	2	G. H. Lowe
592=	2	G. K. Waite
592=	2	G. R. Brown &#38; A. E. Westcott
592=	2	G. and A. Daniels
592=	2	G. and B. Williams
592=	2	G.A. Samuelson
592=	2	G.A. Williams
592=	2	H. J.
592=	2	H. K. C. Mair
592=	2	H. Mincham
592=	2	H. Perona
592=	2	H. Roberts
592=	2	H. W. Davey
592=	2	H.G. Greening
592=	2	H.K. Townes
592=	2	I.D.Naumann &#38; P. Zborowski
592=	2	I.F.B. Common &#38; E.D. Edwards
592=	2	J. A. Cardale
592=	2	J. A. Kusche
592=	2	J. B. Williams
592=	2	J. Balciunas
592=	2	J. Forrest &#38; G. Baker
592=	2	J. Gribodo
592=	2	J. Ozols
592=	2	J.M. Barrett
592=	2	J.R. Hanley
592=	2	K. K. B.
592=	2	K.L.S. Harley
592=	2	K.M. Wynn
592=	2	L Quate &#38; C. Yoshimoto
592=	2	L. Gamble
592=	2	L. Haren
592=	2	L. Mound
592=	2	L. N. McKenna
592=	2	L.J. Boutin
592=	2	L.J. Newman
592=	2	Lea &#38; Carter
592=	2	Lucht
592=	2	M. Allen
592=	2	M. Bulbert
592=	2	M. Bulbert &#38; S. Lassau
592=	2	M. Cheng &#38; C. Levy
592=	2	M. Cheng, S. Perkins &#38; G.S. Taylor
592=	2	M. D. Schwartz
592=	2	M. Gray &#38; G. Cassis
592=	2	M. Irwin &#38; E. I. Schlinger
592=	2	M. J. Fletcher &#38; G. R. Brown
592=	2	M. Mendum
592=	2	M. Stevens
592=	2	M.Bulbert, N.Tatarnic &#38; D.Britton
592=	2	M.K. Kamath, G.A and S.L. Samuelson
592=	2	M.S. &#38; B.J. Moulds
592=	2	M.S. Harvey
592=	2	Mathur
592=	2	Matthew Binns
592=	2	McAlpine, Holloway, Sands
592=	2	Monteith &#38; ANZSES
592=	2	Monteith &#38; Wright
592=	2	Monteith, Cook, Roberts
592=	2	Monteith, Sheridan, Roberts
592=	2	Monteith, Thompson &#38; Sheridan
592=	2	Mr. A. Snell
592=	2	N. E. Stork
592=	2	N. G. Crawford
592=	2	N. Heron
592=	2	Nickolson
592=	2	O. M. Williams
592=	2	P. D. Montague
592=	2	P. Dyer
592=	2	P. Lawless
592=	2	P. Roche
592=	2	P. S. Cranston
592=	2	P.F. Darlington
592=	2	R. E. Johnstone
592=	2	R. H. Broadley
592=	2	R. Harris &#38; H. Smith
592=	2	R. Harvey
592=	2	R. J. Burton
592=	2	R. Kumar
592=	2	R. Lever
592=	2	R. Q. Chalmers
592=	2	R. S. McInnes
592=	2	R. Silveira and M. Elliott
592=	2	R. Wicks and G. White
592=	2	R. Witchard
592=	2	R. de Keyzer
592=	2	R. de Keyzer, G. Clark
592=	2	R.Wharton
592=	2	RV Southcott, JH Barnes
592=	2	Ross and Cavagnaro
592=	2	S. G. Wright
592=	2	S. Kadarsan
592=	2	S. Misko
592=	2	S.E.G. Fleurieu
592=	2	South Australian Museum
592=	2	Storey &#38; Brown
592=	2	Storey &#38; Titmarsh
592=	2	T. Dikow, R. Meier
592=	2	T. F. Houston &#38; B. P. Hanich
592=	2	T. Hands
592=	2	W. A. Head
592=	2	W. J. Sloan
592=	2	W. K. Hughes
592=	2	W. Martin
592=	2	W.F. Chamberlain
592=	2	Wilfred Crabb
592=	2	leg. H. Demarz
752=	1	A. Ailwood
752=	1	A. Allwood
752=	1	A. Baynes
752=	1	A. Calder &#38; W. Dressler
752=	1	A. Camminy
752=	1	A. Chittleborough
752=	1	A. G. Barrie
752=	1	A. Graham
752=	1	A. H. G. Alston
752=	1	A. J. Perberdy
752=	1	A. Jones
752=	1	A. Kirejtschuk
752=	1	A. M. Lea and C. T. McNamara
752=	1	A. Mayor
752=	1	A. Mullins
752=	1	A. Musgrave &#38; T.G. Campbell
752=	1	A. Musgrave and Aust. Mus. Party
752=	1	A. N. Gillogly
752=	1	A. P. D.
752=	1	A. R. Bird
752=	1	A. Singh
752=	1	A. Sollaart
752=	1	A. Sundholm and A. Scott
752=	1	A. Terauda
752=	1	A. White
752=	1	A. Zwick, A. Slipinski, and K. Pullen
752=	1	A.C. Arvier
752=	1	A.D. Hart
752=	1	A.H. Voyce and J.L. Gressitt
752=	1	A.M. Douglas
752=	1	Akhmet'ev
752=	1	Armstrong
752=	1	B. A. Jones
752=	1	B. A. O'Connor
752=	1	B. Fleanders
752=	1	B. Given
752=	1	B. H. Kay
752=	1	B. Hanich and T. F. Houston
752=	1	B. Hocking
752=	1	B. I. P. Barratt
752=	1	B. Leonard
752=	1	B.J. Loudon &#38; J.A. Humphreys
752=	1	Blackb's
752=	1	Brand &#38; Allen
752=	1	Bryant &#38; Palmer
752=	1	Burwell, Wright, Seeman
752=	1	C. Barrett
752=	1	C. Brocks
752=	1	C. G. Brooks
752=	1	C. Hembrow
752=	1	C. Le Soeuf
752=	1	C. N. Smithers &#38; J. V. Peters
752=	1	C. N. Smithers &#38; R. S. Smithers
752=	1	C. Oke
752=	1	C. Symonds &#38; G. Cassis
752=	1	C. T. Brues
752=	1	C. T. McNamara
752=	1	C. Watts
752=	1	C. Wilson &#38; S. Collins
752=	1	C.J. Burwell and S. Wright
752=	1	C.J. Burwell, S. Evans
752=	1	C.J. Louwerens
752=	1	C.L. Remington
752=	1	C.W. Sabroaky
752=	1	CB
752=	1	Canobolas
752=	1	Carter &#38; Deane
752=	1	Christie, Flemons &#38; Elliott
752=	1	D. Bicker &#38; G. Cassis
752=	1	D. G. Sheddey
752=	1	D. Horan
752=	1	D. J. Bickel
752=	1	D. K. McAlpine &#38; G. A. Holloway
752=	1	D. Lewis
752=	1	D. V. Lacis
752=	1	D.K. McAlpine and M.A. Schneider
752=	1	DAF
752=	1	DJ Cook
752=	1	Danish Expedition
752=	1	E. B. Britton &#38; F. H. Uther Baker
752=	1	E. B. Teh
752=	1	E. Britton &#38; U. Baker
752=	1	E. C. Dahms &#38; G. Sarnes
752=	1	E. E. Taylor
752=	1	E. I. Schlinger
752=	1	E. Kobelt
752=	1	E. Lewis
752=	1	E. M. Exley &#38; R. I. Storey
752=	1	E. Nielsen, G. Clark
752=	1	E. W. Fischer
752=	1	E. Warwick
752=	1	E.B. Britton and N. Tindale
752=	1	E.S. Reye &#38; M. B. Wilson
752=	1	ENE &#40;?&#41;
752=	1	F. G. Wilson
752=	1	F. J. D. Mcdonald
752=	1	F. L. Billinghurst
752=	1	F. P. Dodd &#38; Sons
752=	1	F.J.D. McDonald
752=	1	Feuerheerdt
752=	1	Flinders Ra Survey
752=	1	Foxy McCoy
752=	1	G. A. Holloway &#38; C. N. Smithers
752=	1	G. B. Monteith, D. K. Yeates
752=	1	G. Ettershank
752=	1	G. F. Gross &#38; D. V. Lacis
752=	1	G. Flanagan &#38; H. Brown
752=	1	G. Griffin
752=	1	G. Hangay
752=	1	G. Heron
752=	1	G. Hiroshima et al.
752=	1	G. M. Chamberlain
752=	1	G. S. McCutcheon
752=	1	G. Sanders
752=	1	G. Saunders
752=	1	G. Theischinger
752=	1	G. W. Anderson
752=	1	G., J. &#38; A. Holloway
