rank	count	Longitude
1724=	2	145.32452
1724=	2	145.35001
1724=	2	145.35700
1724=	2	145.43333
1724=	2	145.45329
1724=	2	145.48389
1724=	2	145.50482
1724=	2	145.50961
1724=	2	145.51800
1724=	2	145.56841
1724=	2	145.56984
1724=	2	145.60679
1724=	2	145.62240
1724=	2	145.62694
1724=	2	145.67800
1724=	2	145.75805
1724=	2	145.77169
1724=	2	145.79000
1724=	2	145.84100
1724=	2	145.85944
1724=	2	145.90100
1724=	2	145.94000
1724=	2	145.94500
1724=	2	146.01666
1724=	2	146.06950
1724=	2	146.15500
1724=	2	146.18333
1724=	2	146.22833
1724=	2	146.32450
1724=	2	146.36000
1724=	2	146.40100
1724=	2	146.62333
1724=	2	146.70000
1724=	2	146.73100
1724=	2	146.77050
1724=	2	146.77700
1724=	2	146.79695
1724=	2	146.80000
1724=	2	146.81789
1724=	2	146.85080
1724=	2	146.88200
1724=	2	146.91200
1724=	2	146.99694
1724=	2	147.06150
1724=	2	147.11667
1724=	2	147.13330
1724=	2	147.13333
1724=	2	147.15357
1724=	2	147.22972
1724=	2	147.49000
1724=	2	147.58333
1724=	2	147.70416
1724=	2	147.81500
1724=	2	147.84820
1724=	2	147.86080
1724=	2	147.87166
1724=	2	147.98833
1724=	2	148.00331
1724=	2	148.14530
1724=	2	148.23335
1724=	2	148.26490
1724=	2	148.27600
1724=	2	148.31666
1724=	2	148.35833
1724=	2	148.47960
1724=	2	148.50700
1724=	2	148.76326
1724=	2	148.76666
1724=	2	148.80000
1724=	2	148.91500
1724=	2	148.93300
1724=	2	148.94000
1724=	2	148.94700
1724=	2	148.98694
1724=	2	148.98780
1724=	2	149.10913
1724=	2	149.11150
1724=	2	149.12527
1724=	2	149.14399
1724=	2	149.15547
1724=	2	149.16667
1724=	2	149.23000
1724=	2	149.29001
1724=	2	149.36350
1724=	2	149.37361
1724=	2	149.39290
1724=	2	149.46670
1724=	2	149.52000
1724=	2	149.67358
1724=	2	149.75120
1724=	2	149.78333
1724=	2	149.80685
1724=	2	149.83500
1724=	2	149.94849
1724=	2	149.94850
1724=	2	149.95120
1724=	2	150.04818
1724=	2	150.05000
1724=	2	150.09000
1724=	2	150.11777
1724=	2	150.13500
1724=	2	150.18390
1724=	2	150.35100
