rank	count	Host name
132	94	Pityrodia cuneata
133	92	Calytrix glutinosa
134=	91	Hibbertia serrata
134=	91	Melaleuca ericifolia
134=	91	Pericalymma ellipticum var. ellipticum
137=	90	Eucalyptus sp.
137=	90	Geijera parviflora
137=	90	Heliotropium ammophilum
137=	90	Melaleuca laetifica
141	89	Eremophila miniata
142=	88	Agonis linearifolia
142=	88	Calytrix tetragona
142=	88	Coopernookia strophiolata
142=	88	Leptospermum coriaceum
146=	87	Acacia longifolia
146=	87	Allocasuarina sp.
146=	87	Baeckea sp.
146=	87	Pimelea axiflora
150	86	Pimelea sylvestris
151=	85	Conospermum stoechadis
151=	85	Grevillea juncifolia
151=	85	Salsola kali subsp. tragus
154	84	Beaufortia micrantha
155=	83	Atriplex nummularia subsp. omissa
155=	83	Beyeria lechenaultii
155=	83	Cordia dichotoma
155=	83	Melaleuca systena
159=	82	Actinostrobus arenarius
159=	82	Eremophila spuria
161	81	Eremophila crenulata
162=	80	Callitris tuberculata
162=	80	Melaleuca sp.
164	79	Chenopodium auricomum
165=	78	Azalea
165=	78	Grevillea macrostylis
165=	78	Jacksonia sternbergiana
165=	78	Thryptomene sp.
169=	77	Baeckea pentagonantha
169=	77	Cocos nucifera
169=	77	Newcastelia cephalantha
172	76	Acacia sclerosperma subsp. sclerosperma
173	75	Alectryon oleifolius
174	74	Callitris sp.
175=	73	Amyema quandang var. quandang
175=	73	Callitris rhomboidea
175=	73	Hakea cygna subsp. cygna
178=	72	Acacia pinguiculosa subsp. teretifolia
178=	72	Citrus sp.
180	71	Eremophila latrobei
181=	70	Conospermum wycherleyi subsp. glabrum
181=	70	Melaleuca teuthidoides
181=	70	Melaleuca viminea
184=	69	Amyema lucasii
184=	69	Atriplex amnicola
184=	69	Citrus sinensis
184=	69	Triodia rigidissima
188=	68	Astrotricha latifolia
188=	68	Grevillea cagiana
188=	68	Scaevola ovalifolia
188=	68	Spyridium vexilliferum
192	67	Malleostemon tuberculatus
193	66	Grevillea juncifolia subsp. juncifolia
194=	65	Acacia decurrens
194=	65	Camellia japonica
194=	65	Verticordia monadelpha
197=	64	Bossiaea disticha
197=	64	Eremophila glabra subsp. albicans
197=	64	Rhagodia preissii subsp. obovata
197=	64	Solanum ellipticum
201=	63	Amyema miquelii
201=	63	Helichrysum sp.
201=	63	Solanum sp.
204=	62	Cycas revoluta
204=	62	Hakea adnata
204=	62	Lomandra longifolia
204=	62	Scholtzia sp.
208=	61	Calytrix acutifolia
208=	61	Ozothamnus hookeri
210=	60	Babingtonia behrii
210=	60	Conospermum teretifolium
210=	60	Dampiera incana var. incana
213	59	Ozothamnus ferrugineus
214=	58	Calytrix brevifolia
214=	58	Eremophila forrestii
214=	58	Ixiolaena leptolepis
217=	57	Acacia enervia subsp. enervia
217=	57	Adenanthos cygnorum subsp. cygnorum
217=	57	Halosarcia indica subsp. bidens_delete
217=	57	Nephrolepis biserrata
217=	57	Notelaea microcarpa
217=	57	Scholtzia cordata
223=	56	Beyeria sp.
223=	56	Chrysocephalum eremaeum
223=	56	Cyperus gymnocaulos
223=	56	Melaleuca undulata
227=	54	Cassytha racemosa
227=	54	Eremophila oldfieldii oldfieldii
227=	54	Ilex cornuta
230=	53	Hakea mitchellii
230=	53	Melaleuca megacephala
232=	52	Baeckea elderiana
232=	52	Cassinia sp.
232=	52	Chionanthus ramiflorus
232=	52	Eremophila willsii
232=	52	Hibbertia cuneiformis
232=	52	Jacksonia furcellata
232=	52	Plesioneuron sp.
232=	52	Rhagodia preissii subsp. preissii
240=	51	Eucalyptus camaldulensis
240=	51	Exocarpos sparteus
242=	50	Acacia kempeana
242=	50	Casuarina sp.
242=	50	Verticordia chrysanthella
245=	49	Allocasuarina decaisneana
245=	49	Dillwynia hispida
245=	49	Isopogon sp. newdegate &#40;d.b. foreman 771&#41;
245=	49	Rhagodia baccata baccata
249=	48	Acacia rossei
249=	48	Amyema maidenii subsp. maidenii
249=	48	Callistachys lanceolata
249=	48	Callitris gracilis
249=	48	Casuarina cunninghamiana subsp. cunninghamiana
249=	48	Eucalyptus macrocarpa subsp. elachanta
249=	48	Scholtzia laxiflora
256=	47	Callitris preissii
256=	47	Cassytha aurea var. aurea
256=	47	Leptospermum scoparium
256=	47	Nitraria billardierei
256=	47	Stenanthemum sp.
261=	46	Casuarina cristata
261=	46	Juniperus sp.
261=	46	Pinus elliottii
261=	46	Pomaderris oraria subsp. oraria
261=	46	Prostanthera campbellii
266=	45	Conospermum microflorum
266=	45	Salsola kali
268=	44	Eremophila platythamnos subsp. platythamnos
268=	44	Melaleuca leuropoma
268=	44	Thryptomene kochii
271=	43	Acacia farnesiana
271=	43	Callitris verrucosa
271=	43	Cyanostegia angustifolia
271=	43	Dodonaea viscosa subsp. angustissima
271=	43	Persea americana
276=	42	Acacia spirorbis
276=	42	Thomasia heterophylla
276=	42	Thryptomene australis
279=	41	Acacia ancistrocarpa
279=	41	Anthotroche walcottii
279=	41	Eremophila glabra subsp. tomentosa
279=	41	Eremophila longifolia
279=	41	Goodenia ramelii
279=	41	Melaleuca huegelii subsp. huegelii
279=	41	Pimelea angustifolia
279=	41	Synedrella nodiflora
287=	40	Allocasuarina pusilla
287=	40	Astrotricha longifolia
287=	40	Eremophila macdonnellii
287=	40	Eremophila phyllopoda subsp. obliqua
287=	40	Leucochrysum stipitatum
292=	39	Beaucarnea recurvata
292=	39	Grevillea
292=	39	Olearia sp.
295=	38	Acacia pentadenia
295=	38	Atriplex sp.
295=	38	Darwinia diosmoides
295=	38	Hakea preissii
295=	38	Ptilotus obovatus
300=	37	Actinostrobus pyramidalis
300=	37	Casuarina
300=	37	Corymbia hamersleyana
300=	37	Grevillea buxifolium
300=	37	Lysiana exocarpi
300=	37	Myoporum insulare
306=	36	Acacia burkittii
306=	36	Acacia disparrima subsp. calidestris
306=	36	Gastrolobium spinosum
306=	36	Meeboldina scariosa
306=	36	Rhagodia baccata
311=	35	Aluta aspera
311=	35	Brachyloma daphnoides
311=	35	Kunzea sp.
311=	35	Leptospermum crassipes
311=	35	Micromyrtus flaviflora
311=	35	Polystichum sp.
317=	34	Acacia victoriae
317=	34	Callitris baileyi
317=	34	Callitris endlicheri
317=	34	Callitris sp. paluma
317=	34	Juniperus chinensis
317=	34	Scholtzia
317=	34	Solanum orbiculatum subsp. orbiculatum
324=	33	Camellia sp.
324=	33	Conospermum stoechadis subsp. sclerophyllum
324=	33	Dillwynia retorta
324=	33	Grevillea pterosperma
324=	33	Rhagodia parabolica
324=	33	Thryptomene aspera aspera
330=	32	Acacia stowardii
330=	32	Banksia attenuata
330=	32	Clerodendrum
330=	32	Hibbertia furfuracea
330=	32	Lomandra sp.
330=	32	Morella cerifera
336=	31	Avicennia marina
336=	31	Blechnum sp.
336=	31	Eucalyptus largiflorens
336=	31	Ligustrum japonicum
336=	31	Newcastelia viscida
336=	31	Parthenium hysterophorus
342=	30	Acacia dealbata
342=	30	Acacia fimbriata
342=	30	Adenanthos cuneatus
342=	30	Brachyscome ciliaris var. lanuginosa
342=	30	Citrus paradisi
342=	30	Leucopogon cordatus
342=	30	Pimelea linifolia subsp. collina
342=	30	Scaevola nitida
350=	29	Acacia brachybotrya
350=	29	Allocasuarina mackliniana subsp. xerophila_delete
350=	29	Maireana oppositifolia
350=	29	Mangifera indica
350=	29	Myoporum platycarpum
350=	29	Ptilotus divaricatus var. divaricatus
350=	29	Scaevola crassifolia
357=	28	Anemocarpa saxatilis
357=	28	Banksia grandis
357=	28	Calytrix
357=	28	Dypsis lutescens
357=	28	Exocarpos
357=	28	Grevillea armigera
357=	28	Grevillea buxifolia
357=	28	Halgania viscosa
357=	28	Musa sp.
357=	28	Myoporum platycarpum subsp. platycarpum
357=	28	Olearia dampieri subsp. eremicola
357=	28	Verticordia densiflora
357=	28	Verticordia forrestii
370=	27	Atriplex isatidea subsp. tragus
370=	27	Chamelaucium uncinatum
370=	27	Conospermum triplinervium
370=	27	Juncus sp.
374=	26	Banksia marginata
374=	26	Casuarina collina
374=	26	Maireana pyramidata
374=	26	Olearia
374=	26	Pomaderris oraria subsp. calcicola
374=	26	Senna glutinosa
374=	26	Solanum lasiophyllum
381=	25	Beaufortia micrantha var. micrantha
381=	25	Dicrastylis beveridgei var. beveridgei
381=	25	Ficus benjamina
381=	25	Ilex sp.
381=	25	Phyllanthus
381=	25	Pimelea sericea
381=	25	Santalum acuminatum
388=	24	Amyema melaleucae
388=	24	Chrysocephalum apiculatum/semipapposum complex
388=	24	Eremophila platythamnos
388=	24	Grevillea sp.
388=	24	Pandanus sp.
393=	23	Acacia saligna
393=	23	Allocasuarina distyla
393=	23	Alyogyne pinoniana
393=	23	Carya illinoinensis
393=	23	Homalocalyx thryptomenoides
393=	23	Solanum mauritianum
399=	22	Allocasuarina fraseriana
399=	22	Atriplex nummularia
399=	22	Flindersia maculosa
399=	22	Halosarcia indica subsp. bidens
399=	22	Hypolaena exsulca
399=	22	Leptospermum rupestre
399=	22	Rhagodia latifolia
399=	22	Solanum melongena
399=	22	Tephrosia rosea
408=	21	Acacia melanoxylon
408=	21	Acacia spathulifolia
408=	21	Alstonia constricta
408=	21	Atriplex isatidea
408=	21	Callitris canescens
408=	21	Eremophila forrestii subsp. forrestii_delete
408=	21	Eremophila glabra
408=	21	Neocallitropsis pancheri
408=	21	Neoroepera banksii
408=	21	Spinifex longifolius
418=	20	Acacia aneura
418=	20	Acacia bivenosa
418=	20	Agonis flexuosa var. flexuosa
418=	20	Alphitonia
418=	20	Brachychiton populneus
418=	20	Elaeagnus pungens
418=	20	Eremophila bignoniiflora
418=	20	Leucopogon obovatus
418=	20	Magnolia grandiflora
418=	20	Pityrodia bartlingii
418=	20	Podocarpus sp.
418=	20	Spartina sp.
430=	19	Acacia aneura var. aneura
430=	19	Acacia irrorata subsp. irrorata
430=	19	Dicrastylis morrisonii
430=	19	Eupatorium sp.
430=	19	Jacksonia scoparia
430=	19	Juniperus virginiana
430=	19	Lyginia barbata
430=	19	Pomaderris sp.
430=	19	Quercus sp.
430=	19	Senna artemisioides subsp. helmsii
430=	19	Verticordia capillaris
441=	18	? Conospermum none_2714 enervia
441=	18	Acacia rivalis
441=	18	Acacia rubida
441=	18	Acacia stellaticeps
441=	18	Allocasuarina torulosa
441=	18	Atriplex nummularia nummularia
441=	18	Boronia alata
441=	18	Cycas circinalis
441=	18	Dicrastylis beveridgei
441=	18	Hannafordia quadrivalvis
441=	18	Jacksonia cupulifera
441=	18	Leptospermum
441=	18	Liquidambar styraciflua
441=	18	Maireana aphylla
441=	18	Maireana appressa
441=	18	Melaleuca quinquenervia
441=	18	Mirbelia sp. Carnarvon
441=	18	Persea borbonia
441=	18	Podocarpus macrophyllus maki
441=	18	Pultenaea hispidula
441=	18	Sida fibulifera
441=	18	Suaeda australis
441=	18	Vanda sp.
464=	17	Aucuba japonica
464=	17	Chrysocephalum puteale
464=	17	Corchorus carnarvonensis
464=	17	Cynodon dactylon
464=	17	Ehretia acuminata
464=	17	Eremophila oldfieldii
464=	17	Eucalyptus gamophylla
464=	17	Ficus rubiginosa
464=	17	Howea forsteriana
464=	17	Leptomeria preissiana
464=	17	Meeboldina
464=	17	Petalostigma pubescens
464=	17	Pimelea ciliata
477=	16	Acacia coriacea pergranulata
477=	16	Acacia leptostachya
477=	16	Astrotricha asperifolia
477=	16	Callistemon sp.
477=	16	Citrus reticulata
477=	16	Eremophila platycalyx subsp. pardalota
477=	16	Euonymus sp.
477=	16	Hakea pandanicarpa
477=	16	Hibbertia sericea
477=	16	Kunzea glabrescens
477=	16	Malus
477=	16	Melaleuca armillaris
477=	16	Monotoca
477=	16	Pinus clausa
477=	16	Solanum karsense
477=	16	Verticordia eriocephala
477=	16	Verticordia plumosa
494=	15	Acacia pendula
494=	15	Allocasuarina campestris subsp. campestris
494=	15	Argyrodendron actinophyllum
494=	15	Baccharis halimifolia
494=	15	Baeckea uncinella
494=	15	Banksia menziesii
494=	15	Beaufortia schaueri
494=	15	Citrus limon
494=	15	Dendrophthoe vitellina
494=	15	Dicrastylis gilesii var. gilesii
494=	15	Hedera helix
494=	15	Lumnitzera racemosa
494=	15	Mirbelia
494=	15	Nyssa sylvatica
494=	15	Rhagodia preissii
494=	15	Schinus terebinthifolius
494=	15	Spartina patens
511=	14	Acacia cf. brachystachya
511=	14	Acacia melleodora
511=	14	Acacia sibina
511=	14	Acacia verticillata var. verticillata
511=	14	Alyogyne huegelii
511=	14	Astartea sp.
511=	14	Eremophila
511=	14	Eremophila clavata
511=	14	Ficus
511=	14	Hakea prostrata
511=	14	Hemiandra glabra
511=	14	Nerium oleander
511=	14	Phebalium filifolium
511=	14	Phoenix roebelenii
511=	14	Pimelea
511=	14	Pultenaea reticulata
511=	14	Sarcopetalum harveyanum
511=	14	sturtii
529=	13	Amyema linophyllum subsp. orientale
529=	13	Ananas comosus
529=	13	Callitris macleayana
529=	13	Conospermum sp.
529=	13	Cymbidium sp.
529=	13	Dicladanthera forrestii
529=	13	Dicrastylis parvifolia
529=	13	Eremophila fraseri
529=	13	Eryngium yuccifolium
529=	13	Eucalyptus
529=	13	Magnolia virginiana
529=	13	Melaleuca
529=	13	Melaleuca cuticularis
529=	13	Nastus
529=	13	Pimelea imbricata var. piligera
529=	13	Pinus sp.
529=	13	Pityrodia teckiana
529=	13	Rhagodia latifolia subsp. latifolia
529=	13	Sclerolaena limbata
529=	13	Senna artemisioides x coriacea
529=	13	Viburnum odoratissimum
550=	12	Acer rubrum
550=	12	Aristida jerichoensis var. subopinulifera
550=	12	Calothamnus quadrifidus
550=	12	Conospermum
550=	12	Dillwynia ericifolia
550=	12	Dillwynia glaberrima
550=	12	Enchylaena tomentosa
550=	12	Eremaea beaufortioides var. beaufortioides
550=	12	Eremophila exilifolia
550=	12	Eucalyptus pauciflora
550=	12	Euroschinus falcata
550=	12	Exocarpos aphylla
550=	12	Ficus carica
550=	12	Goodenia ovata
550=	12	Grevillea petrophiloides
550=	12	Hakea sp.
550=	12	Juniperus silicicola
550=	12	Lasiopetalum angustifolium
550=	12	Murraya paniculata
550=	12	Pandanus utilis
550=	12	Piper
550=	12	Sarcomelicope simplicifolia
550=	12	Schefflera arboricola
550=	12	Strelitzia reginae
550=	12	Zamia sp.
550=	12	decipiens subsp. decipiens
576=	11	Acacia aneura var. latifolia
576=	11	Acacia excelsa
576=	11	Alphitonia excelsa
576=	11	Athrotaxis cupressoides
576=	11	Callistemon viminalis
576=	11	Calytrix variabilis
576=	11	Cassia
576=	11	Dendrocnide excelsa
576=	11	Ecdeiocolea monostachya
576=	11	Eucalyptus delegatensis &#40;possibly&#41;
576=	11	Eupatorium capillifolium
576=	11	Glycine canescens
576=	11	Grevillea anethifolia
576=	11	Macaranga
576=	11	Mirbelia sp.
576=	11	Phebalium
576=	11	Pipturus
576=	11	Quercus laurifolia
576=	11	Rhagodia spinescens
576=	11	Rosa sp.
576=	11	Solanum centrale
576=	11	Tephrosia aff. rosea
576=	11	Threlkeldia sp.
576=	11	Tillandsia sp.
600=	10	Acacia murrayana
600=	10	Aristida holathera var. holathera
600=	10	Asparagus aethiopicus
600=	10	Baeckea aff. pentagonantha
600=	10	Bossiaea linophylla
600=	10	Calytrix brevifolia stipulosa
600=	10	Coccoloba uvifera
600=	10	Cupressus sempervirens
600=	10	Dillwynia sericea rudis
600=	10	Einadia nutans subsp. nutans
600=	10	Eremophila alternifolia
600=	10	Eremophila stuartii
600=	10	Guioa semiglauca
600=	10	Ilex vomitoria
600=	10	Ixora sp.
600=	10	Liriope sp.
600=	10	Magnolia sp.
600=	10	Maireana georgei
600=	10	Micromyrtus ciliata
600=	10	Scaevola sericea
600=	10	Senna artemisioides
600=	10	Senna stowardii
600=	10	Uniola paniculata
600=	10	Vitis sp.
624=	9	Acacia coriacea subsp. pendens
624=	9	Acacia deanei
624=	9	Acacia hemiteles
624=	9	Acacia tumida var. pilbarensis
624=	9	Acer sp.
624=	9	Aechmea sp.
624=	9	Aglaonema commutatum
624=	9	Asimina sp.
624=	9	Beaufortia elegans
624=	9	Beaufortia sparsa
624=	9	Callitris roei
624=	9	Cattleya sp.
624=	9	Celtis laevigata
624=	9	Citrus aurantium
624=	9	Clerodendrum floribundum
624=	9	Clerodendrum inerme
624=	9	Cycas sp.
624=	9	Cymbopogon citratus
624=	9	Endiandra sankeyana
624=	9	Eremophila oppositifolia subsp. angustifolia
624=	9	Eremophila pantonii
624=	9	Euonymus japonicus
624=	9	Goodenia calcarata
624=	9	Grevillea robusta
624=	9	Heliotropium sp.
624=	9	Melaleuca conothamnoides
624=	9	Nuytsia floribunda
624=	9	Podocarpus macrophyllus
624=	9	Pomaderris
624=	9	Prunus peach
624=	9	Psidium guajava
624=	9	Rhapis excelsa
624=	9	Rhododendron sp.
624=	9	Rubus sp.
624=	9	Smilax sp.
624=	9	Solanum manritianum
624=	9	Solidago sp.
624=	9	Stephania japonica var. discolor
624=	9	Syagrus romanzoffiana
624=	9	Tillandsia recurvata
624=	9	Ulmus sp.
624=	9	Verticordia brownii
624=	9	Viburnum obovatum
667=	8	Abutilon otocarpum
667=	8	Acacia ramulosa var. ramulosa
667=	8	Acacia terminalis
667=	8	Acacia tetragonophylla
667=	8	Allocasuarina mackliniana subsp. xerophila
667=	8	Angophora hispida
667=	8	Araucaria heterophylla
667=	8	Arecastrum romanzoffianum
667=	8	Baeckea pachyphylla
667=	8	Billbergia sp.
667=	8	Callicarpa americana
667=	8	Carissa macrocarpa
667=	8	Citrus aurantiifolia
667=	8	Citrus mitis
667=	8	Cladium jamaicense
667=	8	Elaeagnus sp.
667=	8	Ficus opposita
667=	8	Ficus opposita var. opposita
667=	8	Geissois
667=	8	Gymnostoma sp.
667=	8	Halosarcia halocnemoides subsp. tenuis
667=	8	Halosarcia indica
667=	8	Hedera sp.
667=	8	Liriope muscari
667=	8	Maireana sp.
667=	8	Melaleuca pauciflora
667=	8	Melinis repens
667=	8	Oxylobium arborescens
667=	8	Parasponia
667=	8	Paspalum notatum
667=	8	Pteris sp.
667=	8	Ptilotus obovatus var. obovatus
667=	8	Ptilotus polystachyus
667=	8	Ravenea rivularis
667=	8	Salix sp.
667=	8	Spartina bakeri
667=	8	Tecticornia tenuis
667=	8	Tephrosia sp.
705=	7	Acacia ausfeldii
705=	7	Acacia roycei
705=	7	Acoelorraphe wrightii
705=	7	Amyema maidenii subsp. maidenii_delete
705=	7	Amyema nestor
705=	7	Atriplex bunburyana
705=	7	Baccharis sp.
705=	7	Baeckea crispiflora
705=	7	Banksia ericifolia
705=	7	Banksia occidentalis
705=	7	Calophyllum inophyllum
705=	7	Carya pecan
705=	7	Chamaedorea sp.
705=	7	Chamaerops humilis
705=	7	Chrysanthemoides monilifera
705=	7	Cissus antarctica
705=	7	Diospyros virginiana
705=	7	Eremophila maitlandii
705=	7	Eugenia sp.
705=	7	Gardenia sp.
705=	7	Grevillea acacioides
705=	7	Grevillea agrifolia
705=	7	Grevillea commutata
705=	7	Gyrostemon ramulosus
705=	7	Ilex opaca
705=	7	Indigofera leucotricha
705=	7	Juniperus chinensis torulosa
705=	7	Lantana sp.
705=	7	Lepidium oleraceum
705=	7	Leptospermum laevigatum
705=	7	Leptospermum oligandrum
705=	7	Leucaenae leucocephala
705=	7	Leucophyllum frutescens
705=	7	Leucopogon capitellatus
705=	7	Ligustrum sp.
705=	7	Mallotus
705=	7	Phyla nodiflora
705=	7	Pileanthus peduncularis subsp. pilifer
705=	7	Pimelea clavata
705=	7	Pomaderris apetala
705=	7	Quercus virginiana
705=	7	Sida cordifolia
705=	7	Spartina alterniflora
705=	7	Stenanthemum complicatum
705=	7	Strelitzia nicolai
705=	7	Theobroma cacao
705=	7	Tripsacum dactyloides
705=	7	Trymalium floribundum forma fulva
705=	7	Vaccinium myrsinites
705=	7	Vaccinium sp.
755=	6	Acacia chrysocephala
755=	6	Acacia montana
755=	6	Acacia oswaldii
755=	6	Acalypha insulana
755=	6	Acmena smithii
755=	6	Allocasuarina
755=	6	Annona sp.
755=	6	Bambusa multiplex
755=	6	Beyeria leschenaultii
755=	6	Blechnum
755=	6	Bothriochloa decipiens var. decipiens
755=	6	Callitris glaucophylla or gracilis
755=	6	Carya aquatica
755=	6	Chenopodium sp.
755=	6	Clerodendrum tomentosum
755=	6	Cocculus laurifolius
755=	6	Cycas thouarsii
755=	6	Dillwynia retorta var. phyllicoides
755=	6	Diospyros sp.
755=	6	Eremophila aff. weldii
755=	6	Eriobotrya japonica
755=	6	Eucalyptus populnea populnea
755=	6	Eucalyptus tetragona
755=	6	Hakea varia
755=	6	Ilex glabra
755=	6	Juniperus conferta
755=	6	Lachnostachys coolgardiensis
755=	6	Maireana triptera
755=	6	Manilkara roxburghiana
755=	6	Melaleuca leiocarpa
755=	6	Melaleuca preissiana
755=	6	Micromyrtus obovata
755=	6	Pagiantha cerifera
755=	6	Paratheria prostrata
755=	6	Plumeria sp.
755=	6	Rhagodia sp.
755=	6	Ricinocarpos tuberculatus
755=	6	Salix nigra
755=	6	Schefflera actinophylla
755=	6	Scholtzia parviflora
755=	6	Serenoa repens
755=	6	Severinia buxifola
755=	6	Sida acuta
755=	6	Sida sp.
755=	6	Sollya heterophylla
755=	6	Streblis urophyllus
755=	6	Thryptomene urceolaris
755=	6	Tillandsia usneoides
755=	6	Tsuga canadensis
755=	6	Vachellia farnesiana
755=	6	Verticordia roei
755=	6	Viburnum sp.
755=	6	Yucca aloifolia
755=	6	Yucca sp.
755=	6	sternbergiana
755=	6	torreya taxifolia
811=	5	Acacia sclerophylla var. sclerophylla
811=	5	Alectryon coriaceus
811=	5	Allocasuarina muelleriana
811=	5	Beyeria opaca
811=	5	Billbergia
811=	5	Callistachys
811=	5	Calytrix amethystina
811=	5	Cananga odorata
811=	5	Carya sp.
811=	5	Casuarina glauca
811=	5	Casuarina stricta
811=	5	Chamaedorea erumpens
811=	5	Conocarpus erectus
811=	5	Dictyosperma album
811=	5	Dodonaea viscosa sophorae
811=	5	Dracaena sp.
811=	5	Eucalyptus leucoxylon
811=	5	Flueggea leucopyrus
811=	5	Gordonia lasianthus
811=	5	Grevillea wittweri
811=	5	Guaiacum sanctum
811=	5	Guzmania sp.
811=	5	Hakea invaginata
811=	5	Hakea trifurcata
811=	5	Hibbertia racemosa
811=	5	Hibbertia riparia
811=	5	Hyparrhenia rufa
811=	5	Hypericum sp.
811=	5	Hypolepis muelleri
811=	5	Iva frutescens
811=	5	Jasminum sp.
811=	5	Juniperus
811=	5	Lechenaultia floribunda
811=	5	Leptospermum erubescens
811=	5	Livistona chinensis
811=	5	Macadamia ternifolia
811=	5	Malleostemon minilyaensis
811=	5	Manihot esculenta
811=	5	Melaleuca incana subsp. incana
811=	5	Melaleuca lanceolata
811=	5	Melaleuca urceolaris
811=	5	Mimusops roxburghiana
811=	5	Myoporum
811=	5	Olea sp.
811=	5	Persea palustris
811=	5	Phyllostachys aureosulcata
811=	5	Pinus palustris
811=	5	Polygonella fimbriata
811=	5	Pteris gardneri
811=	5	Saccharum officinarum
811=	5	Salsola australis
811=	5	Sclerolaena cuneata
811=	5	Solanum stelligerum
811=	5	Solidago fistulosa
811=	5	Solidago microcephala
811=	5	Stillingia sylvatica
811=	5	Strelitzia sp.
811=	5	Teucrium racemosum
811=	5	Thuja sp.
811=	5	Zygocactus truncatus
811=	5	fortunella sp.
872=	4	Acacia julifera
872=	4	Acacia ramulosa var. linophylla
872=	4	Acacia simplex
872=	4	Acalypha
872=	4	Aechmea fasciata
872=	4	Agave americana
872=	4	Aglaonema modestum
