rank	count	Host authority
219=	9	&#40;Blume&#41; Forman
219=	9	&#40;R.T. Baker&#41; Welch, Coombs &#38; McGlynn
219=	9	&#40;S. Moore&#41; Chinnock
219=	9	Bailey
223=	8	&#40;Benth.&#41; K.A.Sheph. &#38; Paul G.Wilson
223=	8	&#40;Willd.&#41; Paul G. Wilson
223=	8	Forst.
223=	8	L.A.S.Johnson
227=	7	&#40;F. Muell.&#41; Rye
227=	7	&#40;Gaertn.&#41; F. Muell.
227=	7	&#40;L.&#41; T. Norl.
227=	7	&#40;S.Moore&#41; Danser
227=	7	&#40;Schultes &#38; J.H. Schultes&#41; Tieghem
227=	7	A.Cunn. ex R.Br.
227=	7	Desf.
227=	7	J.W. Green
227=	7	Keighery
227=	7	Regel
237=	6	&#40;DC.&#41; J.G. West
237=	6	&#40;Lam.&#41; de Wit
237=	6	&#40;Pancher &#38; Seb.&#41; Markgr.
237=	6	&#40;Poir.&#41; Merr. &#38; L.M. Perry
237=	6	&#40;Turcz.&#41; J.W. Green
237=	6	&#40;Vent.&#41; R.Br.
243=	5	B.L. Burtt
243=	5	Enol.
243=	5	N.A.Wakef.
246=	4	&#40;A. Cunn. ex DC.&#41; Anderb.
246=	4	&#40;F. Muell.&#41; F. Muell. ex Benth.
246=	4	&#40;W. Fitzg.&#41; Pedley
246=	4	A. Cunn.
246=	4	F. Muell. ex Miq.
246=	4	Hoogland
246=	4	J.M. Black
246=	4	Rye
254=	3	&#40;Benth.&#41; Domin
254=	3	&#40;C.A. Gardner&#41; L.A.S. Johnson
254=	3	&#40;F. Muell.&#41; Baker f.
254=	3	&#40;F. Muell.&#41; Merr.
254=	3	&#40;F. Muell.&#41; T.G. Hartley
254=	3	&#40;J.M. Black&#41; P.G. Wilson
254=	3	&#40;K. Schum. &#38; Lauterb.&#41; B. Hyland
254=	3	&#40;L.&#41; L.
254=	3	&#40;L.S.Sm.&#41; Chinnock
254=	3	&#40;Parl.&#41; F.Muell.
254=	3	A. Cunn. ex Benth.
254=	3	F. Muell. ex Craven
254=	3	Kraenzl.
254=	3	Ostenf.
254=	3	P.I. Forst.
254=	3	Pedley
254=	3	Rye &#38; Trudgen
254=	3	Sieber ex DC.
272=	2	&#40;DC.&#41; Craven
272=	2	&#40;F. Muell.&#41; A.J. Scott
272=	2	&#40;F. Muell.&#41; Rye &#38; Trudgen
272=	2	&#40;Knight&#41; Domin
272=	2	&#40;L.&#41; Kuntze
272=	2	&#40;R. Br.&#41; Roberty
272=	2	B.L. Rye
272=	2	Blake
272=	2	Hawkeswood
272=	2	Hewson
272=	2	Maslin &#38; Buscumb
272=	2	N.G.Marchant &#38; Keighery ms
272=	2	Steen
272=	2	Summerh.
286=	1	&#40;A.S. George 11346&#41;
286=	1	&#40;Aiton&#41; Hassk.
286=	1	&#40;Barlow&#41; Craven
286=	1	&#40;Blume&#41; A.DC.
286=	1	&#40;Decne.&#41; Mull. Arg.
286=	1	&#40;Diels&#41; Maiden
286=	1	&#40;Domin&#41; R.M. Barker
286=	1	&#40;F.Muell.&#41; F.Muell.
286=	1	&#40;Forssk.&#41; T.Q. Nguyen
286=	1	&#40;G.Don&#41; Benth.
286=	1	&#40;L.&#41; Gaudich.
286=	1	&#40;Link&#41; Sweet
286=	1	&#40;Meisn.&#41; M.W. McDonald &#38; Maslin ms
286=	1	&#40;Paul G.Wilson&#41; K.A.Sheph. &#38; Paul G.Wilson
286=	1	&#40;Poir.&#41; Nied.
286=	1	A.T. Lee
286=	1	Andrews
286=	1	Carl Meissner
286=	1	Chappill ms
286=	1	D.C.
286=	1	Druce
286=	1	G. Don
286=	1	G. Forster ex Willd.
286=	1	G.Don
286=	1	Hook f.
286=	1	Kurz
286=	1	L. Johnson
286=	1	Merr. &#38; L.M. Perry
286=	1	Salisb. &#40;Knight&#41;
286=	1	Schlecht.
286=	1	Schlechtd.
286=	1	Tindale &#38; Maslin

62614	TOTAL
