count$path$bad_name$	suggested_name
    6$_NO_HIGHERTAXON$Acmena smithii$	Acmena sp_ms_smithii
    7$_NO_HIGHERTAXON$Acoelorraphe wrightii$	Acoelorraphe sp_ms_wrightii
    1$_NO_HIGHERTAXON$Acorus calamus$	Acorus sp_ms_calamus
    2$_NO_HIGHERTAXON$Acorus gramineus$	Acorus sp_ms_gramineus
    1$_NO_HIGHERTAXON$Acorus sp.$	Acorus sp.
    1$_NO_HIGHERTAXON$Acradenia euodiiformis$	Acradenia sp_ms_euodiiformis
    1$_NO_HIGHERTAXON$Acronychia$	Acronychia
    1$_NO_HIGHERTAXON$Actinidia chinensis$	Actinidia sp_ms_chinensis
    1$_NO_HIGHERTAXON$Actinophloeus macarthurii$	Actinophloeus sp_ms_macarthurii
    1$_NO_HIGHERTAXON$Actinophloeus$	Actinophloeus
   82$_NO_HIGHERTAXON$Actinostrobus arenarius$	Actinostrobus sp_ms_arenarius
   37$_NO_HIGHERTAXON$Actinostrobus pyramidalis$	Actinostrobus sp_ms_pyramidalis
    1$_NO_HIGHERTAXON$Acuba sp.$	Acuba sp.
   30$_NO_HIGHERTAXON$Adenanthos cuneatus$	Adenanthos sp_ms_cuneatus
   57$_NO_HIGHERTAXON$Adenanthos cygnorum subsp. cygnorum$	Adenanthos sp_ms_cygnorum
  369$_NO_HIGHERTAXON$Adenanthos cygnorum subsp. cygnorum_delete$	Adenanthos sp_ms_cygnorum
    3$_NO_HIGHERTAXON$Adenium obesum$	Adenium sp_ms_obesum
    1$_NO_HIGHERTAXON$Adiantum aethiopicum$	Adiantum sp_ms_aethiopicum
    2$_NO_HIGHERTAXON$Adonidia merrillii$	Adonidia sp_ms_merrillii
    1$_NO_HIGHERTAXON$Aechmea chantinii$	Aechmea sp_ms_chantinii
    4$_NO_HIGHERTAXON$Aechmea fasciata$	Aechmea sp_ms_fasciata
    1$_NO_HIGHERTAXON$Aechmea lueddemanniana$	Aechmea sp_ms_lueddemanniana
    1$_NO_HIGHERTAXON$Aechmea mexicana$	Aechmea sp_ms_mexicana
    2$_NO_HIGHERTAXON$Aechmea pineliana$	Aechmea sp_ms_pineliana
    9$_NO_HIGHERTAXON$Aechmea sp.$	Aechmea sp.
    1$_NO_HIGHERTAXON$Aechmea weilbachea$	Aechmea sp_ms_weilbachea
    1$_NO_HIGHERTAXON$Aechmea$	Aechmea
    4$_NO_HIGHERTAXON$Agave americana$	Agave sp_ms_americana
    1$_NO_HIGHERTAXON$Agave sp.$	Agave sp.
    9$_NO_HIGHERTAXON$Aglaonema commutatum$	Aglaonema sp_ms_commutatum
    4$_NO_HIGHERTAXON$Aglaonema modestum$	Aglaonema sp_ms_modestum
    1$_NO_HIGHERTAXON$Aglaonema nitidum$	Aglaonema sp_ms_nitidum
    4$_NO_HIGHERTAXON$Aglaonema sp.$	Aglaonema sp.
    2$_NO_HIGHERTAXON$Aglaonema treubii$	Aglaonema sp_ms_treubii
   20$_NO_HIGHERTAXON$Agonis flexuosa var. flexuosa$	Agonis sp_ms_flexuosa
  131$_NO_HIGHERTAXON$Agonis flexuosa var. flexuosa_delete$	Agonis sp_ms_flexuosa
  117$_NO_HIGHERTAXON$Agonis flexuosa$	Agonis sp_ms_flexuosa
    1$_NO_HIGHERTAXON$Agonis hypericifolia$	Agonis sp_ms_hypericifolia
   88$_NO_HIGHERTAXON$Agonis linearifolia$	Agonis sp_ms_linearifolia
  116$_NO_HIGHERTAXON$Agonis parviceps$	Agonis sp_ms_parviceps
    1$_NO_HIGHERTAXON$Agrostis avenacea perennis$	Agrostis sp_avenacea_perennis
    1$_NO_HIGHERTAXON$Albizia julibrissin$	Albizia sp_ms_julibrissin
    1$_NO_HIGHERTAXON$Albizia lebbeck$	Albizia sp_ms_lebbeck
    1$_NO_HIGHERTAXON$Albizia sp.$	Albizia sp.
    2$_NO_HIGHERTAXON$Alectryon coriaceum$	Alectryon sp_ms_coriaceum
    5$_NO_HIGHERTAXON$Alectryon coriaceus$	Alectryon sp_ms_coriaceus
    2$_NO_HIGHERTAXON$Alectryon oleifolius elegans$	Alectryon sp_oleifolius_elegans
  117$_NO_HIGHERTAXON$Alectryon oleifolius subsp. canescens$	Alectryon sp_ms_oleifolius
   75$_NO_HIGHERTAXON$Alectryon oleifolius$	Alectryon sp_ms_oleifolius
    1$_NO_HIGHERTAXON$Aleurites fordii$	Aleurites sp_ms_fordii
    3$_NO_HIGHERTAXON$Allagoptera arenaria$	Allagoptera sp_ms_arenaria
   15$_NO_HIGHERTAXON$Allocasuarina campestris subsp. campestris$	Allocasuarina sp_ms_campestris
  330$_NO_HIGHERTAXON$Allocasuarina campestris$	Allocasuarina sp_ms_campestris
    2$_NO_HIGHERTAXON$Allocasuarina corniculata$	Allocasuarina sp_ms_corniculata
   49$_NO_HIGHERTAXON$Allocasuarina decaisneana$	Allocasuarina sp_ms_decaisneana
   23$_NO_HIGHERTAXON$Allocasuarina distyla$	Allocasuarina sp_ms_distyla
   22$_NO_HIGHERTAXON$Allocasuarina fraseriana$	Allocasuarina sp_ms_fraseriana
  113$_NO_HIGHERTAXON$Allocasuarina huegeliana$	Allocasuarina sp_ms_huegeliana
  243$_NO_HIGHERTAXON$Allocasuarina humilis$	Allocasuarina sp_ms_humilis
    4$_NO_HIGHERTAXON$Allocasuarina litoralis$	Allocasuarina sp_ms_litoralis
  122$_NO_HIGHERTAXON$Allocasuarina littoralis$	Allocasuarina sp_ms_littoralis
    8$_NO_HIGHERTAXON$Allocasuarina mackliniana subsp. xerophila$	Allocasuarina sp_ms_mackliniana
   29$_NO_HIGHERTAXON$Allocasuarina mackliniana subsp. xerophila_delete$	Allocasuarina sp_ms_mackliniana
    2$_NO_HIGHERTAXON$Allocasuarina muelleriana subsp. muelleriana$	Allocasuarina sp_ms_muelleriana
    5$_NO_HIGHERTAXON$Allocasuarina muelleriana$	Allocasuarina sp_ms_muelleriana
  126$_NO_HIGHERTAXON$Allocasuarina paludosa$	Allocasuarina sp_ms_paludosa
  103$_NO_HIGHERTAXON$Allocasuarina paradoxa$	Allocasuarina sp_ms_paradoxa
   40$_NO_HIGHERTAXON$Allocasuarina pusilla$	Allocasuarina sp_ms_pusilla
    1$_NO_HIGHERTAXON$Allocasuarina simulans$	Allocasuarina sp_ms_simulans
   87$_NO_HIGHERTAXON$Allocasuarina sp.$	Allocasuarina sp.
    3$_NO_HIGHERTAXON$Allocasuarina spinosissima$	Allocasuarina sp_ms_spinosissima
   18$_NO_HIGHERTAXON$Allocasuarina torulosa$	Allocasuarina sp_ms_torulosa
    6$_NO_HIGHERTAXON$Allocasuarina$	Allocasuarina
    3$_NO_HIGHERTAXON$Alnus sp.$	Alnus sp.
    2$_NO_HIGHERTAXON$Aloe sp.$	Aloe sp.
    1$_NO_HIGHERTAXON$Aloe vera$	Aloe sp_ms_vera
   11$_NO_HIGHERTAXON$Alphitonia excelsa$	Alphitonia sp_ms_excelsa
    1$_NO_HIGHERTAXON$Alphitonia neocaledonica$	Alphitonia sp_ms_neocaledonica
   20$_NO_HIGHERTAXON$Alphitonia$	Alphitonia
   21$_NO_HIGHERTAXON$Alstonia constricta$	Alstonia sp_ms_constricta
    1$_NO_HIGHERTAXON$Alternanthera amoena$	Alternanthera sp_ms_amoena
    1$_NO_HIGHERTAXON$Alternanthera ficoidea$	Alternanthera sp_ms_ficoidea
    3$_NO_HIGHERTAXON$Alternanthera$	Alternanthera
    2$_NO_HIGHERTAXON$Aluta aspera subsp. aspera$	Aluta sp_ms_aspera
    3$_NO_HIGHERTAXON$Aluta aspera subsp. hesperia$	Aluta sp_ms_aspera
   35$_NO_HIGHERTAXON$Aluta aspera$	Aluta sp_ms_aspera
    2$_NO_HIGHERTAXON$Aluta maisonneuvei$	Aluta sp_ms_maisonneuvei
    4$_NO_HIGHERTAXON$Aluta$	Aluta
   14$_NO_HIGHERTAXON$Alyogyne huegelii$	Alyogyne sp_ms_huegelii
   23$_NO_HIGHERTAXON$Alyogyne pinoniana$	Alyogyne sp_ms_pinoniana
    1$_NO_HIGHERTAXON$Alyxia$	Alyxia
    1$_NO_HIGHERTAXON$Amaryllis sp.$	Amaryllis sp.
    2$_NO_HIGHERTAXON$Ambrosia artemisiifolia$	Ambrosia sp_ms_artemisiifolia
    1$_NO_HIGHERTAXON$Ambrosia sp.$	Ambrosia sp.
  123$_NO_HIGHERTAXON$Amyema cambagei$	Amyema sp_ms_cambagei
    2$_NO_HIGHERTAXON$Amyema congener subsp. congener$	Amyema sp_ms_congener
   13$_NO_HIGHERTAXON$Amyema linophyllum subsp. orientale$	Amyema sp_ms_linophyllum
   69$_NO_HIGHERTAXON$Amyema lucasii$	Amyema sp_ms_lucasii
   48$_NO_HIGHERTAXON$Amyema maidenii subsp. maidenii$	Amyema sp_ms_maidenii
    7$_NO_HIGHERTAXON$Amyema maidenii subsp. maidenii_delete$	Amyema sp_ms_maidenii
    1$_NO_HIGHERTAXON$Amyema maidenii$	Amyema sp_ms_maidenii
   24$_NO_HIGHERTAXON$Amyema melaleucae$	Amyema sp_ms_melaleucae
   63$_NO_HIGHERTAXON$Amyema miquelii$	Amyema sp_ms_miquelii
    7$_NO_HIGHERTAXON$Amyema nestor$	Amyema sp_ms_nestor
  104$_NO_HIGHERTAXON$Amyema preissii$	Amyema sp_ms_preissii
   73$_NO_HIGHERTAXON$Amyema quandang var. quandang$	Amyema sp_ms_quandang
    1$_NO_HIGHERTAXON$Amyema quandang$	Amyema sp_ms_quandang
    2$_NO_HIGHERTAXON$Amyris elemifera$	Amyris sp_ms_elemifera
   13$_NO_HIGHERTAXON$Ananas comosus$	Ananas sp_ms_comosus
    1$_NO_HIGHERTAXON$Ananas sp.$	Ananas sp.
    3$_NO_HIGHERTAXON$Ananas$	Ananas
