rank	count	N_FAMILY
707=	2	MELASTOMATACEAE
707=	2	MERULINIDAE
707=	2	MONARCHIDAE
707=	2	MYTILIDAE
707=	2	Macrophthalmidae
707=	2	Mimosoideae
707=	2	Molpadiidae
707=	2	Myoporaceae
707=	2	Myrtaceae (Angophora)
707=	2	OPHIDIIDAE
707=	2	OTIDIDAE
707=	2	PALAEOMONIDAE
707=	2	PAPILIONIDAE
707=	2	PARASCYLLIIDAE
707=	2	PARAULOPIDAE
707=	2	PASSERINIDAE
707=	2	PENAEIDAE
707=	2	PERORYCTIDAE
707=	2	PETROICIDAE
707=	2	PINNIDAE
707=	2	PLATYCERIDAE
707=	2	PLEURONECTIDAE
707=	2	POLYTELITIDAE
707=	2	PORITIDAE
707=	2	PRIMULACEAE
707=	2	PTERASTICOLIDAE
707=	2	PULICIDAE
707=	2	PYCNONOTIDAE
707=	2	Pandalidae
707=	2	Plutellidae
707=	2	Portunidae
707=	2	RACHYCENTRIDAE
707=	2	Ranunculaceae
707=	2	Rhinolophidae
707=	2	SEBASTIDAE
707=	2	SILLAGINDAE
707=	2	SPHECIDAE
707=	2	STYLOCHIDAE
707=	2	STYRACACEAE
707=	2	SYLVIIDAE
707=	2	Sesarmidae
707=	2	Silvanidae
707=	2	Sonneratiaceae
707=	2	Spiridentaceae 
707=	2	TENTHREDINIDAE
707=	2	TETTIGONIIDAE
707=	2	TRAPEZIIDAE
707=	2	TRICHIURIDAE
707=	2	TUBIFICIDAE
707=	2	TYPHACEAE
707=	2	Tenebrionidae
707=	2	Theaceae
707=	2	Thripidae
707=	2	Thymelaeaceae
707=	2	VERBANACEAE
707=	2	Varanidae
707=	2	Winteraceae
707=	2	ZANCLIDAE
707=	2	ZYGAENIDAE
819=	1	ALAUDIDAE
819=	1	AMANITACEAE
819=	1	ARACANIDAE
819=	1	ARiIDAE
819=	1	ASTERIIDAE
819=	1	ASTERINIDAE
819=	1	Acanthaceae
819=	1	Anguillidae
819=	1	Apidae
819=	1	Araliaceae
819=	1	Ardeidae
819=	1	BLATTIDAE
819=	1	CANIDAECANIDAE
819=	1	CETORHINIDAE
819=	1	CHAETONDONTIDAE
819=	1	CHARADRIIDAE)
819=	1	CHIONIDIDAE)
819=	1	CINCLOSOMATIDAE
819=	1	CISTICOLIDAE
819=	1	COBITIDAE
819=	1	Caesalpinaceae
819=	1	Carangidae
819=	1	Caryophliidae
819=	1	Casurinaceae
819=	1	Cheilodactylidae
819=	1	Chrysogorgiidae
819=	1	Combreteaceae
819=	1	DELPHACIDAE
819=	1	DENDROPHYLLIDAE
819=	1	DICTYOPHARIDAE
819=	1	DREPANEIDAE
819=	1	Dendrophylliidae
819=	1	EMBALLONURIDAE
819=	1	EPHIPPIDAE
819=	1	Eleocarpaceae
819=	1	FUNGIACYATHIDAE
819=	1	Fergusoninidae
819=	1	Formicidae
819=	1	GLAREOLIDAE
819=	1	GRYLLIDAE
819=	1	Gentianaceae
819=	1	HEMIRAMPHIDAE
819=	1	HIPPOLYTIDAE
819=	1	Hemigaleidae
819=	1	Heterodontidae
819=	1	Himantura
819=	1	ISOCRINIDAE
819=	1	Isocrinidae
819=	1	Juglandaceae
819=	1	KUHLIIDAE
819=	1	Kyphosidae
819=	1	LEIOGNATHIDAE
819=	1	LIMIDAE
819=	1	LOMANDRACEAE
819=	1	LONGIPEDIIDAE
819=	1	LORIIDAE
819=	1	Labiatae (Lamiaceae)
819=	1	Latidae
819=	1	Latridae
819=	1	Little Bentwing-bat
819=	1	Loranthaceae
819=	1	MATUTIDAE
819=	1	MEGADERMATIDAE
819=	1	MEROPIDAE
819=	1	MEUPHORBIACEAE
819=	1	MIRACIIDAE
819=	1	MOTACILLIDAE
819=	1	MYTACEAE
819=	1	Melastomataceae
819=	1	Mugilidae
819=	1	Myliobatidae
819=	1	Myrsinaceae
819=	1	NEOSEBASTIDAE
819=	1	Neotylenchidae
819=	1	Oculinidae
819=	1	Odontasteridae
819=	1	Oleaceae
819=	1	P ARDALOTIDAE
819=	1	PARACRYPHIACEAE
819=	1	PARADOXOSOMATIDAE
819=	1	PARTHENOPIDAE
819=	1	PETROMYZONTIDAE
819=	1	PHLAEOTHRIPIDAE
819=	1	PILUMNIDAE
819=	1	PINGUIPEDIDAE
819=	1	PITTIDAE
819=	1	POLYPRIONIDAE
819=	1	POMATOSTOMIDAE
819=	1	POMPILIDAE
819=	1	PSITACIDAE
819=	1	Paguridae
819=	1	Passifloraceae
819=	1	Piperaceae
819=	1	Platycephalidae
819=	1	Podicepididae
819=	1	Podocarpaceae
819=	1	Polynemidae
819=	1	Pompilidae
819=	1	Primnoidae
819=	1	Pristidae
819=	1	RAMNACEAE
819=	1	REDUVIIDAE
819=	1	Rhinotermitidae
819=	1	Rousseaceae
819=	1	Ruboaceae
819=	1	SARCOPHAGIDAE
819=	1	SCELIONIDAE
819=	1	SYNGNATHIDAE
819=	1	Sapotaceae
819=	1	Scolopcaidae
819=	1	Sparassidae
819=	1	Sphenopidae
819=	1	Spirastrellidae
819=	1	Symplocaceae
819=	1	TARSIPEDIDAE
819=	1	TETRAROGIDAE
819=	1	TETRIGIDAE
819=	1	THYLACINIDAE
819=	1	TORPEDINIDAE
819=	1	TRIGONIDIIDAE
819=	1	TYPHLOPIDAE
819=	1	Tetraodontidae 
819=	1	VESPERTILIONIIDAE
819=	1	VESPIDAE
819=	1	Vombatidae
819=	1	Xanthidae
819=	1	Xanthorrhoeaceae
819=	1	ZOANTHIDAE
819=	1	ZOROASTERIDAE
819=	1	Zoanthidae

55963	TOTAL
