rank	count	NAME_COMPLETE
84=	81	Hypochrysops byzos
84=	81	Hypochrysops digglesii
84=	81	Nacaduba berenice
84=	81	Pseudalmenus chlorinda
89=	80	Belenois java
89=	80	Halofolliculina corallasia
89=	80	Pinnaspis aspidistriae
89=	80	Poliaspis exocarpi
93=	78	Dialeuropora decempuncta
93=	78	Thulinia microrchis
95=	77	Blepharocosta marmorata
95=	77	Cupha prosope
95=	77	Papilio (Eleppone) anactus
95=	77	Tetrabothriostrongylus mackerrasae
99	75	Octaspidiotus subrubescens
100=	73	Filarinema mawsonae
100=	73	Hemicriconemoides obtusus
102=	72	Catopsilia pyranthe
102=	72	Criconema (Criconema) lanxifrons
102=	72	Hypochrysops cyane
102=	72	Nezara viridula
102=	72	Theclinesthes onycha
102=	72	Xenaleyrodes timonii
108=	70	Ctenarytaina spatulata
108=	70	Hemicycliophora arenaria
108=	70	Ischnaspis longirostris
108=	70	Papilio (Princeps) ambrax
108=	70	Papilio (Princeps) demoleus
108=	70	Parlatoria proteus
108=	70	Pieris rapae
108=	70	Trichostrongylus axei
116	69	Hysterolecitha nahaensis
117	68	Cephrenes augiades
118=	66	Aleurocanthus froggatti
118=	66	Protoopalina australis
118=	66	Thynnascaris spp.
121=	65	Physaloptera sp.
121=	65	Pseudaulacaspis eugeniae
123=	64	Chaetocneme critomedia sphinterifera
123=	64	Mictis profana
125=	63	Candalides margarita
125=	63	Cressida cressida cressida
125=	63	Glycaspis (Glycaspis) froggatti
125=	63	Papilio (Princeps) ulysses
125=	63	Rapala varuna
125=	63	Trichostrongylus colubriformis
131	62	Amblypelta lutescens lutescens
132=	60	Chaetocneme beata
132=	60	Doleschallia bisaltide
132=	60	Euploea alcathoe
132=	60	Lecithaster stellatus
132=	60	Myxidium immersum
132=	60	Tetraleurodes sulcistriatus
138	58	Criconema (Criconema) pasticum
139	57	Eurema hecabe
140=	56	Blepharocosta subsolana
140=	56	Echinococcus granulosus
140=	56	Monocercomonas batrachorum
140=	56	Nippostrongylus magnus
140=	56	Ornithoptera euphorion
140=	56	Taractrocera papyria
146=	55	Chentraspis unilobis
146=	55	Clavaspis subfervens
146=	55	Neomorgania eucalypti
149=	54	Abbreviata sp.
149=	54	Aleuroduplidens wellsae
149=	54	Aleurolobus marlatti
149=	54	Aleurotrachelus limbatus
149=	54	Candalides cyprotus
149=	54	Capillaria sp.
149=	54	Deudorix epijarbas
149=	54	Erilepturus hamati
149=	54	Filarinema australis
149=	54	Gomenella dryandrae
149=	54	Hypochrysops halyaetus
149=	54	Nacaduba kurava
149=	54	Odilia bainae
149=	54	Odilia melomyos
149=	54	Ogyris aenone
149=	54	Ogyris ianthis
149=	54	Philiris innotata
166	53	Mnesampela privata
167=	52	Amidostomum acutum
167=	52	Paradiscogaster eniwetokensis
169=	50	Abbreviata antarctica
169=	50	Delias harpalyce
169=	50	Graptostethus servus
169=	50	Howardia biclavis
169=	50	Tirumala hamata
169=	50	Vanessa itea
175=	49	Glycaspis (Glycaspis) brimblecombei
175=	49	Glycaspis (Glycaspis) pervagata
175=	49	Haemonchus contortus
175=	49	Johnpearsonia pearsoni
175=	49	Pachliopta polydorus
175=	49	Prosopidopsylla flava
181=	48	Abbreviata confusa
181=	48	Aleurocanthus tsignatus
181=	48	Bemisia afer
181=	48	Globocephaloides trifidospicularis
181=	48	Protoopalina hylarum
181=	48	Siphoninus phillyreae
181=	48	Thaumastocoris australicus
188	47	Progamotaenia festiva
189=	46	Criconema (Criconema) mutabile
189=	46	Protoopalina raffae
191=	45	Candalides consimilis
191=	45	Chrysomphalus rubribullatus
191=	45	Clavaspis herculeana
191=	45	Diaspis boisduvali
191=	45	Erysichton lineatus
191=	45	Hemicriconemoides minor
191=	45	Jalmenus inous
191=	45	Jalmenus pseudictinus
191=	45	Jamides phaseli
191=	45	Maskellia globosa
191=	45	Odilia emanuelae
191=	45	Odilia mackerrasae
191=	45	Ogyris iphis
191=	45	Paratylenchus (Gracilacus) sp.
191=	45	Philiris fulgens
191=	45	Plerurus digitatus
191=	45	Pseudodipsas cephenes
191=	45	Schikhobalotrema pomacentri
209=	44	Cephrenes trichopepla
209=	44	Chaetocneme critomedia
209=	44	Ichthyophthirius multifiliis
212=	42	Aleurocanthus ceracroceus
212=	42	Anoeconeossa communis
212=	42	Anoeconeossa copidiformis
212=	42	Anoeconeossa vespertina
212=	42	Blastopsylla moorei
212=	42	Blastopsylla occidentalis
212=	42	Contracaecum osculatum
212=	42	Dessetostrongylus moorhousei
212=	42	Dialeurodes kirkaldyi
212=	42	Hemicycliophora labiata
212=	42	Patricialina phascogale
212=	42	Pseudozaphanera niger
212=	42	Trichostrongylus vitrinus
225=	40	Agrilus (Agrilus) hypoleucus
225=	40	Akainothrips citritarsus
225=	40	Geitoneura acantha
225=	40	Heteronympha banksii
225=	40	Heteronympha penelope
225=	40	Hypocysta metirius
225=	40	Hypogeococcus pungens
225=	40	Monaonidiella cerata
225=	40	Morganella longispina
225=	40	Mycalesis perseus
225=	40	Mycalesis terminus
225=	40	Ocybadistes walkeri
237=	39	Anisakis sp.
237=	39	Coridromius pilbarensis
237=	39	Hesperilla donnysa
237=	39	Hyposidra talaca
241	37	Hemicriconemoides insignis
242=	36	Aleuroclava neolitseae
242=	36	Aleyrodes proletella
242=	36	Arhopala madytus
242=	36	Bemisia giffardi
242=	36	Candalides acasta
242=	36	Candalides helenita
242=	36	Candalides hyacinthinus
242=	36	Catochrysops panormus
242=	36	Catopyrops florinda
242=	36	Cockerelliella psidii
242=	36	Filarinema cassonei
242=	36	Hypochrysops elgneri
242=	36	Hypochrysops miskini
242=	36	Inoma multispinosa
242=	36	Jalmenus eichhorni
242=	36	Megisba strongyle
242=	36	Neolucia hobartensis
242=	36	Neomaskellia bergii
242=	36	Netrocoryne repanda repanda
242=	36	Nigrasialeyrodes convexus
242=	36	Odilia brachybursa
242=	36	Odilia mawsonae
242=	36	Odilia praeputialis
242=	36	Ogyris abrota
242=	36	Orchamoplatus mammaeferus
242=	36	Paradiscogaster glebulae
242=	36	Patricialina birdi
242=	36	Progamotaenia ewersi
242=	36	Pseudodipsas eone
242=	36	Sahulana scintillata
242=	36	Setaleyrodes thretaonai
242=	36	Tetraleurodes elaeocarpi
242=	36	Thaumastocoris freomooreae
242=	36	Theclinesthes sulpitius
242=	36	Trichodina heterodentata
242=	36	Xenaleyrodes fauceregius
242=	36	Zizeeria karsandra
279=	35	Acizzia acaciaedecurrentis
279=	35	Anoeconeossa fuscipennis
279=	35	Cryptoneossa vulgaris
279=	35	Ectropis bhurmitra
279=	35	Fiorinia fioriniae
279=	35	Glycaspis (Glycaspis) anomala
279=	35	Glycaspis (Glycaspis) mesicola
279=	35	Glycaspis (Glycaspis) occidentalis
279=	35	Glycaspis (Synglycaspis) conflecta
279=	35	Glycaspis (Synglycaspis) dreptodria
279=	35	Lepidosaphes beckii
279=	35	Nippostrongylus braziliensis
279=	35	Peramelistrongylus skedastos
292=	34	Contracaecum spp.
292=	34	Cryptocaryon irritans
292=	34	Dindymus versicolor
292=	34	Discocriconemella limitanea
292=	34	Dysdercus (Paradysdercus) sidae sidae
292=	34	Hysterothylacium marinum
298=	33	Ditylenchus dipsaci
298=	33	Kudoa gunterae
298=	33	Phalanta phalantha
298=	33	Scirtothrips dobroskyi
298=	33	Thaumastocoris nadeli
298=	33	Tubulovesicula angusticauda
304=	32	Caloosia nudata
304=	32	Criconema (Criconema) sp.
304=	32	Thynnascaris legendrei
307	31	Cryphodera sp.
308=	30	Aleuromarginatus nigrus
308=	30	Bemisia capitata
308=	30	Cepora perimale
308=	30	Cermatulus nasalis nasalis
308=	30	Delias mysis
308=	30	Ditylenchus sp.
308=	30	Duplaspidiotus claviger
308=	30	Elodina parthia
308=	30	Euploea sylvester
308=	30	Filarinema asymmetricus
308=	30	Geocoris lubra
308=	30	Globocephaloides wallabiae
308=	30	Hemiberlesia palmae
308=	30	Hypolimnas alimena
308=	30	Hypolimnas misippus
308=	30	Junonia hedonia
308=	30	Megaspidiotus fimbriatus
308=	30	Mycalesis sirius
308=	30	Mynes geoffroyi
308=	30	Neptis praslini
308=	30	Orchamoplatus louiserussellae
308=	30	Oreixenica lathoniella
308=	30	Oreixenica ptunarra
308=	30	Ostertagia ostertagi
308=	30	Pantoporia consimilis
308=	30	Pinnaspis buxi
308=	30	Pseudotargionia comata
308=	30	Schedotrioza orbiculata
308=	30	Tellervo zoilus
308=	30	Tetraleurodes stirlingiae
308=	30	Tinginotum minutum
308=	30	Trichostrongylus tenuis
308=	30	Vindula arsinoe
308=	30	Woolleya sprenti
342=	28	Acizzia albizziae
342=	28	Amblypelta nitida
342=	28	Anoeconeossa assimilis
342=	28	Anoeconeossa bullata
342=	28	Aploparaksis australis
342=	28	Ausejanus vividus
342=	28	Australopsylla revoluta
342=	28	Bemisia atriplex
342=	28	Blastopsylla adnatariae
342=	28	Contracaecum radiatum
342=	28	Filarinema dissimile
342=	28	Glycaspis (Glycaspis) amydra
342=	28	Glycaspis (Glycaspis) minuscula
342=	28	Glycaspis (Glycaspis) prepta
342=	28	Glycaspis (Synglycaspis) mactans
342=	28	Glycaspis (Synglycaspis) particeps
342=	28	Haemonchus placei
342=	28	Kladothrips rugosus
342=	28	Lasiopsylla bullata
342=	28	Nematodirus spathiger
342=	28	Nippostrongylus typicus
342=	28	Platyobria maddeni
342=	28	Pseudophyllodistomum johnstoni
342=	28	Pseudozaphanera wariensis
342=	28	Spiculopteragia asymmetrica
342=	28	Taractrocera ina
342=	28	Teladorsagia circumcincta
342=	28	Thalassodes pilaria
342=	28	Trabeculus hexakon
342=	28	Trichostrongylus rugatus
342=	28	Wanaristrongylus ctenoti
373=	27	Balclutha incisa
373=	27	Bindahara phocides
373=	27	Candalides erinus
373=	27	Candalides xanthospilos
373=	27	Catopsilia scylla
373=	27	Danaus plexippus
373=	27	Danis danis
373=	27	Elytrophalloides oatesi
373=	27	Famegana alsulus
373=	27	Freyeria putli
373=	27	Glandicephalus perfoliatus
373=	27	Hesperilla ornata
373=	27	Jalmenus clementi
373=	27	Nesolycaena albosericea
373=	27	Odilia polyrhabdote
373=	27	Ogyris oroetes
373=	27	Paralucia pyrodiscus
373=	27	Paucivitellosus fragilis
373=	27	Philiris nitens
373=	27	Pseudalmenus chlorinda chlorinda
373=	27	Psychonotis caelius
373=	27	Terranova spp.
395=	26	Chilodonella cyprini
395=	26	Cryptosporidium parvum
395=	26	Hemicriconemoides mangiferae
395=	26	Leucophoroptera quadrimaculata
395=	26	Melaleucoides verticordia
395=	26	Montandoniola moraguesi
395=	26	Remaudiereana inornata
395=	26	Rodwayia orientalis
395=	26	Spilostethus hospes
404=	25	Acanthopsylla rothschildi rothschildi
404=	25	Albastaspis nivea
404=	25	Aonidia banksiae
404=	25	Aphelenchus (Aphelenchus) avenae
404=	25	Ascarophis nototheniae
404=	25	Aspidiotus tasmaniae
404=	25	Aulacaspis australis
404=	25	Aulacaspis rosae
404=	25	Choerocoris paganus
404=	25	Diaphoraspis compacta
404=	25	Echidnophaga myrmecobii
404=	25	Fiorinia japonica
404=	25	Hemaspidis hemichionaspiformis
404=	25	Hymenocotta mulli
404=	25	Paraonidiella cladii
404=	25	Plautia affinis
404=	25	Pseudotargionia inconspicua
404=	25	Pygiopsylla hoplia
404=	25	Unaspis citri
423=	24	Acanthobothrium adlardi
423=	24	Aleurocanthus banksiae
423=	24	Aleurocanthus hirsutus
423=	24	Aleurocanthus spiniferus
423=	24	Aleurocanthus valenciae
423=	24	Aleuroduplidens croceata
423=	24	Aleurotrachelus stypheliae
423=	24	Armillifer aborealis
423=	24	Armillifer australis
423=	24	Bemisia decipiens
423=	24	Beveridgiella iota
423=	24	Casuarinicola australis
423=	24	Cooperia curticei
423=	24	Derogenes pearsoni
423=	24	Dessetostrongylus maudi
423=	24	Dumbletoniella callistemoni
423=	24	Echidnophaga gallinacea
423=	24	Fergusobia tumifaciens
423=	24	Haemoproteus danilewskyi
423=	24	Hemicycliophora brevicauda
423=	24	Hemicycliophora halophila
423=	24	Hepatojarakus fasciatus
423=	24	Hepatojarakus pycnofasciatus
423=	24	Hesperilla idothea
423=	24	Hysterothylacium aduncum
423=	24	Indoaleyrodes glochidioni
423=	24	Kladothrips waterhousei
423=	24	Leptocorisa acuta
423=	24	Nematotaenia hylae
423=	24	Palaealeurodicus holmesii
423=	24	Paradiscogaster chaetodontis
423=	24	Paradiscogaster flindersi
423=	24	Protoopalina acuta
423=	24	Rhachisphora franksae
423=	24	Rhachisphora queenslandica
423=	24	Rhachisphora setulosa
423=	24	Sejanus brittoni
423=	24	Setaleyrodes vigintiseta
423=	24	Seuratia shipleyi
423=	24	Singhiella premnae
423=	24	Stephanocircus dasyuri
423=	24	Telicota ancilla
423=	24	Tetraleurodes supraxialis
423=	24	Tetralicia debarroi
423=	24	Thaumastocoris peregrinus
423=	24	Trapezites phigalia
423=	24	Trialeurodes darwiniensis
423=	24	Trialeurodes dicksoniae
423=	24	Typhlopsia limnodynastes
423=	24	Viennotaleyrodes lacunae
423=	24	Woolleya antechini
423=	24	Woolleya didelphis
423=	24	Woolleya monodelphis
423=	24	Xenaleyrodes eucalypti
423=	24	Xiphoidellus unicolor
478=	23	Ascaridia platyceri
478=	23	Linguatula serrata
478=	23	Rhabdias hylae
478=	23	Waddycephalus longicauda
482=	22	Abbreviata hastaspicula
482=	22	Ausejanus meridionalis
482=	22	Dysdercus (Paradysdercus) cingulatus cingulatus
482=	22	Filarinema haycocki
482=	22	Filenchus exiguus
482=	22	Globocephaloides macropodis
482=	22	Metacanthus (Cardopostethus) pulchellus
482=	22	Ophidascaris pyrrhus
482=	22	Paracholeothrips clavisetae
482=	22	Poecilometis fuscescens
482=	22	Protoopalina jonesi
493=	21	Acanthobothrium robertsoni
493=	21	Acizzia acaciaebaileyanae
493=	21	Acizzia conspicua
493=	21	Acizzia exquisita
493=	21	Agelaeopsylla corymbiae
493=	21	Anoeconeossa pectinata
493=	21	Anoeconeossa unicornuta
493=	21	Aponurus laguncula
493=	21	Asymmetracantha tasmaniensis
493=	21	Australeurodes operculobata
493=	21	Austrostrongylus petrogale
493=	21	Blastopsylla brunnea
493=	21	Blastopsylla octosetulae
493=	21	Boreioglycaspis devexa
493=	21	Cardiaspina densitexta
493=	21	Cardiaspina tetragonae
493=	21	Contracaecum spiculigerum
493=	21	Copemania darwini
493=	21	Creiis periculosus
493=	21	Glycaspis (Glycaspis) australoraria
493=	21	Glycaspis (Glycaspis) baileyi
493=	21	Glycaspis (Glycaspis) fuscovena
493=	21	Glycaspis (Glycaspis) johnsoni
493=	21	Glycaspis (Glycaspis) schwarzi
493=	21	Glycaspis (Glycaspis) wakelburae
493=	21	Glycaspis (Glycaspis) wondjinae
493=	21	Glycaspis (Synglycaspis) conserta
493=	21	Glycaspis (Synglycaspis) nigrocincta
493=	21	Gnathia grutterae
493=	21	Graphium aristeus
493=	21	Graphium macfarlanei
493=	21	Hesperilla chrysotricha
493=	21	Hyalinaspis rubra
493=	21	Kudoa thyrsites
493=	21	Lasiopsylla rotundipennis
493=	21	Lecithochirium genypteri
493=	21	Lepidapedoides angustus
493=	21	Leptocoris tagalicus
493=	21	Melaleucococcus phacelopilus
493=	21	Nematodirus helvetianus
493=	21	Ornithoptera richmondia
493=	21	Platyobria capitata
493=	21	Progamotaenia petrogale
493=	21	Protographium leosthenes
493=	21	Thaumastocoris petilus
493=	21	Trichostrongylus retortaeformis
539=	20	Amphicephaloides thylogale
539=	20	Anamefiorinia lidgetti
539=	20	Andaspis incisor
539=	20	Andaspis numerata
539=	20	Anoplotaenia dasyuri
539=	20	Appias paulina
539=	20	Aulacaspis rosarum
539=	20	Blesingia fasciatipennis
539=	20	Callipappus farinosus
539=	20	Callohelmis pichelinae
539=	20	Carphodorus bilineatus
539=	20	Cethosia cydippe
539=	20	Chilodonella hexasticha
539=	20	Colgar peracutum
539=	20	Contracaecum sp.
539=	20	Delias nysa
539=	20	Diaphoraspis incisa
539=	20	Dichelyne (Cucullanellus) fraseri
539=	20	Elodina angulipennis
539=	20	Elodina padusa
539=	20	Eulaingia stenophyllae
539=	20	Eurema smilax
539=	20	Euschemon rafflesia
539=	20	Hemicycliophora biloculata
539=	20	Heteronympha mirifica
539=	20	Heteronympha paradelpha
539=	20	Icerya nudata
539=	20	Koptothrips dyskritus
539=	20	Kudoa thalassomi
539=	20	Neoleonardia chitinosa
539=	20	Oreixenica correae
539=	20	Oreixenica kershawi
539=	20	Oreixenica orichora
539=	20	Oxycarenus (Oxycarenus) luctuosus
539=	20	Paraclisis diomedeae
539=	20	Parlatoria fulleri
539=	20	Phenacaspis angusta
539=	20	Pseudotargionia cordata
539=	20	Rugopharynx australis
539=	20	Sarcocystis falcatula
539=	20	Setonophrys communis
539=	20	Skrjabinoptera goldmanae
539=	20	Suniana sunias
539=	20	Tetrameres sp.
539=	20	Triaspidis bicornis
539=	20	Trullifiorinia acaciae
539=	20	Wanaristrongylus papangawurpae
539=	20	Yoma sabina
587=	19	Amidostomum anseris
587=	19	Ceratomyxa whippsi
587=	19	Ctenocephalides felis felis
587=	19	Xenopsylla vexabilis
591=	18	Aacanthocnema casuarinae
591=	18	Abbreviata tumidocapitis
591=	18	Acanthopsylla pavida
591=	18	Aleurocanthus pendleburyi
591=	18	Aleuroduplidens carverae
591=	18	Aleuroduplidens eucalyptifolia
591=	18	Aleuroduplidens triangularis
591=	18	Aleuroinanis myrtacei
591=	18	Aleuromarginatus nemciae
591=	18	Balclutha frontalis
591=	18	Beveridgiella pearsoni
591=	18	Callitetrarhynchus gracilis
591=	18	Camelostrongylus mentulatus
591=	18	Catopsilia gorgophone
591=	18	Chilomastix caulleryi
591=	18	Chitonaleyrodes canberrensis
591=	18	Cooperia oncophora
591=	18	Cooperia punctata
591=	18	Coridromius monotocopsis
591=	18	Creontiades pacificus
591=	18	Cryptosporidium galli
591=	18	Deudorix democles
591=	18	Dialeurodes bicornicauda
591=	18	Dumbletoniella ellipticae
591=	18	Dumbletoniella xanthorrhoeae
591=	18	Ectenurus trachuri
591=	18	Eimeria macropodis
591=	18	Erysichton palmyra
591=	18	Eurema brigitta
591=	18	Eurema puella
591=	18	Felisacus elegantulus
591=	18	Filarinema flagrifer
591=	18	Globocephaloides affinis
591=	18	Haemoproteus ptilotis
591=	18	Halipeurus procellariae
591=	18	Haplothrips haideeae
591=	18	Helicotylenchus exallus
591=	18	Herpetostrongylus pythonis
591=	18	Hymenolepis megalops
591=	18	Hypochrysops apollo
591=	18	Hypochrysops pythias
591=	18	Hypochrysops theon
591=	18	Hypolycaena danis
591=	18	Jalmenus aridus
591=	18	Jalmenus lithochroa
591=	18	Jamides aleuas
591=	18	Koptothrips flavicornis
591=	18	Leptotes plinius
591=	18	Leucocytozoon anellobiae
591=	18	Lucia limbaria
591=	18	Mackerrastrongylus isoodon
591=	18	Mackerrastrongylus mawsonae
591=	18	Mackerrastrongylus peramelis
591=	18	Nasistrongylus antechini
591=	18	Naubates prioni
591=	18	Neolucia mathewi
591=	18	Nesolycaena caesia
591=	18	Nesolycaena urumelia
591=	18	Nyctotheroides raffae
591=	18	Ocirrhoe unimaculata
591=	18	Odilia tasmaniensis
591=	18	Odilia uromyos
591=	18	Ogyris barnardi
591=	18	Ogyris olane
591=	18	Ostertagia occidentalis
591=	18	Paralucia aurifer
591=	18	Paraustrostrongylus bettongia
591=	18	Paraustrostrongylus trichosuri
591=	18	Patricialina dasyuri
591=	18	Patricialina hickmani
591=	18	Pelecitus roemeri
591=	18	Perkinsus olseni
591=	18	Philiris diana
591=	18	Polyozus galbanus
591=	18	Pomponatius typicus
591=	18	Progamotaenia macropodis
591=	18	Pseudaleuroplatus litseae
591=	18	Pseudorictularia disparilis
591=	18	Radinacantha darwini
591=	18	Symmetrovesicula chaetodontis
591=	18	Thaumastocoris safordi
591=	18	Theclinesthes albocinctus
591=	18	Viennotaleyrodes curvisetosus
591=	18	Waddycephalus teretiusculus
591=	18	Zizula hylax
676=	17	Ceraon vitta
676=	17	Ectropis excursaria
676=	17	Neopsittaconirmus circumfasciatus
676=	17	Ophidascaris robertsi
680=	16	Acantholybas brunneus
680=	16	Austrobilharzia terrigalensis
680=	16	Batracomorphus adventitiosus
680=	16	Brentiscerus australis
680=	16	Cableia pudica
680=	16	Chaetocneme denitza
680=	16	Chaetocneme porphyropis
680=	16	Ciampa arietaria
680=	16	Diorchis flavescens
680=	16	Diorchis thomasorum
680=	16	Epomidiostomum sp.
680=	16	Epomidiostomum uncinatum
680=	16	Eurymeloides punctata
680=	16	Forficuloecus forficula
680=	16	Haemogregarina clelandi
680=	16	Icerya acaciae
680=	16	Inoma arrernte
680=	16	Inoma fuscata
680=	16	Macroposthonia xenoplax
680=	16	Nycteridostrongylus uncicollis
680=	16	Orosius lotophagorum
680=	16	Paradiscogaster quasimodo
680=	16	Pelopidas agna
680=	16	Pelopidas lyelli
680=	16	Pharyngodon tiliquae
680=	16	Phyllodistomum magnificum
680=	16	Plasmodium falciparum
680=	16	Plasmodium vivax
680=	16	Sabera dobboe
680=	16	Trabeculus schillingi
680=	16	Trypanosoma anellobiae
680=	16	Xiphoidellus furvus
712=	15	Aleuroctarthrus destructor
712=	15	Allantomytilus maideni
712=	15	Anisynta cynone
712=	15	Antipodia chaostola
712=	15	Aonidiella eremocitri
712=	15	Aspidonymus woodwardi
712=	15	Austroasca alfalfae
712=	15	Austrostrongylus chandleri
712=	15	Badamia exclamationis
712=	15	Bemisia euphorbiae
712=	15	Bemisia gigantea
712=	15	Berlesaspis spinifera
712=	15	Bucephalopsis trachichthodi
712=	15	Ceratomyxa sprenti
712=	15	Ceratomyxa talboti
712=	15	Chrysomphalus fodiens
712=	15	Degeeriella fusca
712=	15	Diaphoraspis orbata
712=	15	Diaphorina citri
712=	15	Diaspidiotus loranthi
712=	15	Diaspis echinocacti
712=	15	Ditylenchus anchilisposomus
712=	15	Eugreeniella pulchra
712=	15	Gonocerca phycidis
712=	15	Halipeurus pelagodromae
712=	15	Lepidosaphes casuarinae
712=	15	Lepidosaphes macadamiae
712=	15	Lepidosaphes pallida
712=	15	Machidatrema leonae
712=	15	Motasingha trimaculata
712=	15	Neoleonardia alata
712=	15	Neoleonardia extensa
712=	15	Ophiotaenia gallardi
712=	15	Paraheterotyphlum australe
712=	15	Parlatoria pergandii
712=	15	Parlatoria ziziphi
712=	15	Phaulomytilus striatus
712=	15	Phenacaspis formosa
712=	15	Pingasa chlora
712=	15	Pinnaspis melaleucae
712=	15	Pretestis australianus
712=	15	Pseudaonidia casuarinae
712=	15	Pseudaonidia trilobitiformis
712=	15	Remotaspidiotus chenopodii
712=	15	Rhizaspidiotus gidgei
712=	15	Saemundssonia (Saemundssonia) desolata
712=	15	Synaleurodicus serratus
712=	15	Toxidia peron
712=	15	Trapezites luteus
712=	15	Trapezites symmomus
712=	15	Triaspidis lidgetti
712=	15	Trichomytilus formosus
712=	15	Zebrasomatrema pichelinae
712=	15	Zschokkella leptatherinae
766=	14	Abbreviata levicauda
766=	14	Acizzia acaciaedealbatae
766=	14	Acizzia acaciaejuniperinae
766=	14	Acizzia frenchi
766=	14	Acizzia jucunda
766=	14	Acizzia lidgetti
766=	14	Acizzia uncatoides
766=	14	Agelaeopsylla maculatae
766=	14	Akainothrips ireneae
766=	14	Amidostomum tribonyx
766=	14	Amorbus obscuricornis
766=	14	Amorbus rubiginosus
766=	14	Anoeconeossa morgani
766=	14	Anoeconeossa nigripennis
766=	14	Anoeconeossa secreta
766=	14	Anoeconeossa socciformis
766=	14	Australopsylla carinata
766=	14	Austromenopon popellus
766=	14	Austrostrongylus incurvispiculum
766=	14	Austrostrongylus macropodis
766=	14	Austrostrongylus minutus
766=	14	Austrostrongylus safestatus
766=	14	Austrostrongylus thylogale
766=	14	Austrostrongylus victoriensis
766=	14	Austrostrongylus wallabiae
766=	14	Blastopsylla bivittata
766=	14	Blepharocosta cloezianae
766=	14	Blepharocosta minima
766=	14	Blepharocosta phaeotrichae
766=	14	Boreioglycaspis australiensis
766=	14	Cardiaspina albitextura
766=	14	Cardiaspina bilobata
766=	14	Cardiaspina brunnea
766=	14	Cardiaspina caestata
766=	14	Cardiaspina jerramungae
766=	14	Cardiaspina squamula
766=	14	Cardiaspina virgulipelta
766=	14	Cardiaspina vittaformis
766=	14	Cephalenchus emarginatus
766=	14	Cloacina similis
766=	14	Coleocoris ocellatus
766=	14	Conifericoccus agathidis
766=	14	Creiis corniculatus
766=	14	Creiis costatus
766=	14	Creiis longipennis
766=	14	Cryptoneossa triangula
766=	14	Cryptorhamphus orbus
766=	14	Ctenarytaina eucalypti
766=	14	Ctenarytaina thysanura
766=	14	Cuspicona simplex
766=	14	Diplotriaena sp.
766=	14	Eucalyptolyma maideni
766=	14	Eustrongylides gadopsis
766=	14	Glycaspis (Glycaspis) amnicola
766=	14	Glycaspis (Glycaspis) anota
766=	14	Glycaspis (Glycaspis) aurosala
766=	14	Glycaspis (Glycaspis) blakei
766=	14	Glycaspis (Glycaspis) campbelli
766=	14	Glycaspis (Glycaspis) cnecosia
766=	14	Glycaspis (Glycaspis) collina
