rank	count	TAXON_LSID
166=	50	urn:lsid:biodiversity.org.au:afd.taxon:1d1ca169-70d7-48e1-8c1a-552a4f5569f1
166=	50	urn:lsid:biodiversity.org.au:afd.taxon:87b586c7-0699-4ed6-b4fa-994c2d8d8d97
166=	50	urn:lsid:biodiversity.org.au:afd.taxon:97f7681e-3902-4c91-831c-827b0e45099c
166=	50	urn:lsid:biodiversity.org.au:afd.taxon:fce2481b-3baa-447b-884d-48162243f3a9
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:0226eba2-ff9e-4f8a-b636-6c1f86c02d36
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:3dfb58a5-e76f-4662-889d-99cb26c74b3d
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:5e9c66a3-2438-4247-9612-3a502ecfcaa7
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:7ab6e667-46c7-4d4b-9bdd-3eb89b35b2b7
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:a35226dd-7f80-4a6d-b637-9ff498218313
172=	49	urn:lsid:biodiversity.org.au:afd.taxon:b4beddfe-8478-42cb-9f79-d6252e94c130
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:029400a8-7a71-4739-ac60-446b54d59e7f
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:1c479955-9618-43ab-858a-dcc8342e9c3b
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:30e2939d-81aa-4dd5-a1ab-874198b17b15
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:40b5bd38-1d08-4686-9858-f721e9d5b857
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:cb76d019-5c47-4e31-a1d5-292c0f12b6f2
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:d4980ca8-ad60-4b5f-96ab-e17c899a77cf
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:decfd2c8-cf57-430c-bfed-af3dab80fc6c
178=	48	urn:lsid:biodiversity.org.au:afd.taxon:f7c47325-2dec-4ad2-9b42-3a332c76d70f
186	47	urn:lsid:biodiversity.org.au:afd.taxon:0b5d6244-f6fd-4c66-9987-976b39fcf6a1
187=	46	urn:lsid:biodiversity.org.au:afd.taxon:81520881-2cb7-4f0c-9414-a79d716beade
187=	46	urn:lsid:biodiversity.org.au:afd.taxon:96243e32-5bbe-4980-9a7c-4b6f711fe8a6
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:1364827c-9e33-4e81-80a0-0669f9dec5b9
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:1ebffae5-3d21-43cd-a3e5-1f66d1032bc4
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:1ed2ddfc-b00c-4c08-909d-c5c1c59b17c0
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:327b2875-6788-4654-84c5-e1343d99bf4e
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:4140994e-ed48-4470-b4dd-6d163fe199ec
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:4df5efd6-1c32-41e3-89b0-3a768dcca2f2
