rank	count	N_AUTHOR
356=	19	(G.Forst.) Wedd.
356=	19	(Labill.) S.W.L.Jacobs & J.Everett
356=	19	(Vent.) Willd.
356=	19	Decne.
356=	19	Diels
356=	19	Emery
356=	19	Hutchins
356=	19	Lindl. & Paxton
356=	19	Martin <i>et al</i>.
356=	19	Planchon
367=	18	(Berg.) Salter
367=	18	(C.T.White) Ding Hou
367=	18	(DC.) Blume
367=	18	(Knight) Domin
367=	18	(Labill.) Muell.Arg.
367=	18	(Lam.) Muell.Arg.
367=	18	(Muell.Arg.)
367=	18	(R.Br.) A.J.Scott
367=	18	(Salisb.) Macbr.
367=	18	(Wallich.) Muell.Arg.
367=	18	Crantz
367=	18	Duretto
367=	18	Ewart & Jean White
367=	18	Goldfuss
367=	18	I.Nielsen
367=	18	K.D.Hill
367=	18	Maynes
367=	18	N.A.Wakef.
367=	18	Paul G.Wilson
367=	18	Poir.
367=	18	Reinw. Ex Blume
367=	18	Schldl.
367=	18	Wall. ex Roxb.
390=	17	(Benth.) Maiden & Blakely ex J.Black
390=	17	Boitard
390=	17	DC
390=	17	G. Forster
390=	17	G.R. Gray
390=	17	Jourdan
390=	17	Rothschild
390=	17	Salisb.
390=	17	Swingle
390=	17	Tarragon
390=	17	Tind. & Maslin
390=	17	W.Hill ex Maiden
402=	16	(Benth.) Maiden & Blakely ex J.M.Black
402=	16	(Endl.) Schauer
402=	16	(Meisn.) F.Muell.
402=	16	(Sw.) DC.
402=	16	(Willd.) DC.
402=	16	Davis <i>et al</i>.
402=	16	Duch.
402=	16	Duméril, Bibron & Duméril
402=	16	Haacke
402=	16	Müller
402=	16	Nieden
402=	16	Taylor
402=	16	Trouessart
402=	16	aff. <I>pubera</I>
416=	15	(DC.) Benth.
416=	15	(G.Forst.) Wight & Arn.
416=	15	(L.) Burm.
416=	15	(L.) Spreng.
416=	15	(R.Br.) Hochr. ex Britten
416=	15	(R.Br.) Peter G.Wilson & J.T.Waterh.
416=	15	(Schott & Endl.) Terrac.
416=	15	(Sieber ex Spreng.) Tiegh.
416=	15	(Sm.) Willd.
416=	15	(Thunb.) Lindl.
416=	15	A.Cunn. & C.Fraser ex Hook.
416=	15	Ahl
416=	15	Aiton.
416=	15	Badham
416=	15	Baill.
416=	15	C.T.White & W.D.Francis
416=	15	F.Muell. ex R.T.Baker
416=	15	J.M.Black
416=	15	Jordan & Snyder
416=	15	Oliv.
416=	15	Otto
416=	15	Rafin.
416=	15	Ramsay & Ogilby
416=	15	Sonn.
416=	15	Spencer
416=	15	W.T.Aiton
416=	15	Warb.
443=	14	(Andrews) Lindl.
443=	14	(Bailey) C.T.White ex L.S.Sm.
443=	14	(Desf.) S.T.Reynolds
443=	14	(F.Muell.) F.M.Bailey
443=	14	(F.Muell.) J.W.Grimes
443=	14	(L.) Levyns
443=	14	(Lam.) L.Johnson
443=	14	(Lindl.) F.Muell.
443=	14	(Loudon) Endl.
443=	14	(Montr.) Guillaumin
443=	14	(Sm.) Nied.
443=	14	A.S.George
443=	14	B.K. Symon
443=	14	Becc.
443=	14	Blakely & McKie
443=	14	Brandt
443=	14	Burm.f.
443=	14	Burret
443=	14	Copland
443=	14	Cunn. Ex Schauer
443=	14	Erxleben
443=	14	Forde & Ising
443=	14	J.Gay
443=	14	Jordan & Seale
443=	14	McGill.
443=	14	Saff.
443=	14	Sieber ex DC.
443=	14	Sond.
443=	14	Teysm. & Binn.
472=	13	(Behr) Tiegh.
472=	13	(Benth.) Perkins
472=	13	(Benth.) Peter G.Wilson & J.T.Waterh.
472=	13	(Burm. f.) P.V. Bruyns
472=	13	(F.Muell.) Schltr.
472=	13	(L.) Blume
472=	13	(L.) DC.
472=	13	(L.) Gaertn.
472=	13	(L.) Mull.Arg.
472=	13	(Labill.) Benth.
472=	13	(Sm.) Benth.
472=	13	(Walter) Kuntze
472=	13	A.Cunn. ex R.Br.
472=	13	Daudin
472=	13	Harris
472=	13	Hermann
472=	13	Ker Gawl.
472=	13	Lamarck
472=	13	Ortega
472=	13	P.I.Forst.
472=	13	Peale
472=	13	R.Br. ex Trail
472=	13	Schltr.
472=	13	Schultz
472=	13	Stirling
472=	13	Wendl.
472=	13	Willdenow
499=	12	(A.Cunn. ex Benth.) Chinnock
499=	12	(Aiton) W.T.Aiton
499=	12	(Andrews) Domin
499=	12	(Benth.) F.M.Bailey
499=	12	(C.T.White) L.S.Sm.
499=	12	(Cav.) Steudel
499=	12	(F.Muell.) Mez
499=	12	(Gaertn.) Hochr.
499=	12	(Hayata)
499=	12	(K.D.Koenig) Stapf
499=	12	(L.)
499=	12	(L.) A.Juss.
499=	12	(Lam.) Mull.Arg.
499=	12	(Lepechin) Garcke
499=	12	(Lour.) Raeusch.
499=	12	(Miq.) L.A.S. Johnson
499=	12	(R.Br.) Kosterm.
499=	12	(Roxb.) Benth.
499=	12	(Tul.) Benth.
499=	12	A. Gray
499=	12	A.Cunn. ex Woolls
499=	12	Aiton ex Dryandra
499=	12	Arthur
499=	12	Desr.
499=	12	E. Pritz.
499=	12	E.Pritz.
499=	12	Lamk.
499=	12	Main
499=	12	Mueller
499=	12	Park
499=	12	Planch.
499=	12	Preiss ex Meisn.
499=	12	Ruiz & Pavón
499=	12	Skan
499=	12	Specht
499=	12	Spin & Colla
499=	12	Tilesius
499=	12	aff. <I>rigida</I>
537=	11	(Benth.) I.Nielsen
537=	11	(Benth.) Radlk.
537=	11	(DC.) Backer ex K.Heyne
537=	11	(Hochst.) Walp.
537=	11	(Kunth) L.H.Bailey
537=	11	(L.) F.Muell.
537=	11	(L.) Lam.
537=	11	(L.) R.Br.
537=	11	(Lour.) C.B.Rob.
537=	11	(Wall. ex Hook.) Benth.
537=	11	Blake
537=	11	Cantor
537=	11	Desv.
537=	11	Du Roi
537=	11	E.Fourn.
537=	11	Evermann & Seale
537=	11	Fischer
537=	11	Fresen.
537=	11	Gaudich.
537=	11	Haswell
537=	11	Hook f.
537=	11	Kosterm.
537=	11	M.Roxb.
537=	11	Merrem
537=	11	Merrill
537=	11	Miers
537=	11	Naudin
537=	11	Regel
537=	11	Sieber ex Benth.
537=	11	Sleumer
537=	11	Stapf
537=	11	Stål
537=	11	Tindale
537=	11	Torr.
537=	11	Zoll. & Mor.
572=	10	(Bailey) Hoogland ex Ooststr.
572=	10	(Benth.) Burret
572=	10	(Benth.) Danser
572=	10	(Benth.) S.T.Blake
572=	10	(Borkh.) C.K.Schneid.
572=	10	(Brongn. & Griseb.) Merr.
572=	10	(Burm.f.) DC.
572=	10	(Cav.) Bremek.
572=	10	(Cham.) Becc.
572=	10	(Christm. & Panz.) Swingle
572=	10	(DC.) Urb.
572=	10	(Decne.) K.L.Wilson
572=	10	(Denst.) Prain
572=	10	(Endl.) Harms
572=	10	(F.Muell.) Gees.
572=	10	(F.Muell.) P.I.Forst.
572=	10	(F.Muell.) P.I.Forster
572=	10	(Fisch. ex Gaudich.) C.A.Gardner
572=	10	(Hook.) Hook.f. ex Benth.
572=	10	(K. Koch) Wangenh.
572=	10	(Kunth) Chew
572=	10	(L.) Fritsch ex E.Jansen
572=	10	(L.) Greene
572=	10	(L.) Griffith
572=	10	(L.) J.Vahl
572=	10	(L.) Jack
572=	10	(L.) Lagr.-Foss.
572=	10	(L.) Poit.
572=	10	(L.) Scop.
572=	10	(L.) Walp.
572=	10	(Labill.) DC.
572=	10	(Labill.) Druce
572=	10	(Labill.) H.P.Lindner
572=	10	(Labill.) Miq.
572=	10	(Lindl.) S.W.L.Jacobs & J.Everett
572=	10	(Miq.) Cheel
572=	10	(R.Br.) A.Camus
572=	10	(R.Br.) Bremek.
572=	10	(R.Br.) H.P. Lindner
572=	10	(R.Br.) H.P.Lindner
572=	10	(R.Br.) P.I.Forster
572=	10	(R.Br.) R.M.Barker
572=	10	(R.Br.) Sojak
572=	10	(Req.) Dandy
572=	10	(Schult.) Paul G.Wilson
572=	10	(Tul.) A.DC.
572=	10	(Turcz.) Paul G.Wilson
572=	10	(Vent.) Anderb. & Haegi
572=	10	(Wedd.) Chew
572=	10	(author unknown)
572=	10	Adr.Juss.
572=	10	Andersson
572=	10	Boie
572=	10	Brook
572=	10	C.Moore
572=	10	Chaix
572=	10	Claus
572=	10	DC. var. <I>penninervis</I>
572=	10	Danser
572=	10	Desrousseaux
572=	10	Greene
572=	10	Hooker
572=	10	Humb. & Bonpl.
572=	10	J.B.Williams
572=	10	Klunzinger
572=	10	Kner & Steindachner
572=	10	Kuhl & Van Hasselt
572=	10	Less.
572=	10	Loudon
572=	10	Macf.
572=	10	Maiden & Cambage
572=	10	Molina
572=	10	P.Beauv.
572=	10	P.S.Green
572=	10	R.Br.) Nees
572=	10	Schlecht. & Cham.
572=	10	Schlegel & Müller
572=	10	Schrad. & J.C.Wendl.
572=	10	Sieber ex. Spreng
572=	10	Stokes
572=	10	Swartz
572=	10	Tanaka
572=	10	Urtica incisa
572=	10	Vahl
572=	10	Werner
572=	10	aff. <I>apiculatum</I>
572=	10	aff. <I>timorensis</I>
659=	9	(Andrews) B.G.Briggs & Ehrend.
659=	9	(Andrews) Benth.
659=	9	(Andrews) Sieber ex Sims
659=	9	(Bailey) Fahn
659=	9	(Bailey) Peter G.Wilson & J.T.Waterh.
659=	9	(Benth.) Chinnock
659=	9	(Benth.) Rauschert
659=	9	(Blume) Reinw. ex Blume
659=	9	(C.Moore & F.Muell.) Harms
659=	9	(Cav.) C.Robinson
659=	9	(DC.) Harms
659=	9	(Domin) Randell
659=	9	(Dryander) F.Muell.
659=	9	(F.M.Bailey) Domin
659=	9	(F.Muell. ex Benth.) M.F.Duretto
659=	9	(F.Muell.) Bailey
659=	9	(F.Muell.) Mason
659=	9	(F.Muell.) Swingle
659=	9	(F.Muell.) T.G.Hartley & L.M.Perry
659=	9	(F.vM.) Kostermans
659=	9	(Fresen.) H.S.Irwin & Barneby
659=	9	(G.Don) Joy Thomps.
659=	9	(Gaertner) Britten
659=	9	(Gaudich. ex DC.) Randell
659=	9	(Hook.) Oliv.
659=	9	(Jacq.) Benth.
659=	9	(L.) A.Rich.
659=	9	(L.) Aug.DC.
659=	9	(L.) J.Sm.
659=	9	(L.) Muell.Arg.
659=	9	(L.) Savigny ex Lam.
659=	9	(L.) Schott
659=	9	(L.) Verdc.
659=	9	(Lam.) H.S.Irwin & Barneby
659=	9	(Meissner) Benth.
659=	9	(Moq.) Paul G.Wilson
659=	9	(Morris) Randell
659=	9	(N.Burman) Merr.
659=	9	(R.Br.) J.Black
659=	9	(R.Br.) Mez
659=	9	(R.Br.) Moq.
659=	9	(R.Br.) Raf.
659=	9	(Rchb. ex Kunze) J.W.Grimes
659=	9	(Roxb.) Hara
659=	9	(Salisb.) Miq.
659=	9	(Schneev.) Stearn
659=	9	(Seem) A.C.Smith
659=	9	(Sm.) Druce
659=	9	(Sweet) Randell
659=	9	(Thunb.) J.F.Macbr.
659=	9	(Ung.-Sternb.) A.J.Scott
659=	9	(Vahl) Kosterm.
659=	9	(Valeton) Moldenke
659=	9	(Vent.) G.Don
659=	9	(Vent.) R.Br.
659=	9	(Wendl.) Macbr.
659=	9	(Wight & Arn.) Verdc.
659=	9	(Willd.) Druce
659=	9	(Willd.) Paul G.Wilson
659=	9	A. Cunn.
659=	9	A.Cunn ex Benth
659=	9	Borowski
659=	9	Braid
659=	9	C.F.Gaertn.
659=	9	Cantley ex King
659=	9	D.Albrecht
659=	9	Dennst.
659=	9	Ding Hou
659=	9	F.Meull.
659=	9	F.Mueller
659=	9	Fenzl
659=	9	Finsch
659=	9	Forster & G.Forster
659=	9	Guillemin & Perrottet
659=	9	H.W. Parker
659=	9	Hayne
659=	9	Hector
659=	9	Hollard
659=	9	I.Verd.
659=	9	J.Black
659=	9	Jack
659=	9	Johnson
659=	9	Kuchel
659=	9	Leach
659=	9	Liénard
659=	9	M.Roem.
659=	9	Mast.
659=	9	Merr. & Perry
659=	9	Pennant
659=	9	Salvin
659=	9	Schott & Endl.
659=	9	Schreber
659=	9	Scop.
659=	9	T.Moore
659=	9	Vent. (Willd.)
659=	9	W.Hill & F.Muell.
659=	9	Walbaum
659=	9	Welch, Coombs, & McGlynn
659=	9	Winter
659=	9	Woodland
659=	9	aff. <I>erythrocalyx</I>
659=	9	sub.sp. <I>nemophila</I> Randell
761=	8	(A.Cunn. ex G.Don) Macarthur & C.Moore
761=	8	(C.T.White) T.G. Hartley
761=	8	(F.Muell.) Paul G.Wilson
761=	8	(F.Muell.) T.G. Hartley
761=	8	(F.Muell.) T.G.Hartley & Jessup
761=	8	(J.C.Wendl.) Druce
761=	8	(Lour.) W.Clayton
761=	8	(Miq.) L.Johnson
761=	8	(R.Br.) Reinw. ex Blume
761=	8	(Sm.) Cav.
761=	8	(Sm.) Paul G.Wilson
761=	8	(Steud.) C.E.Hubb.
761=	8	A. Smith
761=	8	A.K.Irvine
761=	8	Alexander
761=	8	Bertoloni
761=	8	Blakely & C.T.White
761=	8	Brauer
761=	8	Bruce
761=	8	Craven
761=	8	Dixon
761=	8	Dollo
761=	8	Dönitz
761=	8	F.A.A. Meyer
761=	8	F.Muell. ex L.Johnson
761=	8	Gaertner
761=	8	Glauert
761=	8	H.B & K.
761=	8	Hübner
761=	8	J.Drumm. ex Harv.
761=	8	Jameson
761=	8	Munir
761=	8	Nicholls
761=	8	North
761=	8	Poiret
761=	8	Savigny
761=	8	Schltdl.
761=	8	Skuse
761=	8	Smith & Schuster
761=	8	Van Dyck
761=	8	Wakefield
761=	8	Weber
761=	8	von Martens
804=	7	(A.DC.) J.Sinclair
804=	7	(A.Rich.) Pierre
804=	7	(Bailey) Jessup
804=	7	(Benth.) Jessup
804=	7	(Benth.) Peter G.Wilson & J.T. Waterh.
804=	7	(Blanco) Blanco
804=	7	(F.M.Bailey) Edlin
804=	7	(F.M.Bailey) M.J.Parsons
804=	7	(F.Muell.) Baill.
804=	7	(F.Muell.) C.T.White ex L.S.Sm.
804=	7	(F.Muell.) Harms
804=	7	(Hook.) F.Muell.
804=	7	(Humb. & Bonpl. ex Willd.) Kunth
804=	7	(L.) Merrill
804=	7	(Lam.)de Wit
804=	7	(Lauterb. & Schum) T.G.Hartley
804=	7	(Lindl.) I.H.Burkill
804=	7	(Maiden & Blakely) Blakely & C.White
804=	7	(Maiden & Blakely) L.Johnson & Blaxell
804=	7	(Molina) Stuntz
804=	7	(Mull.Arg.) Mull.Arg.
804=	7	(O.Schwarz) Airy Shaw
804=	7	(Poir.) A.C.Sm.
804=	7	(Salsb.) Court
804=	7	(Schauer) Benth.
804=	7	(Schlect.) J.W.Grimes
804=	7	(Smith) E.Greene
804=	7	(Sol. ex Aiton) Sm.
804=	7	(Sol. ex Gaertner) PeterG.Wilson & J.T.Waterh.
804=	7	A.Cunn. ex Vogel
804=	7	Bartl.
804=	7	C.E.Hubb
804=	7	Colla
804=	7	Collette & Russo
804=	7	Cunn. ex Woolls
804=	7	Dumeril
804=	7	E.Pritzel
804=	7	F.Muell. & Behr ex F.Muell.
804=	7	Hieron.
804=	7	Hombron & Jacquinot
804=	7	Hosmer
804=	7	Ingram <i>et al</i>.
804=	7	J.D.Hook
804=	7	Joy Thomps. & L.A.S.Johnson
804=	7	L.F.
804=	7	L.Johnson & Blaxell
804=	7	Lem.
804=	7	Lewin
804=	7	Lowe
804=	7	Luehm.
804=	7	M.Gray
804=	7	Ogilby & McCulloch
804=	7	Perry
804=	7	Pontoppidan
804=	7	Powell
804=	7	Péron
804=	7	Reichenow
804=	7	Retz.
804=	7	S.Moore
804=	7	Sturt
804=	7	Temminck & Schlegel
804=	7	Tyler, Davies & Martin
804=	7	W.Fitzg. ex Maiden
804=	7	Wagler
804=	7	Wight
804=	7	Wooton
804=	7	Zimmermann
804=	7	de Man
872=	6	(A.Gray) Radlk.
872=	6	(Aiton) L. Johnson
872=	6	(Benth.) Ewart
872=	6	(C.Presl) Benl
872=	6	(DC.) Baillon
872=	6	(DC.) Benth
872=	6	(DC.) F. Muell.
872=	6	(DC.) Sweet
872=	6	(Diels) L.A.S. Johnson
872=	6	(Endl.) Lindl.
872=	6	(F. Muell.) Krasser
872=	6	(F.Muell.) A.R.Bean & M.W.McDonald
872=	6	(Gaudich.) F.Muell.
872=	6	(Günther
872=	6	(Hook.) K.D.Hill & L.A.S.Johnson
872=	6	(Hughes) S.W.L.Jacobs & J.Everett
872=	6	(Miq.) L. Johnson
872=	6	(Osbeck) Kosterm.
872=	6	(Poir.) Merr. & L.M.Perry
872=	6	(R.Br.) Ewart
872=	6	(R.Br.) L.R.Fraser & Vickery
872=	6	(R.Br.) Stapf
872=	6	(Vent.) L.A.S.Johnson
872=	6	A.T.Lee
872=	6	Alleyne & MacLeay
872=	6	Bourdon
872=	6	Brongersma
872=	6	Chinnock
872=	6	Clarke
872=	6	D.C.
872=	6	De Haan
872=	6	Desf. ex Vent.
872=	6	Desmares
872=	6	Dubois
872=	6	Geromboux
872=	6	Hinto
872=	6	J.Knight
872=	6	Kirkaldy
872=	6	Kuiter
872=	6	L'Hér
872=	6	Le Souef
872=	6	Lehm.
872=	6	Less
872=	6	Lindenmayer, Dubach & Viggers
872=	6	Loveridge
872=	6	Lönnberg
872=	6	M'Coy
872=	6	Mooi & Jubb
872=	6	Murphy & Harper
872=	6	Nal.
872=	6	Pontoppidian
872=	6	R.S.Cowan
872=	6	R.T. Baker
872=	6	Raffles
872=	6	Randell
872=	6	Reid
872=	6	Rottb.
872=	6	Schneiger
872=	6	Stimpson
872=	6	Stirling & Zietz
872=	6	Stschegl.
872=	6	Tunstall
872=	6	W. Fitzg.
872=	6	Wall.
872=	6	Wasmann
872=	6	de Haan
938=	5	(Aiton) Hassk.
938=	5	(Andrews) Knight
938=	5	(Andrews) M.D.Crisp & P.H.Weston
938=	5	(Bailey) C.T.White & W.D.Francis
938=	5	(Benth.) Engl.
938=	5	(Decne.) Benth.
938=	5	(F.Muell.) Airy Shaw
938=	5	(F.Muell.) Engl.
938=	5	(Fee) C.Presl
938=	5	(G.Don) Radlk.
938=	5	(L.) C.Presl
938=	5	(L.) Correa
938=	5	(L.) Liebm.
938=	5	(L.) R.Wilczek
938=	5	(L.)Schott
938=	5	(L.f.) C.Presl
938=	5	(Lam.) L. Johnson
