rank	count	N_NAME
88=	64	Terminalia catappa
93=	63	Bursaria spinosa
93=	63	Monotoca elliptica
95=	62	Acacia saligna
95=	62	Rosa sp.
97=	61	Dasyurus hallucatus
97=	61	Persea americana
97=	61	Rhytidoponera metallica
97=	61	Uromys caudimaculatus
101=	60	Capparis canescens
101=	60	Eucalyptus macrorhyncha
101=	60	Eucalyptus pauciflora
101=	60	Gallus gallus
105=	59	Cocos nucifera
105=	59	Mus musculus
105=	59	Thylogale stigmatica
108=	58	Annona reticulata
108=	58	Brachychiton acerifolius
108=	58	Cynodon dactylon
108=	58	Eucalyptus nitida
112=	57	Dendrophthoe curvata
112=	57	Rattus rattus
114=	56	Acacia flavescens
114=	56	Eucalyptus pilularis
114=	56	Flueggea virosa
114=	56	Lophostemon suaveolens
114=	56	Muellerina celastroides
114=	56	Pandanus sp.
114=	56	Poa tenera
121=	55	Cinnamomum camphora
121=	55	Citrus limon
123=	54	Acacia victoriae
123=	54	Cajanus reticulatus
123=	54	Canis familiaris
123=	54	Mugil cephalus
127=	53	Araucaria cunninghamii
127=	53	Macropus agilis
127=	53	Santalum lanceolatum
130=	52	Antechinus flavipes
130=	52	Banksia sp.
130=	52	Eucalyptus diversifolia
130=	52	Malus sylvestris
134=	51	Calophyllum inophyllum
134=	51	Casuarina cunninghamiana
134=	51	Pyrus communis
137=	50	Acacia implexa
137=	50	Acacia papyrocarpa
137=	50	Albizia lebbeck
137=	50	Asystasia gangetica
137=	50	Brachychiton populneus
137=	50	Capparis sepiaria
137=	50	Eucalyptus amygdalina
137=	50	Eucalyptus polyanthemos
137=	50	Heterodendrum diversifolium
137=	50	Lagorchestes conspicillatus
137=	50	Petrogale inornata
137=	50	Pseuderanthemum variabile
137=	50	Rattus lutreolus
137=	50	Sminthopsis leucopus
151=	49	Eucalyptus crebra
151=	49	Eucalyptus globulus
151=	49	Medicago sativa
151=	49	Microlaena stipoides
155=	48	Cherax destructor
155=	48	Eucalyptus saligna
155=	48	Lepus europaeus
155=	48	Setonix brachyurus
155=	48	Terminalia sp.
155=	48	Thylogale thetis
161=	47	Acacia neriifolia
161=	47	Amyema sanguinea
161=	47	Capparis mitchellii
161=	47	Eucalyptus
161=	47	Gahnia sieberiana
161=	47	Muellerina eucalyptoides
161=	47	Phaseolus vulgaris
161=	47	Senna alata
161=	47	Thylogale billardierii
170=	46	Acanthopagrus australis
170=	46	Amyema congener
170=	46	Eucalyptus regnans
170=	46	Iridomyrmex sp.
170=	46	Macadamia sp.
170=	46	Poa spp.
176=	45	Acacia baileyana
176=	45	Eucalyptus radiata
176=	45	Smilax australis
176=	45	Varanus gouldii
180=	44	Alphitonia excelsa
180=	44	Dasyurus maculatus
180=	44	Eucalyptus piperita
180=	44	Eucalyptus pulchella
180=	44	Gahnia clarkei
180=	44	Hakea sp.
180=	44	Planchonia careya
180=	44	Potorous tridactylus
188=	43	Agonis flexuosa
188=	43	Limnodynastes dorsalis
190=	42	Acacia rubida
190=	42	Acacia stenophylla
190=	42	Aegiceras corniculatum
190=	42	Cryptocarya hypospodia
190=	42	Eucalyptus odorata
190=	42	Eucalyptus rostrata
190=	42	Leptospermum laevigatum
190=	42	Petrogale godmani
190=	42	Psidium guajava
190=	42	Undetermined sp.
190=	42	Xanthorrhoea sp.
201=	41	Adenia heterophylla
201=	41	Annona squamosa
201=	41	Citrus reticulata
201=	41	Dasyurus geoffroii
201=	41	Litoria aurea
201=	41	Macquaria ambigua
201=	41	Melaleuca linariifolia
201=	41	Mimosa pigra
209=	40	Acacia leiocalyx
209=	40	Acacia spp.
209=	40	Angophora floribunda
209=	40	Banksia integrifolia
209=	40	Citrus aurantium
209=	40	Dama dama
209=	40	Hydromys chrysogaster
209=	40	Lagerstroemia speciosa
209=	40	Mustelus antarcticus
209=	40	Terminalia melanocarpa
209=	40	Terminalia muelleri
220=	39	Acacia tetragonophylla
220=	39	Buchanania obovata
220=	39	Eucalyptus capitellata
220=	39	Faradaya splendida
220=	39	Flagellaria indica
220=	39	Geijera salicifolia
220=	39	Hygrophila angustifolia
227=	38	Acacia irrorata
227=	38	Acacia mangium
227=	38	Callistemon viminalis
227=	38	Cassytha pubescens
227=	38	Eremophila mitchellii
227=	38	Eucalyptus foecunda
227=	38	Limnodynastes tasmaniensis
227=	38	Litsea leefeana
227=	38	Prunus persica
227=	38	Senna surattensis
227=	38	Sorghum bicolor
238=	37	Acacia penninervis
238=	37	Amyema linophylla
238=	37	Arenaria interpres
238=	37	Lumnitzera racemosa
238=	37	Macropus antilopinus
243=	36	Acacia bidwillii
243=	36	Allocasuarina verticillata
243=	36	Amyema conspicua
243=	36	Arytera pauciflora
243=	36	Bufo marinus
243=	36	Charadrius ruficapillus
243=	36	Connarus conchocarpus
243=	36	Cryptocarya triplinervis
243=	36	Dasyurus viverrinus
243=	36	Eucalyptus albens
243=	36	Eucalyptus cambageana
243=	36	Eucalyptus maculata
243=	36	Eucalyptus marginata
243=	36	Eucalyptus robusta
243=	36	Leersia hexandra
243=	36	Many sp.
243=	36	Pittosporum phylliraeoides
260=	35	Annona muricata
260=	35	Avicennia marina
260=	35	Celtis paniculata
260=	35	Citrus paradisi
260=	35	Eucalyptus baxteri
260=	35	Eucalyptus coccifera
260=	35	Eucalyptus platypus
260=	35	Eucalyptus rodwayi
260=	35	Ficus macrophylla
260=	35	Ficus microcarpa
260=	35	Lantana camara
260=	35	Litoria caerulea
260=	35	Lomandra longifolia
260=	35	Olea europaea
260=	35	Onychogalea unguifera
260=	35	Premna serratifolia
276=	34	Acacia cambagei
276=	34	Acacia podalyriifolia
276=	34	Carica papaya
276=	34	Ceratopetalum gummiferum
276=	34	Cherax tenuimanus
276=	34	Exocarpos aphyllus
276=	34	Hibiscus tiliaceus
276=	34	Melaleuca nodosa
276=	34	Neolitsea sp.
276=	34	Prunus domestica
276=	34	Triticum aestivum
276=	34	Varanus tristis
288=	33	Abudefduf whitleyi
288=	33	Anas gibberifrons
288=	33	Banksia marginata
288=	33	Cynanchum carnosum
288=	33	Eucalyptus acmenoides
288=	33	Litsea breviumbellata
288=	33	Melaleuca uncinata
288=	33	Poa labillardieri
288=	33	Scolopia braunii
288=	33	Syzygium sp.
298=	32	Acacia aprepta
298=	32	Acacia maidenii
298=	32	Anas superciliosa
298=	32	Canis lupus familiaris
298=	32	Ceriops tagal
298=	32	Dromaius novaehollandiae
298=	32	Eucalyptus ovata
298=	32	Gossypium hirsutum
298=	32	Katsuwonus pelamis
298=	32	Litoria peronii
298=	32	Plumeria rubra
298=	32	Varanus varius
310=	31	Acacia kempeana
310=	31	Acacia parramattensis
310=	31	Ananas comosus
310=	31	Angophora hispida
310=	31	Corymbia tessellaris
310=	31	Eucalyptus miniata
310=	31	Eucalyptus propinqua
310=	31	Eucalyptus rudis
310=	31	Ficus opposita
310=	31	Jacksonia scoparia
310=	31	Wisteria chinensis
321=	30	Amyema preissii
321=	30	Archontophoenix cunninghamiana
321=	30	Aristolochia tagala
321=	30	Capparis arborea
321=	30	Cymbidium sp.
321=	30	Dysoxylum parasiticum
321=	30	Eucalyptus oleosa
321=	30	Hibiscus sp.
321=	30	Istiophorus platypterus
321=	30	Litoria fallax
321=	30	Macadamia tetraphylla
321=	30	Melaleuca nervosa
321=	30	Owenia venosa
321=	30	Pandanus odoratissimus
321=	30	Passiflora edulis
321=	30	Poa hiemata
321=	30	Ricinus communis
321=	30	Ruellia sp.
321=	30	Vombatus ursinus
340=	29	Acacia
340=	29	Acacia aulacocarpa
340=	29	Acacia sophorae
340=	29	Acacia spectabilis
340=	29	Arripis trutta
340=	29	Citrus garrawayae
340=	29	Citrus inodorus
340=	29	Daviesia divaricata
340=	29	Dodonaea viscosa
340=	29	Eucalyptus delegatensis
340=	29	Eucalyptus drepanophylla
340=	29	Eucalyptus goniocalyx
340=	29	Gahnia melanocarpa
340=	29	Rattus leucopus
340=	29	Solanum tuberosum
340=	29	Tandanus tandanus
356=	28	Acacia melvillei
356=	28	Anguilla reinhardtii
356=	28	Castanospermum australe
356=	28	Decaisnina signata
356=	28	Derris sp.
356=	28	Dryandra floribunda
356=	28	Eucalyptus conglomerata
356=	28	Eucalyptus cosmophylla
356=	28	Eucalyptus gomphocephala
356=	28	Eucalyptus gracilis
356=	28	Eucalyptus rossii
356=	28	Leucaena leucocephala
356=	28	Limnodynastes ornatus
356=	28	Litoria rubella
356=	28	Livistona australis
356=	28	Mallotus philippensis
356=	28	Nothofagus moorei
356=	28	Petrogale lateralis
356=	28	Platycephalus fuscus
356=	28	Poa sp.
356=	28	Polyalthia nitidissima
356=	28	Portulaca oleracea
356=	28	Pseudechis australis
356=	28	Sillago ciliata
380=	27	Acacia anceps
380=	27	Acacia holosericea
380=	27	Acacia humifusa
380=	27	Acacia polystachya
380=	27	Amyema miraculosa
380=	27	Brachypodium distachyon
380=	27	Cajanus cajan
380=	27	Cassytha filiformis
380=	27	Casuarina cristata
380=	27	Chamaecrista sp.
380=	27	Citrus spp.
380=	27	Cygnus atratus
380=	27	Dendrolobium umbellatum
380=	27	Eucalyptus bridgesiana
380=	27	Eucalyptus moluccana
380=	27	Gahnia aspera
380=	27	Limnodynastes peronii
380=	27	Macropus parma
380=	27	Miniopterus schreibersii
380=	27	Murraya koenigii
380=	27	Neolitsea dealbata
380=	27	Pseudechis porphyriacus
402=	26	Acacia ligulata
402=	26	Acacia macdonnelliensis
402=	26	Acanthochromis polyacanthus
402=	26	Alectryon connatus
402=	26	Corymbia ptychocarpa
402=	26	Daviesia sp.
402=	26	Ficus racemosa
402=	26	Morelia spilota
402=	26	Petrogale mareeba
402=	26	Pomacentrus chrysurus
402=	26	Pristiophorus cirratus
402=	26	Rhizophora stylosa
402=	26	Sorghum verticilliflorum
415=	25	Banksia attenuata
415=	25	Banksia serrata
415=	25	Callistemon salignus
415=	25	Camellia japonica
415=	25	Cullen patens
415=	25	Cyttus traversi
415=	25	Elaeocarpus reticulatus
415=	25	Eucalyptus cypellocarpa
415=	25	Gahnia grandis
415=	25	Gahnia radula
415=	25	Lasiorhinus latifrons
415=	25	Leptospermum scoparium
415=	25	Macropus irma
415=	25	Nicotiana tabacum
415=	25	Pisum sativum
415=	25	Pomaderris sp.
415=	25	Trygonorrhina fasciata
432=	24	Acacia salicina
432=	24	Araucaria bidwillii
432=	24	Arothron hispidus
432=	24	Camponotus terebrans
432=	24	Cordia dichotoma
432=	24	Eremophila sp.
432=	24	Erythrina sp.
432=	24	Eucalyptus grandis
432=	24	Eucalyptus mannifera
432=	24	Glochidion benthamianum
432=	24	Iridomyrmex rufoniger
432=	24	Litoria latopalmata
432=	24	Litoria rothii
432=	24	Lomandra filiformis
432=	24	Makaira indica
432=	24	Melaleuca dealbata
432=	24	Ninox novaeseelandiae
432=	24	Olearia axillaris
432=	24	Parsonsia straminea
432=	24	Pastinachus sephen
432=	24	Petrogale brachyotis
432=	24	Petrogale penicillata
432=	24	Petrogale persephone
432=	24	Petrogale xanthopus
432=	24	Phascogale tapoatafa
432=	24	Prunus armeniaca
432=	24	Prunus sp.
432=	24	Rhyssopterys timorensis
432=	24	Strychnos sp.
432=	24	Xanthostemon eucalyptoides
462=	23	Acacia deanei
462=	23	Aristolochia chalmersii
462=	23	Aristolochia thozetii
462=	23	Atriplex sp.
462=	23	Biziura lobata
462=	23	Brachychiton discolor
462=	23	Celtis sinensis
462=	23	Eremophila deserti
462=	23	Eucalyptus dives
462=	23	Eucalyptus gamophylla
462=	23	Eucalyptus melanophloia
462=	23	Eucalyptus stellulata
462=	23	Eucalyptus tetragona
462=	23	Eucalyptus umbra
462=	23	Exocarpos cupressiformis
462=	23	Glycine max
462=	23	Gossypium sp.
462=	23	Litsea dealbata
462=	23	Marsdenia australis
462=	23	Melaleuca rhaphiophylla
462=	23	Melopsittacus undulatus
462=	23	Pittosporum undulatum
462=	23	Rhynchobatus sp.
462=	23	Siganus lineatus
486=	22	Acacia cyclops
486=	22	Acmena sp.
486=	22	Chaetodon rainfordi
486=	22	Citrus australasica
486=	22	Citrus australis
486=	22	Corymbia intermedia
486=	22	Crocodylus porosus
486=	22	Cryptocarya erythroxylon
486=	22	Cupaniopsis sp.
486=	22	Cygnus (Chenopis) atratus
486=	22	Diomedea exulans
486=	22	Equus caballus
486=	22	Eucalyptus fibrosa
486=	22	Eucalyptus globoidea
486=	22	Eucalyptus siderophloia
486=	22	Gahnia microstachya
486=	22	Grevillea sp.
486=	22	Helianthus annuus
486=	22	Lethrinus miniatus
486=	22	Macaranga tanarius
486=	22	Maranthes corymbosa
486=	22	Oplismenus sp.
486=	22	Passer domesticus
486=	22	Petrogale herberti
486=	22	Pittosporum sp.
486=	22	Scomber australasicus
486=	22	Scortum hillii
486=	22	Sonchus oleraceus
486=	22	Syzigium sp.
486=	22	Zanthoxylum ailanthoides
486=	22	Zanthoxylum nitidum
517=	21	Acacia retinodes
517=	21	Aepyprymnus rufescens
517=	21	Amyema maidenii
517=	21	Amyema spp.
517=	21	Anseranas semipalmata
517=	21	Bledius sp.
517=	21	Camelus dromedarius
517=	21	Carassius auratus
517=	21	Casuarina glauca
517=	21	Celtis philippensis
517=	21	Columba livia
517=	21	Desmos sp.
517=	21	Doryphora sassafras
517=	21	Elaeocarpus obovatus
517=	21	Eucalyptus brevifolia
517=	21	Eucalyptus citriodora
517=	21	Eucalyptus dumosa
517=	21	Eucalyptus exserta
517=	21	Eucalyptus rubida
517=	21	Eucalyptus stricta
517=	21	Eucalyptus tetrodonta
517=	21	Eucalyptus thozetiana
517=	21	Gerres subfasciatus
517=	21	Glochidion ferdinandi
517=	21	Hedera helix
517=	21	Litoria inermis
517=	21	Litoria nasuta
517=	21	Lupinus sp.
517=	21	Lycopersicon esculentum
517=	21	Macronectes giganteus
517=	21	Macrozamia sp.
517=	21	Melodorum leichhardtii
517=	21	Miliusa traceyi
517=	21	Pelecanus conspicillatus
517=	21	Perameles gunnii
517=	21	Petrogale sharmani
517=	21	Plantago lanceolata
517=	21	Podargus strigoides
517=	21	Pogona minor
517=	21	Pseudocheirus peregrinus
517=	21	Pseuduvaria froggattii
517=	21	Scomberomorus commerson
517=	21	Senna artemisioides
517=	21	Seriola lalandi
517=	21	Sesbania cannabina
517=	21	Syncarpia glomulifera
517=	21	Terminalia arenicola
517=	21	Terminalia sericocarpa
517=	21	Toona ciliata
517=	21	Xylocarpus moluccensis
517=	21	Zea mays
568=	20	Acacia floribunda
568=	20	Acacia oswaldii
568=	20	Actinidia chinensis
568=	20	Amyema congenera
568=	20	Antirrhinum sp.
568=	20	Archontophoenix alexandrae
568=	20	Asystasia sp.
568=	20	Atalaya hemiglauca
568=	20	Atalaya salicifolia
568=	20	Caesalpinia mexicana
568=	20	Calliandra surinamensis
568=	20	Capparis spinosa
568=	20	Cassia javanica
568=	20	Casuarina luehmannii
568=	20	Chrysalidocarpus lutescens
568=	20	Cinnamomum oliveri
568=	20	Citrus aurantifolia
568=	20	Cryptocarya sp.
568=	20	Cucurbita sp.
568=	20	Delonix regia
568=	20	Dodonaea triquetra
568=	20	Elaeocarpus angustifolius
568=	20	Emydura macquarii
568=	20	Eucalyptus socialis
568=	20	Galinsoga parviflora
568=	20	Graptophyllum pictum
568=	20	Heteropogon triticeus
568=	20	Hibiscus rosasinensis
568=	20	Himantopus himantopus leucocephalus
568=	20	Hollrungia sp.
568=	20	Hyelaphus porcinus
568=	20	Jacksonia sternbergiana
568=	20	Justicia sp.
568=	20	Larus novaehollandiae
568=	20	Litoria lesueuri
568=	20	Lophostemon grandiflorus
568=	20	Macroptilium lathyroides
568=	20	Notechis scutatus
568=	20	Oecophylla smaragdina
568=	20	Paraserianthes lophantha
568=	20	Pennisetum clandestinum
568=	20	Pipturus argenteus
568=	20	Platycephalus bassensis
568=	20	Poa ensiformis
568=	20	Prunus avium
568=	20	Pultenaea tenuifolia
568=	20	Rhododendron sp.
568=	20	Richardia brasiliensis
568=	20	Robinia pseudoacacia
568=	20	Sarcostemma esculentum
568=	20	Senna guadichaudii
568=	20	Trophis scandens
620=	19	Acacia calamifolia
620=	19	Acacia crassicarpa
620=	19	Acacia stowardii
620=	19	Amblyopone australis
620=	19	Amyema melaleucae
620=	19	Anas gracilis
620=	19	Annona glabra
620=	19	Aphananthe philippinensis
620=	19	Ardea novaehollandiae
620=	19	Banksia spp.
620=	19	Cassinia sp.
620=	19	Casuarina equisetifolia
620=	19	Clerodendrum floribundum
620=	19	Cyclorana novaehollandiae
620=	19	Dendrobium bigibbum
620=	19	Diplatia furcata
620=	19	Ehretia acuminata
620=	19	Eremophila freelingii
620=	19	Eucalyptus gummifera
620=	19	Eucalyptus punctata
620=	19	Eucalyptus sieberi
620=	19	Nuytsia floribunda
620=	19	Onychogalea fraenata
620=	19	Pachycondyla lutea
620=	19	Poncirus trifoliata
620=	19	Pterodroma macroptera
620=	19	Ruellia tuberosa
620=	19	Strychnos lucida
620=	19	Tribonyx ventralis
620=	19	Trichosurus caninus
620=	19	Vicia faba
651=	18	Abudefduf sexfasciatus
651=	18	Acacia acradenia
651=	18	Acacia alexandri
651=	18	Acacia auriculiformis
651=	18	Acacia leucoclada
651=	18	Acacia mackeyana
651=	18	Acacia macradenia
651=	18	Acacia terminalis
651=	18	Adriana quadripartita
651=	18	Amphiprion akindynos
651=	18	Brassica oleracea
651=	18	Caesalpinia bonduc
651=	18	Cassia brewsteri
651=	18	Cassytha peninsularis
651=	18	Chaetodon plebeius
651=	18	Crotalaria alata
651=	18	Cupaniopsis anarcardioides
651=	18	Daviesia benthamii
651=	18	Diplatia tomentosa
651=	18	Dryandra sessilis
651=	18	Eucalyptus botryoides
651=	18	Eucalyptus sp
651=	18	Ficus platypodia
651=	18	Flemingia lineata
651=	18	Harpullia pendula
651=	18	Harpullia ramiflora
651=	18	Homonoia riparia
651=	18	Indigofera pratensis
651=	18	Leipoa ocellata
651=	18	Limnodynastes dumerilii
651=	18	Litoria pallida
651=	18	Lotus australis
651=	18	Macadamia ternifolia
651=	18	Macaranga involucrata
651=	18	Malus sp.
651=	18	Manihot esculenta
651=	18	Melaleuca ericifolia
651=	18	Nemcia sp.
651=	18	Neolitsea acuminatissima
651=	18	Nothofagus cunninghamii
651=	18	Ostracion cubicus
651=	18	Papyrius nitidus
651=	18	Pennisetum pedicellatum
651=	18	Phascolarctos cinereus
651=	18	Pomacentrus moluccensis
651=	18	Porotermes adamsoni
651=	18	Rourea brachyandrya
651=	18	Salacia chinensis
651=	18	Salacia disepala
651=	18	Senna didymobotrya
651=	18	Senna venusta
651=	18	Sesbania sp.
651=	18	Sminthopsis murina
651=	18	Syzygium wilsoni
651=	18	Tiliqua scincoides
651=	18	Tristania sp.
651=	18	Varanus giganteus
651=	18	Virgilia oroboides
651=	18	Xanthorrhoea australis
710=	17	Abutilon sp.
710=	17	Acacia citrinoviridis
710=	17	Anas rhynchotis
710=	17	Apophyllum anomalum
710=	17	Asclepias curassavica
710=	17	Banksia ilicifolia
710=	17	Camellia sinensis
710=	17	Canis familiaris dingo
710=	17	Centroberyx gerrardi
710=	17	Cryptocarya microneura
710=	17	Ctenotus grandis
710=	17	Demansia psammophis
710=	17	Ehrharta calycina
710=	17	Eucalyptus elata
710=	17	Eucalyptus microcorys
710=	17	Eucalyptus sideroxylon
710=	17	Eucalyptus transcontinentalis
710=	17	Halfordia sp.
710=	17	Heterodontus portusjacksoni
710=	17	Himantura uarnak
710=	17	Hypsiprymnodon moschatus
710=	17	Juglans regia
710=	17	Lates calcarifer
710=	17	Mastotermes darwiniensis
710=	17	Nauclea orientalis
710=	17	Neotermes insularis
710=	17	Parma polylepis
710=	17	Petalostigma pubescens
710=	17	Phoenix sp.
710=	17	Pseudocaranx dentex
710=	17	Pterodroma inexpectata
710=	17	Puffinus pacificus
710=	17	Sarcophilus harrisii
710=	17	Sillago maculata
710=	17	Sminthopsis virginiae
710=	17	Sterculia sp.
710=	17	Taeniura lymma
710=	17	Triodia sp.
710=	17	Veronica sp.
749=	16	Abudefduf bengalensis
749=	16	Acacia grasbyi
749=	16	Acacia lysiphloia
749=	16	Acacia tephrina
749=	16	Acanthophis antarcticus
749=	16	Acropora sp.
749=	16	Aetobatus narinari
749=	16	Alectryon oleifolius
749=	16	Allocasuarina campestris
749=	16	Allocasuarina littoralis
749=	16	Anacardium occidentale
749=	16	Anas platyrhynchos
749=	16	Aptychotrema vincentiana
749=	16	Aristolochia elegans
749=	16	Aristolochia pubera
749=	16	Aristolochia sp.
749=	16	Brachychiton australis
749=	16	Brachyloma daphnoides
749=	16	Callitris sp.
749=	16	Cantheschenia grandisquamis
749=	16	Carex longebrachiata
749=	16	Casearia esculenta
749=	16	Chaetodon ornatissimus
749=	16	Clerodendrum sp.
749=	16	Commersonia bartramia
749=	16	Commersonia fraseri
749=	16	Corymbia gummifera
749=	16	Coryphaena hippurus
749=	16	Cryptocarya mackinnoniana
749=	16	Cryptocarya murrayi
749=	16	Cullen tenax
749=	16	Dicksonia antarctica
749=	16	Epinephelus quoyanus
749=	16	Eucalyptus haemastoma
749=	16	Eucalyptus populnea
749=	16	Eucalyptus porosa
749=	16	Eucalyptus striaticalyx
749=	16	Exocarpus cupressiformis
749=	16	Flacourtia sp.
749=	16	Fragaria ananassa
749=	16	Fraxinus sp.
749=	16	Gahnia erythrocarpa
749=	16	Gahnia sp.
749=	16	Gahnia subaequiglumis
749=	16	Hakea leucoptera
749=	16	Hakea prostrata
749=	16	Hydrurga leptonyx
749=	16	Kyphosus vaigiensis
749=	16	Leiopotherapon unicolor
749=	16	Litoria tornieri
749=	16	Manorina melanocephala
749=	16	Mastacomys fuscus
749=	16	Melaleuca acacioides
749=	16	Melaleuca sp
749=	16	Morelia amethistina
749=	16	Morelia spilotes
749=	16	Mucuna gigantea
749=	16	Neocyttus rhomboidalis
749=	16	Pachyptila desolata
749=	16	Pelagodroma marina
749=	16	Physalis peruviana
749=	16	Pinus spp.
749=	16	Pogona barbata
749=	16	Pseudomys higginsi
749=	16	Sillago analis
749=	16	Stenotaphrum secundatum
749=	16	Strelitzia reginae
749=	16	Tetrarrhena juncea
749=	16	Varanus rosenbergi
749=	16	Zyzomys woodwardi
819=	15	Acacia falcata
819=	15	Acacia ramulosa
819=	15	Acacia tumida
819=	15	Aldrichetta forsteri
819=	15	Allocasuarina torulosa
819=	15	Amyema lucasii
819=	15	Anguilla australis
819=	15	Annona sp.
819=	15	Arctotheca calendula
819=	15	Artemisia sp.
819=	15	Aspidites melanocephalus
819=	15	Atriplex paludosa
819=	15	Austrelaps superbus
819=	15	Bettongia gaimardi
819=	15	Bettongia penicillata
819=	15	Bombax ceiba
819=	15	Cactus sp.
819=	15	Casuarina littoralis
819=	15	Centroberyx affinis
819=	15	Chaetodon auriga
819=	15	Chaetodon unimaculatus
819=	15	Chenonetta jubata
819=	15	Chrysocephalum apiculatum
819=	15	Clausena brevistyla
819=	15	Coffea arabica
819=	15	Corvus orru
819=	15	Crematogaster sp.
819=	15	Crocodylus johnstoni
819=	15	Croton sp.
819=	15	Dendrobium sp.
819=	15	Dendrolagus lumholtzi
819=	15	Egernia striata
819=	15	Entada phaseoloides
819=	15	Eriobotrya japonica
819=	15	Eucalyptus deanei
819=	15	Eugenia smithii
819=	15	Euodia sp.
819=	15	Falco berigora
819=	15	Ficus obliqua
819=	15	Ficus orbicularis
819=	15	Ficus virens
819=	15	Gladiolus sp.
819=	15	Gymnorhina tibicen
819=	15	Haliastur sphenurus
819=	15	Hypocalymma angustifolium
819=	15	Leptospermum lanigerum
819=	15	Limnodynastes terraereginae
819=	15	Lomandra multiflora
819=	15	Macquaria colonorum
819=	15	Melaleuca bracteata
819=	15	Melaleuca irbyana
819=	15	Micromelum minutum
819=	15	Millettia megasperma
819=	15	Myliobatis australis
819=	15	Myrmecobius fasciatus
819=	15	Myrtus hillii
819=	15	Phalacrocorax melanoleucos
819=	15	Phaseolus sp.
819=	15	Phasianus colchicus
819=	15	Pinus radiata
819=	15	Platycephalus endrachtensis
819=	15	Prunus persica nucipersica
819=	15	Pseudonaja textilis
819=	15	Recurvirostra novaehollandiae
819=	15	Sardinops neopilchardus
819=	15	Scholtzia drummondii
819=	15	Siganus doliatus
819=	15	Sorghum sp.
819=	15	Stictonetta naevosa
819=	15	Trifolium repens
819=	15	Turf
819=	15	Vanellus miles
819=	15	Verbena sp.
819=	15	Vulpes vulpes
819=	15	Zanthoxylum brachyachanthum
819=	15	Zanthoxylum sp.
895=	14	Acacia calcicola
895=	14	Acacia fimbriata
895=	14	Acacia montana
895=	14	Acacia rhodophloia
895=	14	Alexfloydia repens
895=	14	Amphiprion perideraion
895=	14	Argyrosomus hololepidotus
895=	14	Astrebla sp.
895=	14	Avena sativa
895=	14	Axis axis
895=	14	Barringtonia sp.
895=	14	Bidyanus bidyanus
895=	14	Bos (Bos) taurus
895=	14	Bruguiera gymnorhiza
895=	14	Buckinghamia celsissima
895=	14	Chaetodon aureofasciatus
895=	14	Chaetodon ulietensis
895=	14	Choerodon venustus
895=	14	Crotalaria pallida
895=	14	Crotalaria sp.
895=	14	Cycas media
895=	14	Daption capense
895=	14	Desmos goezeanus
