rank	count	N_GENUS
2207=	1	Electrona
2207=	1	Eleocarpus
2207=	1	Eleutheronema
2207=	1	Elocharis
2207=	1	Entomyson
2207=	1	Episyron
2207=	1	Erharta
2207=	1	Erica
2207=	1	Eucalyptus foecunda
2207=	1	Eucrossorhinus
2207=	1	Eurostopodus
2207=	1	Euryphantia
2207=	1	Exitianus
2207=	1	Exoecaria
2207=	1	Falcunculus
2207=	1	Fergusobia
2207=	1	Forcipiger
2207=	1	Fordicula
2207=	1	Fragraria
2207=	1	Fungiacyathus
2207=	1	Galeoides
2207=	1	Geissois
2207=	1	Gentianella
2207=	1	Genypterus
2207=	1	Geochelidon
2207=	1	Geoffroyus
2207=	1	Geotria
2207=	1	Ginglymostoma
2207=	1	Glaphyromorphus
2207=	1	Globocephalus
2207=	1	Gouania
2207=	1	Grampidelphis
2207=	1	Guttiferae (Clusiaceae)
2207=	1	Gymnosarda
2207=	1	Haletta
2207=	1	Haliaaetus
2207=	1	Hasta
2207=	1	Heliothis
2207=	1	Hemiaspis
2207=	1	Hemitriakis
2207=	1	Heterdontus
2207=	1	Heteropsammia
2207=	1	Heteryx
2207=	1	Hippocampus
2207=	1	Holcus
2207=	1	Homalocalyx
2207=	1	Hornstedhia
2207=	1	Hovenia
2207=	1	Hyporhamphus
2207=	1	Hypsilurus
2207=	1	Isaurus
2207=	1	Istigobius
2207=	1	Ixodia
2207=	1	Johnieops
2207=	1	Kosiuscola
2207=	1	Lachnagrostis
2207=	1	Lactoria
2207=	1	Lagenorhynchus
2207=	1	Lagostrophus
2207=	1	Lagunaria
2207=	1	Lambertia
2207=	1	Lams
2207=	1	Lapemis
2207=	1	Lehmannia
2207=	1	Leiognathus
2207=	1	Leptrospermum
2207=	1	Leviprora
2207=	1	Liasis 
2207=	1	Liliocentris
2207=	1	Linckia
2207=	1	Linkia
2207=	1	Lizagobius
2207=	1	Longipedia
2207=	1	Lotononis
2207=	1	Lybia
2207=	1	Lycodichthys
2207=	1	Lysmata
2207=	1	Macroderma
2207=	1	Macroptilum
2207=	1	Madrepora
2207=	1	Malacorhynchos
2207=	1	Malaisia
2207=	1	Melanodryas
2207=	1	Meleleuca
2207=	1	Meliphaga
2207=	1	Melithreptus
2207=	1	Metacrinus
2207=	1	Milvus
2207=	1	Milyeringa
2207=	1	Miniopteris
2207=	1	Misgurnus
2207=	1	Mogumda
2207=	1	Monarcha
2207=	1	Morgania
2207=	1	Myosporum
2207=	1	Myrtella 
2207=	1	Nectocarcinus
2207=	1	Nematocemris
2207=	1	Nepanthia
2207=	1	Nettapus
2207=	1	Notoscopelus
2207=	1	Numenius 
2207=	1	Odontamachus
2207=	1	Oedaleus
2207=	1	Ommatoiulus
2207=	1	Ommatophoca
2207=	1	Oncocladosoma
2207=	1	Ophidaster
2207=	1	Ophidiaster
2207=	1	Oriolus
2207=	1	Ottochloa
2207=	1	Oxyops
2207=	1	Palaquium
2207=	1	Palythoa
2207=	1	Pandion
2207=	1	Panthera
2207=	1	Paradorydium
2207=	1	Paragia
2207=	1	Parahebe
2207=	1	Paramugil
2207=	1	Paratettix
2207=	1	Paraulopus
2207=	1	Pardillana
2207=	1	Paristiopterus
2207=	1	Parthenium
2207=	1	Parthenope
2207=	1	Parupeneus
2207=	1	Pastinachus 
2207=	1	Pearsonema
2207=	1	Pelsartia
2207=	1	Pennesetum
2207=	1	Penniseteum
2207=	1	Pentacme
2207=	1	Petunia
2207=	1	Phalacrocoroax
2207=	1	Phalaenopsis
2207=	1	Phalanger
2207=	1	Pherosphaera
2207=	1	Phyllocharis
2207=	1	Pilidiostigma
2207=	1	Pilta
2207=	1	Pilumnopeus
2207=	1	Piper
2207=	1	Platax
2207=	1	Platyzosteria
2207=	1	Plechtrachne
2207=	1	Plectoproma
2207=	1	Plectorhinchus
2207=	1	Plectorhyncha
2207=	1	Pleigynium
2207=	1	Plodia 
2207=	1	Polyprion
2207=	1	Polyteles
2207=	1	Pomaloslomus
2207=	1	Pongo
2207=	1	Poutawa
2207=	1	Prionace
2207=	1	Pristhesancus
2207=	1	Pristipomoides
2207=	1	Protomiltogramma
2207=	1	Protonibea
2207=	1	Pseudolabms
2207=	1	Psydrax
2207=	1	Ptachybaptus
2207=	1	Pteronemobius
2207=	1	Pterostenella
2207=	1	Pterygophorus
2207=	1	Pultenaea 
2207=	1	Putoniessa
2207=	1	Quintinia
2207=	1	Raja
2207=	1	Ramphotyphlops
2207=	1	Rhadinocentrus
2207=	1	Rhadinothamnus
2207=	1	Rhinoplocephalus
2207=	1	Rhinotermes
2207=	1	Rhizoprionodon
2207=	1	Rhododendrum
2207=	1	Rhombosolea
2207=	1	Rhombus
2207=	1	Sambucus
2207=	1	Sannantha
2207=	1	Saracrinus
2207=	1	Sarda
2207=	1	Satanellus
2207=	1	Scaevius
2207=	1	Sceliphron
2207=	1	Schoinobates
2207=	1	Scorpaena
2207=	1	Scorpis
2207=	1	Scyliorhinus
2207=	1	Secale
2207=	1	Sehima
2207=	1	Selaroides
2207=	1	Simosyrphus
2207=	1	Siphanta
2207=	1	Slerna
2207=	1	Sogatella
2207=	1	Solenosmilia
2207=	1	Spathoglottis
2207=	1	Sphenopus
2207=	1	Spheroides
2207=	1	Sphodropoda
2207=	1	Sphoeroides
2207=	1	Spirastrella
2207=	1	Stenamthemum
2207=	1	Stenhelia
2207=	1	Stiltia
2207=	1	Struthidia
2207=	1	Suggrundus
2207=	1	Syconycteris
2207=	1	Symplocos
2207=	1	Synalpheus
2207=	1	Tamaria
2207=	1	Tarsipes
2207=	1	Tetrosomus
2207=	1	Thalamita
2207=	1	Theba
2207=	1	Theobromo
2207=	1	Todiramphus
2207=	1	Tragulichthys
2207=	1	Trichiurus
2207=	1	Trichodesma
2207=	1	Trissolcus
2207=	1	Turbinaria
2207=	1	Turnix
2207=	1	Tylosurus
2207=	1	Upeneus
2207=	1	Viminaria
2207=	1	Yucca
2207=	1	lstiompax
2207=	1	uarnak

55963	TOTAL
