rank	count	N_GENUS
738=	13	Amblyglyphidodon
738=	13	Anser
738=	13	Brachystelma
738=	13	Callicoma
738=	13	Calytrix
738=	13	Chrysophrys
738=	13	Colocasia
738=	13	Corchorus
738=	13	Dolichos
738=	13	Entomyzon
738=	13	Eriostemon
738=	13	Eudyptula
738=	13	Khaya
738=	13	Lepidium
738=	13	Lerista
738=	13	Lysiana
738=	13	Meleagris
738=	13	Monodactylus
738=	13	Neoglyphidodon
738=	13	Notoryctes
738=	13	Orectolobus
738=	13	Ozothamnus
738=	13	Peltophorum
738=	13	Petaurus
738=	13	Secamone
738=	13	Sphecotheres
738=	13	Tecticornia
738=	13	Tetrasynandra
738=	13	Thalassoica
738=	13	Thylacinus
738=	13	Ulmus
738=	13	Vaccinium
771=	12	Allosyncarpia
771=	12	Blepharocarya
771=	12	Capsicum
771=	12	Cerbera
771=	12	Cereopsis
771=	12	Cereus
771=	12	Chiloscyllium
771=	12	Chlamydosaurus
771=	12	Clibanarius
771=	12	Crenimugil
771=	12	Cyprinus
771=	12	Dasycercus
771=	12	Davesia
771=	12	Dianella
771=	12	Dipturus
771=	12	Euastacus
771=	12	Fortunella
771=	12	Fregata
771=	12	Gadopsis
771=	12	Ganophyllum
771=	12	Glossopsitta
771=	12	Gnaphalium
771=	12	Homalium
771=	12	Lavatera
771=	12	Lissolepis
771=	12	Lomatia
771=	12	Malva
771=	12	Meuschenia
771=	12	Micromyrtus
771=	12	Nephrolepis
771=	12	Nicotiniana
771=	12	Notelaea
771=	12	Opisthopsis
771=	12	Ostorhinchus
771=	12	Parantechinus
771=	12	Petauroides
771=	12	Planchonella
771=	12	Pouteria
771=	12	Psychotria
771=	12	Pterocaesio
771=	12	Rhodomyrtus
771=	12	Rondeletia
771=	12	Sarcocornia
771=	12	Schefflera
771=	12	Scolopsis
771=	12	Seriolella
771=	12	Sphyraena
771=	12	Suaeda
771=	12	Zoothera
820=	11	Abalistes
820=	11	Adenanthera
820=	11	Aeschynomene
820=	11	Amphibolurus
820=	11	Aquila
820=	11	Arachis
820=	11	Araujia
820=	11	Azadirachta
820=	11	Beta
820=	11	Bifiditermes
820=	11	Boiga
820=	11	Bubalus
820=	11	Callionymus
820=	11	Canavalia
820=	11	Cantherhines
820=	11	Carduus
820=	11	Cathormion
820=	11	Chamelaucium
820=	11	Cladorhynchus
820=	11	Coelorhynchus
820=	11	Cryptotermes
820=	11	Culex
820=	11	Daphne
820=	11	Daucus
820=	11	Demansia 
820=	11	Dendrelaphis
820=	11	Euroschinus
820=	11	Euthynnus
820=	11	Gerbera
820=	11	Guilfoylia
820=	11	Gymnocranius
820=	11	Koelreuteria
820=	11	Lathyrus
820=	11	Leptatherina
820=	11	Melinis
820=	11	Mesembriomys
820=	11	Muehlenbeckia
820=	11	Oedura
820=	11	Pagodroma
820=	11	Pararchidendron
820=	11	Plagiogeneion
820=	11	Polypodium
820=	11	Protea
820=	11	Psephotus
820=	11	Schinus
820=	11	Schizolobium
820=	11	Scythrops
820=	11	Senecio
820=	11	Sphyrna
820=	11	Sturnus
820=	11	Sufflamen
820=	11	Trichoglossus
820=	11	Vulpia
820=	11	Xanthium
874=	10	Ammobium
874=	10	Angelonia
874=	10	Arecastrum
874=	10	Beaufortia
874=	10	Betula
874=	10	Bracteantha
874=	10	Caelebogyne
874=	10	Calycothrix
874=	10	Centaurium
874=	10	Ceratonia
874=	10	Colubotelson
874=	10	Coracina
874=	10	Corcorax
