rank	count	N_EPITHET_NAME
320=	11	Rockhopper Penguin
320=	11	Satin Bowerbird
320=	11	Silver Fish
320=	11	Smooth Toadlet
320=	11	Snow Gum
320=	11	Snow Petrel
320=	11	Sooty Oystercatcher
320=	11	Sooty Shearwater
320=	11	Southern Boobook
320=	11	Tree Dtella
320=	11	Trilling Frog
320=	11	Trumpeter Whiting
320=	11	Tyler’s Tree Frog
320=	11	Western Green and Golden Bell Frog
320=	11	Yellow-footed Rock-wallaby
357=	10	Australian Ringneck
357=	10	Barramundi, Giant Perch
357=	10	Black Noddy
357=	10	Blue Peppermint
357=	10	Blue-leaved Mallee
357=	10	Broad-billed Prion
357=	10	Bronze Whaler
357=	10	Cane Toad
357=	10	Coconut
357=	10	Common Galaxias
357=	10	Common Marine Bream, Yellowfin Bream
357=	10	Common Silkpod
357=	10	Creek Frog
357=	10	Cunningham’s Skink
357=	10	Domestic Pigeon, Feral Pigeon
357=	10	Eggplant
357=	10	Fremantle Mallee
357=	10	Greater Glider
357=	10	Grey Mangrove
357=	10	Gum-Tree
357=	10	Humming Frog
357=	10	King Quail
357=	10	Leadbeater's Possum
357=	10	Lime
357=	10	Little Raven
357=	10	Noisy Miner/Minah, Soldier Bird
357=	10	Norfolk Island pine
357=	10	Oleander
357=	10	Peron's Tree Frog
357=	10	Pied Oystercatcher
357=	10	Pikey Bream
357=	10	Pink Whipray
357=	10	Pygmy Sperm Whale
357=	10	Silver Perch
357=	10	Slender-billed Prion
357=	10	Smooth Stingray
357=	10	Southern Elephant Seal
357=	10	Southern Fulmar
357=	10	Swamp Harrier
357=	10	Tasmanian Native-hen
357=	10	Venus Tuskfish
357=	10	Water Buffalo
357=	10	Western Carp Gudgeon
357=	10	Wide Stingaree
357=	10	Wild Sorghum
357=	10	lychee
357=	10	pecan
404=	9	Australian Wood Duck
404=	9	Bridled Tern
404=	9	Broad-leaved Ironbark
404=	9	Broad-leaved Scribbly Gum
404=	9	Buller's Albatross
404=	9	Buller's Shearwater
404=	9	Cape York Rat
404=	9	Chukar Partridge
404=	9	Collared Sparrowhawk
404=	9	Cycads
404=	9	Dollarbird
404=	9	Eastern Gambusia
404=	9	Estuary Stingray
404=	9	Figbird
404=	9	Fluttering Shearwater
404=	9	Glossy Ibis
404=	9	Golden Perch, Callop, Yellow-belly
404=	9	Green Rosella
404=	9	Grey Ironbark
404=	9	Guppy
404=	9	Heath Monitor
404=	9	Kultarr
404=	9	Lemon Scented Iron Gum
404=	9	Lemuroid Ringtail Possum
404=	9	Little Corella
404=	9	Lowland Copperhead 
404=	9	Millet, Sorghum, Juar, Cholam
404=	9	Mimosa, Giant Sensitive Plant
404=	9	Nankeen Kestrel
404=	9	Noogoora Burr
404=	9	Northern Snapping Turtle
404=	9	Ostrich
404=	9	Perentie
404=	9	Pheasant Coucal
404=	9	Queensland Peppermint
404=	9	Redfish
404=	9	River Peppermint
404=	9	Royal Penguin
404=	9	Rufous Hare-wallaby
404=	9	Scissortail Sergeant
404=	9	Singlebar Devil
404=	9	Snappy Gum
404=	9	Soybean
404=	9	Spotted Wobbegong
404=	9	Sugar Glider
404=	9	Tree Skink
404=	9	Vagabond Butterflyfish
404=	9	Wedge-tailed Eagle
404=	9	Welcome Swallow
404=	9	Western Brush Wallaby
404=	9	White-faced Storm-petrel
455=	8	Antilopine Wallaroo
455=	8	Apricot
455=	8	Australian White Ibis
455=	8	Bangalay
455=	8	Barn Owl
455=	8	Barracouta
455=	8	Bilingual Froglet
455=	8	Black Box
455=	8	Blacktip Reef Shark
455=	8	Cobbler Wobbegong
455=	8	Common Brown Snake
455=	8	Common Carp, European Carp, Golden Carp
455=	8	Common Dolphin
455=	8	Common Eastern Toadlet
455=	8	Common Jack Mackerel
455=	8	Common Tree Snake
455=	8	Copepod
455=	8	Crested Pigeon
455=	8	Crested Tern
455=	8	Dahl’s Aquatic Frog
455=	8	Dainty Green Tree Frog
455=	8	Dromedary
455=	8	Eastern Barred Bandicoot 
455=	8	Eastern Forest Bat
455=	8	Eastern Rosella
455=	8	Eastern Shovelnose Ray
455=	8	Fat-tailed Dunnart
455=	8	Fig
455=	8	Filefish
455=	8	Flathead Gudgeon
455=	8	Floodplain Frog
455=	8	Freckled Duck
455=	8	Freshwater Crocodile 
455=	8	Giant Sensitive Weed
455=	8	Grape
455=	8	Grasses
455=	8	Green Ringtail Possum
455=	8	Grey Carpetshark
455=	8	Growling Grass Frog
455=	8	Humpback Whale
455=	8	Kikuyu Grass
455=	8	Kowari
455=	8	Kurrajong
455=	8	Little Eagle
455=	8	Longfinned Wire Netting Cod, Longfin Grouper
455=	8	Lumholtz's Tree-kangaroo
455=	8	Macquarie Perch
455=	8	Millet, Sorghum
455=	8	Mothvine
455=	8	Murray Turtle
455=	8	Nankeen Night Heron
455=	8	New England Blackbutt
455=	8	Northern Dibbler
455=	8	Northern Giant-petrel
455=	8	Passionfruit
455=	8	Peach
455=	8	Pink-eared Duck
455=	8	Plum
455=	8	Pumpkin
455=	8	Rainbow Trout
455=	8	Rainforest
455=	8	Redclaw
455=	8	River Blackfish
455=	8	Scaly-tailed Possum
455=	8	Shingle-back
455=	8	Silver Trevally
455=	8	Silver Wattle
455=	8	Small Mouth Hardyhead
455=	8	Snapper
455=	8	Southern Leaf-tailed Gecko
455=	8	Sparsely-spotted Stingaree
455=	8	Spotted Harrier
455=	8	Spotted-thighed Frog
455=	8	Straw-necked Ibis
455=	8	Subterranean Termite
455=	8	Swamp Antechinus
455=	8	Turrum
455=	8	Unidentified bird species
455=	8	Water Rat
455=	8	Western Barred Bandicoot
455=	8	Western Yellowfin Bream
455=	8	White-ear
455=	8	Wilga
455=	8	Woma
455=	8	narrow leaved ironbark
540=	7	Australasian Shoveler
540=	7	Australian Raven
540=	7	Australian Smelt
540=	7	Barrier Reef Anemonefish
540=	7	Bartail Flathead
540=	7	Bengal Sergeant
540=	7	Black Bream
540=	7	Black-palmed Monitor
540=	7	Black-winged Petrel
540=	7	Blue Petrel
540=	7	Blue Tuskfish
540=	7	Broad-toothed Rat
540=	7	Brolga
540=	7	Brown Toadlet
540=	7	Brown Trout
540=	7	Brush Bronzewing
540=	7	Canary
540=	7	Collar Seabream
540=	7	Common Diving-Petrel
540=	7	Crimson Rosella
540=	7	Croton
540=	7	Darter
540=	7	Deane's gum
540=	7	Eastern Pygmy Possum
540=	7	Frilled Lizard
540=	7	Fulmar Prion
540=	7	Goby
540=	7	Godman's Rock-wallaby
540=	7	Golden Pheasant
540=	7	Greater Stick-nest Rat
540=	7	Grey Plover
540=	7	Grey Shrike-thrush
540=	7	Heart-leaved Silver Gum
540=	7	Hog Deer
540=	7	Inornate Rock Wallaby
540=	7	Kerguelen Petrel
540=	7	Laughing Kookaburra
540=	7	Lesser Crested Tern
540=	7	Little Crow
540=	7	Long-tailed Mouse
540=	7	Lychee
540=	7	Musk Lorikeet
540=	7	Northern Brown Bbandicoot
540=	7	Northern Silky Oak
540=	7	Northern Tree Snake
540=	7	Pacific Golden Plover
540=	7	Pacific Gull
540=	7	Platypus
540=	7	Pobblebonk Frog
540=	7	Purple Swamphen
540=	7	Rainbow Lorikeet
540=	7	Rainford’s Butterflyfish
540=	7	Rough-Barked Apple
540=	7	Royal Spoonbill
540=	7	Sambar Deer
540=	7	Smoothnose Wedgefish
540=	7	Southern Bluefin Tuna
540=	7	Spikey Dogfish
540=	7	Spiny-cheeked Honeyeater
540=	7	Spotted Goanna
540=	7	Spotted Turtle-Dove
540=	7	Swordfish
540=	7	Tarwhine
540=	7	Teardrop Butterflyfish
540=	7	Verreaux’s Tree Frog
540=	7	Whirring Tree Frog
540=	7	Whiskered Tern
540=	7	White-faced Storm-Petrel
540=	7	White-fronted Tern
540=	7	Whitespotted Skate
540=	7	Wild Turkey
540=	7	Wilson's Storm-petrel
540=	7	gum tree
540=	7	tomato
614=	6	Amethyst Python
614=	6	Amethystine Python
614=	6	Antarctic Tern
614=	6	Apple
614=	6	Atlantic Salmon
614=	6	Australasian Bittern
614=	6	Australian Anchovy
614=	6	Banana
614=	6	Banded Lapwing
614=	6	Bastard Trumpeter
614=	6	Beans
614=	6	Bigeye Trevally
614=	6	Bilby
614=	6	Bird-Lime Tree
614=	6	Black-faced Cormorant
614=	6	Blackeye thicklip
614=	6	Blue Green Damselfish
614=	6	Blue Warehou
614=	6	Blue leaved Stringybark
614=	6	Brassy Trevally
614=	6	Brown-barred Rockcod, Chocolate Hind
614=	6	Brushtail Tang
614=	6	Burrowing Bettong
614=	6	Cabbage
614=	6	Cabbage Gum
614=	6	Cacao
614=	6	Cape Barren Goose
614=	6	Centralian Blue-tongue
614=	6	Citrus
614=	6	Comb-crested Jacana
614=	6	Common Diving-petrel
614=	6	Common Koel
614=	6	Common Noddy
614=	6	Coral Rabbitfish
614=	6	Curlew Sandpiper
614=	6	Custard Apple
614=	6	Deadly Nightshade
614=	6	Domestic Cat
614=	6	Domestic Cattle
614=	6	Domestic Turkey
614=	6	Eastern Snake-necked Tortise, Eastern Long-necked Tortoise
614=	6	Eastern Snake-necked Turtle, Snake-necked Turtle
614=	6	Fairy Tern
614=	6	Feathertail Glider
614=	6	Fire Clownfish
614=	6	Forest Raven
614=	6	Fuscous Honeyeater, Brown Honeyeater
614=	6	Gilja
614=	6	Golden-lined Whiting
614=	6	Great Cormorant
614=	6	Great Frigatebird
614=	6	Great Hammerhead
614=	6	Great Knot
614=	6	Great Skua
614=	6	Green Tiger Prawn
614=	6	Grey Goshawk
614=	6	Guinea Pig
614=	6	Gum Coolibah
614=	6	Gum Tree
614=	6	Gympie Messmate
614=	6	Helmeted Guineafowl
614=	6	Herbert's Rock-wallaby
614=	6	Hills Grunter
614=	6	Hooded Plover
614=	6	Hussar
614=	6	Jessamine
614=	6	Jutson's Mallee
614=	6	Krefft’s River Turtle
614=	6	Largescale Saury
614=	6	Lesser Frigatebird
614=	6	Little Black Cormorant
614=	6	Little Wattlebird, Brush Wattlebird
614=	6	Luderick, Blackfish
614=	6	Lumholtz’s Tree-kangaroo
614=	6	Magellan Plunderfish
614=	6	Marbled Gecko
614=	6	Marsupial Mole
614=	6	Moon Wrasse
614=	6	Mulberry
614=	6	Mulga Snake, King Brown Snake
614=	6	Mulgara
614=	6	New England Stringybark
