rank	count	NAME_LSID
164=	52	urn:lsid:biodiversity.org.au:afd.name:336851
164=	52	urn:lsid:biodiversity.org.au:afd.name:504035
166=	50	urn:lsid:biodiversity.org.au:afd.name:279038
166=	50	urn:lsid:biodiversity.org.au:afd.name:306393
166=	50	urn:lsid:biodiversity.org.au:afd.name:310785
166=	50	urn:lsid:biodiversity.org.au:afd.name:327651
166=	50	urn:lsid:biodiversity.org.au:afd.name:379564
166=	50	urn:lsid:biodiversity.org.au:afd.name:549771
172=	49	urn:lsid:biodiversity.org.au:afd.name:379728
172=	49	urn:lsid:biodiversity.org.au:afd.name:384559
172=	49	urn:lsid:biodiversity.org.au:afd.name:402907
172=	49	urn:lsid:biodiversity.org.au:afd.name:412878
172=	49	urn:lsid:biodiversity.org.au:afd.name:460012
172=	49	urn:lsid:biodiversity.org.au:afd.name:465821
178=	48	urn:lsid:biodiversity.org.au:afd.name:272570
178=	48	urn:lsid:biodiversity.org.au:afd.name:404341
178=	48	urn:lsid:biodiversity.org.au:afd.name:448920
178=	48	urn:lsid:biodiversity.org.au:afd.name:464628
178=	48	urn:lsid:biodiversity.org.au:afd.name:538819
178=	48	urn:lsid:biodiversity.org.au:afd.name:551056
178=	48	urn:lsid:biodiversity.org.au:afd.name:556333
178=	48	urn:lsid:biodiversity.org.au:afd.name:587081
186	47	urn:lsid:biodiversity.org.au:afd.name:402850
187=	46	urn:lsid:biodiversity.org.au:afd.name:539163
187=	46	urn:lsid:biodiversity.org.au:afd.name:555161
189=	45	urn:lsid:biodiversity.org.au:afd.name:276471
189=	45	urn:lsid:biodiversity.org.au:afd.name:291429
189=	45	urn:lsid:biodiversity.org.au:afd.name:301386
189=	45	urn:lsid:biodiversity.org.au:afd.name:315767
189=	45	urn:lsid:biodiversity.org.au:afd.name:316900
189=	45	urn:lsid:biodiversity.org.au:afd.name:329316
189=	45	urn:lsid:biodiversity.org.au:afd.name:341353
189=	45	urn:lsid:biodiversity.org.au:afd.name:347740
189=	45	urn:lsid:biodiversity.org.au:afd.name:376280
189=	45	urn:lsid:biodiversity.org.au:afd.name:392907
189=	45	urn:lsid:biodiversity.org.au:afd.name:398121
189=	45	urn:lsid:biodiversity.org.au:afd.name:403105
189=	45	urn:lsid:biodiversity.org.au:afd.name:449899
189=	45	urn:lsid:biodiversity.org.au:afd.name:490630
189=	45	urn:lsid:biodiversity.org.au:afd.name:497853
