name	family	interaction	host name	host family	source
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Aspidites ramsayi	Boidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Chlamydosaurus kingii	Agamidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Morelia spilota	Boidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Notechis scutatus	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Pseudechis porphyriacus	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Pseudonaja inframacula	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Pseudonaja nuchalis	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Pseudonaja textilis	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Suta suta	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus acanthurus	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus glauerti	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus glebopalma	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus mitchelli	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus rosenbergi	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus scalaris	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus storri	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Varanus varius	Varanidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata demansiae	Heterakidae	Associate:Consumer:Parasite	Demansia psammophis	Elapidae	http://biodiversity.org.au/afd/taxa/85e8b01c-e2d4-466d-9209-96b4389bd1d6	
Abbreviata glebopalmae	Heterakidae	Associate:Consumer:Parasite	Varanus glebopalma	Varanidae	http://biodiversity.org.au/afd/taxa/0b11ba06-72da-4756-853d-325361e678fc	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Aspidites melanocephalus	Boidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus acanthurus	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus brevicauda	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus mertensi	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus mitchelli	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus panoptes	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus rosenbergi	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus storri	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata hastaspicula	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/91cdab8f-c6fe-45fe-9960-caacec75c660	
Abbreviata kimberleyensis	Heterakidae	Associate:Consumer:Parasite	Varanus glauerti	Varanidae	http://biodiversity.org.au/afd/taxa/8f4d5cd0-8eb8-4860-aa44-d7ed937f89ab	
Abbreviata kimberleyensis	Heterakidae	Associate:Consumer:Parasite	Varanus glebopalma	Varanidae	http://biodiversity.org.au/afd/taxa/8f4d5cd0-8eb8-4860-aa44-d7ed937f89ab	
Abbreviata kimberleyensis	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/8f4d5cd0-8eb8-4860-aa44-d7ed937f89ab	
Abbreviata kumarinae	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/96f6711d-28fa-4576-a888-fb02fe7d79bf	
Abbreviata kumarinae	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/96f6711d-28fa-4576-a888-fb02fe7d79bf	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus caudolineatus	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus panoptes	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus pilbarensis	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus rosenbergi	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
Abbreviata levicauda	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/21dd0f6e-5e51-42f4-8773-b9b09c03b72f	
