rank	count	URI
157=	12	http://biodiversity.org.au/afd.name/459926
157=	12	http://biodiversity.org.au/afd.name/460510
157=	12	http://biodiversity.org.au/afd.name/462195
157=	12	http://biodiversity.org.au/afd.name/462313
157=	12	http://biodiversity.org.au/afd.name/465565
157=	12	http://biodiversity.org.au/afd.name/465588
157=	12	http://biodiversity.org.au/afd.name/467709
157=	12	http://biodiversity.org.au/afd.name/468428
157=	12	http://biodiversity.org.au/afd.name/468489
157=	12	http://biodiversity.org.au/afd.name/468590
157=	12	http://biodiversity.org.au/afd.name/468596
157=	12	http://biodiversity.org.au/afd.name/469824
157=	12	http://biodiversity.org.au/afd.name/470297
157=	12	http://biodiversity.org.au/afd.name/470720
157=	12	http://biodiversity.org.au/afd.name/470815
157=	12	http://biodiversity.org.au/afd.name/471020
157=	12	http://biodiversity.org.au/afd.name/471024
157=	12	http://biodiversity.org.au/afd.name/471131
157=	12	http://biodiversity.org.au/afd.name/471499
157=	12	http://biodiversity.org.au/afd.name/471576
157=	12	http://biodiversity.org.au/afd.name/471712
157=	12	http://biodiversity.org.au/afd.name/488095
157=	12	http://biodiversity.org.au/afd.name/585719
218=	11	http://biodiversity.org.au/afd.name/282106
218=	11	http://biodiversity.org.au/afd.name/290597
218=	11	http://biodiversity.org.au/afd.name/290689
218=	11	http://biodiversity.org.au/afd.name/291908
218=	11	http://biodiversity.org.au/afd.name/315492
218=	11	http://biodiversity.org.au/afd.name/316897
218=	11	http://biodiversity.org.au/afd.name/321819
218=	11	http://biodiversity.org.au/afd.name/322378
218=	11	http://biodiversity.org.au/afd.name/324346
218=	11	http://biodiversity.org.au/afd.name/327972
218=	11	http://biodiversity.org.au/afd.name/330532
218=	11	http://biodiversity.org.au/afd.name/332929
218=	11	http://biodiversity.org.au/afd.name/346053
218=	11	http://biodiversity.org.au/afd.name/349075
218=	11	http://biodiversity.org.au/afd.name/349181
218=	11	http://biodiversity.org.au/afd.name/363248
218=	11	http://biodiversity.org.au/afd.name/365126
218=	11	http://biodiversity.org.au/afd.name/365824
218=	11	http://biodiversity.org.au/afd.name/367320
218=	11	http://biodiversity.org.au/afd.name/369601
218=	11	http://biodiversity.org.au/afd.name/371366
218=	11	http://biodiversity.org.au/afd.name/379369
218=	11	http://biodiversity.org.au/afd.name/381950
218=	11	http://biodiversity.org.au/afd.name/383525
218=	11	http://biodiversity.org.au/afd.name/388086
218=	11	http://biodiversity.org.au/afd.name/388088
218=	11	http://biodiversity.org.au/afd.name/391953
218=	11	http://biodiversity.org.au/afd.name/393656
218=	11	http://biodiversity.org.au/afd.name/397975
218=	11	http://biodiversity.org.au/afd.name/398370
218=	11	http://biodiversity.org.au/afd.name/400047
218=	11	http://biodiversity.org.au/afd.name/400573
218=	11	http://biodiversity.org.au/afd.name/401912
218=	11	http://biodiversity.org.au/afd.name/410134
218=	11	http://biodiversity.org.au/afd.name/415972
218=	11	http://biodiversity.org.au/afd.name/417936
218=	11	http://biodiversity.org.au/afd.name/425101
218=	11	http://biodiversity.org.au/afd.name/425329
218=	11	http://biodiversity.org.au/afd.name/428478
218=	11	http://biodiversity.org.au/afd.name/433761
218=	11	http://biodiversity.org.au/afd.name/439131
218=	11	http://biodiversity.org.au/afd.name/441767
218=	11	http://biodiversity.org.au/afd.name/444970
218=	11	http://biodiversity.org.au/afd.name/445340
218=	11	http://biodiversity.org.au/afd.name/447004
218=	11	http://biodiversity.org.au/afd.name/448070
218=	11	http://biodiversity.org.au/afd.name/452406
218=	11	http://biodiversity.org.au/afd.name/453527
218=	11	http://biodiversity.org.au/afd.name/455968
218=	11	http://biodiversity.org.au/afd.name/456323
218=	11	http://biodiversity.org.au/afd.name/456736
218=	11	http://biodiversity.org.au/afd.name/457233
218=	11	http://biodiversity.org.au/afd.name/458162
218=	11	http://biodiversity.org.au/afd.name/459560
218=	11	http://biodiversity.org.au/afd.name/459607
218=	11	http://biodiversity.org.au/afd.name/459807
218=	11	http://biodiversity.org.au/afd.name/460206
218=	11	http://biodiversity.org.au/afd.name/460629
218=	11	http://biodiversity.org.au/afd.name/463364
218=	11	http://biodiversity.org.au/afd.name/463451
218=	11	http://biodiversity.org.au/afd.name/464148
218=	11	http://biodiversity.org.au/afd.name/464259
218=	11	http://biodiversity.org.au/afd.name/465133
218=	11	http://biodiversity.org.au/afd.name/465804
218=	11	http://biodiversity.org.au/afd.name/466199
218=	11	http://biodiversity.org.au/afd.name/466355
218=	11	http://biodiversity.org.au/afd.name/466544
218=	11	http://biodiversity.org.au/afd.name/466651
218=	11	http://biodiversity.org.au/afd.name/467269
218=	11	http://biodiversity.org.au/afd.name/467614
218=	11	http://biodiversity.org.au/afd.name/467946
218=	11	http://biodiversity.org.au/afd.name/468437
218=	11	http://biodiversity.org.au/afd.name/468710
218=	11	http://biodiversity.org.au/afd.name/468947
218=	11	http://biodiversity.org.au/afd.name/468948
218=	11	http://biodiversity.org.au/afd.name/468965
218=	11	http://biodiversity.org.au/afd.name/469493
218=	11	http://biodiversity.org.au/afd.name/470103
218=	11	http://biodiversity.org.au/afd.name/470170
218=	11	http://biodiversity.org.au/afd.name/470318
218=	11	http://biodiversity.org.au/afd.name/470473
218=	11	http://biodiversity.org.au/afd.name/470478
218=	11	http://biodiversity.org.au/afd.name/470490
218=	11	http://biodiversity.org.au/afd.name/470634
218=	11	http://biodiversity.org.au/afd.name/470874
218=	11	http://biodiversity.org.au/afd.name/471044
218=	11	http://biodiversity.org.au/afd.name/471210
218=	11	http://biodiversity.org.au/afd.name/471225
218=	11	http://biodiversity.org.au/afd.name/471526
218=	11	http://biodiversity.org.au/afd.name/471577
218=	11	http://biodiversity.org.au/afd.name/471578
218=	11	http://biodiversity.org.au/afd.name/471579
218=	11	http://biodiversity.org.au/afd.name/471686
218=	11	http://biodiversity.org.au/afd.name/471707
218=	11	http://biodiversity.org.au/afd.name/475258
218=	11	http://biodiversity.org.au/afd.name/475888
218=	11	http://biodiversity.org.au/afd.name/488122
218=	11	http://biodiversity.org.au/afd.name/495343
218=	11	http://biodiversity.org.au/afd.name/510221
218=	11	http://biodiversity.org.au/afd.name/510951
218=	11	http://biodiversity.org.au/afd.name/513799
218=	11	http://biodiversity.org.au/afd.name/514994
218=	11	http://biodiversity.org.au/afd.name/537658
218=	11	http://biodiversity.org.au/afd.name/540857
218=	11	http://biodiversity.org.au/afd.name/593580
323=	10	http://biodiversity.org.au/afd.name/266069
323=	10	http://biodiversity.org.au/afd.name/272998
323=	10	http://biodiversity.org.au/afd.name/273712
323=	10	http://biodiversity.org.au/afd.name/290691
323=	10	http://biodiversity.org.au/afd.name/291907
323=	10	http://biodiversity.org.au/afd.name/293917
323=	10	http://biodiversity.org.au/afd.name/296332
323=	10	http://biodiversity.org.au/afd.name/301994
323=	10	http://biodiversity.org.au/afd.name/302648
323=	10	http://biodiversity.org.au/afd.name/303064
323=	10	http://biodiversity.org.au/afd.name/310408
323=	10	http://biodiversity.org.au/afd.name/311703
323=	10	http://biodiversity.org.au/afd.name/311729
323=	10	http://biodiversity.org.au/afd.name/312352
323=	10	http://biodiversity.org.au/afd.name/312357
323=	10	http://biodiversity.org.au/afd.name/312929
323=	10	http://biodiversity.org.au/afd.name/313985
323=	10	http://biodiversity.org.au/afd.name/314162
323=	10	http://biodiversity.org.au/afd.name/315737
323=	10	http://biodiversity.org.au/afd.name/317458
323=	10	http://biodiversity.org.au/afd.name/320229
323=	10	http://biodiversity.org.au/afd.name/321779
323=	10	http://biodiversity.org.au/afd.name/321817
