rank	count	SCIENTIFIC_NAME
219=	11	Northiella haematogaster haematorrhous
219=	11	Northiella haematogaster pallescens
219=	11	Notechis scutatus
219=	11	Notoscincus ornatus
219=	11	Nymphicus hollandicus
219=	11	Pachycephala (Pachycephala) pectoralis
219=	11	Petrogale assimilis
219=	11	Petrogale inornata
219=	11	Petrogale penicillata
219=	11	Pezoporus flaviventris
219=	11	Phaps (Phaps) elegans elegans
219=	11	Phaps (Phaps) elegans occidentalis
219=	11	Philipis laevigata
219=	11	Philipis sinuata
219=	11	Pitar (Pitarina) prora
219=	11	Plinthisus (Locutius) woodwardi
219=	11	Podargus papuensis baileyi
219=	11	Psephotus (Psephotellus) chrysopterygius
219=	11	Psephotus (Psephotellus) dissimilis
219=	11	Psitteuteles versicolor
219=	11	Ptilinopus (Ptilinopus) superbus superbus
219=	11	Pygopus nigriceps
219=	11	Rhipidura (Sauloprocta) leucophrys picata
219=	11	Scopiastes laticeps
219=	11	Scythrops novaehollandiae novaehollandiae
219=	11	Sepioteuthis australis
219=	11	Sminthopsis gilberti
219=	11	Sminthopsis leucopus
219=	11	Sminthopsis leucopus ferruginifrons
219=	11	Sminthopsis leucopus leucopus
219=	11	Tetronychoteuthis dussumierii
219=	11	Tiliqua occipitalis
219=	11	Trichoglossus haematodus moluccanus
219=	11	Trichoglossus haematodus rubritorquis
219=	11	Trichoglossus haematodus septentrionalis
219=	11	Vanellus (Lobipluvia) miles
219=	11	Vanellus (Lobipluvia) miles miles
324=	10	Acanthophis antarcticus
324=	10	Acrobates pygmaeus
324=	10	Adelotus brevis
324=	10	Aerodramus vanikorensis yorki
324=	10	Agathyrna praecellens
324=	10	Agriopocoris froggatti
324=	10	Anaciaeschna jaspidea
324=	10	Antaresia childreni
324=	10	Antechinus flavipes
324=	10	Antechinus stuartii
324=	10	Antechinus swainsonii
324=	10	Arictus monteithi
324=	10	Arocatus chiasmus
324=	10	Artamus (Angroyan) cyanopterus
324=	10	Bettongia penicillata
324=	10	Brentiscerus australis
324=	10	Calyptorhynchus (Zanda) funereus whiteae
324=	10	Calyptorhynchus (Zanda) funereus xanthanotus
324=	10	Carlia munda
324=	10	Cerithium phoxum
324=	10	Chalcites (Chalcites) minutillus barnardi
324=	10	Chalcites (Chalcites) minutillus minutillus
324=	10	Chalcites (Chalcites) minutillus russatus
324=	10	Chalcophaps indica rogersi
324=	10	Charadrius (Charadrius) ruficapillus
324=	10	Cheramoeca leucosterna
324=	10	Chicoreus (Triplex) palmarosae
324=	10	Chicoreus (Triplex) territus
324=	10	Chilocoris tasmanicus
324=	10	Choerocoris paganus
324=	10	Columba (Janthoenas) leucomela
324=	10	Conus capitaneus
324=	10	Conus textile
324=	10	Corvus coronoides
324=	10	Corvus coronoides coronoides
324=	10	Corvus orru
324=	10	Cracticus torquatus
324=	10	Crinia deserticola
324=	10	Crinia signifera
324=	10	Cryptoblepharus virgatus
324=	10	Ctenophorus caudicinctus
324=	10	Ctenophorus isolepis
324=	10	Ctenophorus reticulatus
324=	10	Cyanoramphus novaezelandiae erythrotis
324=	10	Cyclorana cultripes
324=	10	Cyclorana verrucosa
324=	10	Dacelo (Dacelo) novaeguineae novaeguineae
324=	10	Delma nasuta
324=	10	Dendrelaphis punctulatus
324=	10	Dimorphopterus pilosus
324=	10	Diplacodes haematodes
324=	10	Diplodactylus vittatus
324=	10	Diporiphora bilineata
324=	10	Diporiphora nobbi
324=	10	Distorsio reticularis
324=	10	Egernia striolata
324=	10	Eretmochelys imbricata
324=	10	Eudalia castelnaui
324=	10	Eudalia macleayi
324=	10	Eulamprus quoyii
324=	10	Gari (Gari) lessoni
324=	10	Gavicalis virescens sonorus
324=	10	Geocoris elegantulus
324=	10	Geocrinia laevis
324=	10	Geocrinia leai
324=	10	Geocrinia victoriana
324=	10	Geoffroyus geoffroyi maclennani
324=	10	Geopelia cuneata
324=	10	Geophaps (Geophaps) smithii smithii
324=	10	Germalus humeralis
324=	10	Glochocoris abdominalis
324=	10	Granulaptera spiniceps
324=	10	Graptostethus varipictus
324=	10	Hebrolethaeus aurantiacus
324=	10	Heleioporus albopunctatus
324=	10	Hemicordulia tau
324=	10	Histioteuthis macrohista
324=	10	Hydromys chrysogaster
324=	10	Ischnura aurora aurora
324=	10	Kurrajongia aploa
324=	10	Lamproceps australis
324=	10	Lerista muelleri
324=	10	Limnebius acupunctus
324=	10	Limnodynastes dorsalis
324=	10	Litoria dahlii
324=	10	Litoria lesueuri
324=	10	Litoria peronii
324=	10	Lophognathus longirostris
324=	10	Macropus fuliginosus
324=	10	Macropygia (Macropygia) amboinensis quinkan
324=	10	Melanerythrus biguttatus
324=	10	Melanotelus rubiginosus
324=	10	Mesophloeobia australica
324=	10	Moloch horridus
324=	10	Nassarius (Zeuxis) idyllius
324=	10	Neelaps bimaculatus
324=	10	Neobatrachus pelobatoides
324=	10	Nezara viridula
324=	10	Ninox (Ninox) novaeseelandiae undulata
324=	10	Ninox (Rhabdoglaux) rufa queenslandica
324=	10	Ninox (Rhabdoglaux) rufa rufa
324=	10	Northiella haematogaster narethae
324=	10	Notaden nichollsi
324=	10	Noteolethaeus armstrongi
324=	10	Octopus bunurong
324=	10	Onychogalea unguifera
324=	10	Onychoteuthis banksii
324=	10	Orthetrum caledonicum
324=	10	Oxycarenus (Oxycarenus) luctuosus
324=	10	Perameles bougainville
324=	10	Petaurus breviceps
324=	10	Petaurus norfolcensis
324=	10	Phaps (Histriophaps) histrionica
324=	10	Philipis rufescens
324=	10	Philipis subtropica
324=	10	Philipis thompsoni
324=	10	Planigale maculata
324=	10	Podargus papuensis rogersi
324=	10	Poecilometis spenceri
324=	10	Pogona barbata
324=	10	Probosciger aterrimus macgillivrayi
324=	10	Psephotus (Psephotellus) pulcherrimus
324=	10	Pseudechis porphyriacus
324=	10	Pseudomys fieldi
324=	10	Pseudomys novaehollandiae
324=	10	Pseudonaja modesta
324=	10	Pseudophryne australis
324=	10	Pseudophryne occidentalis
324=	10	Pteropus scapulatus
324=	10	Ptilinopus (Megaloprepia) cinctus alligator
324=	10	Ptilinopus (Ptilinopus) regina ewingii
324=	10	Pyroteuthis margaritifera
324=	10	Rattus norvegicus
324=	10	Remaudiereana inornata
324=	10	Remaudiereana nigriceps
324=	10	Rhinolophus megaphyllus
