count$path$bad_name$	suggested_name
    4$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus affin gracilis$	Eucalyptus sp_affin_gracilis
    4$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus anceps$	Eucalyptus sp_ms_anceps
    1$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus aspera$	Eucalyptus sp_ms_aspera
    2$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus blakely$	Eucalyptus sp_ms_blakely
   31$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus calophylla$	Eucalyptus sp_ms_calophylla
    3$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus clavigera$	Eucalyptus sp_ms_clavigera
    4$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus clelandi$	Eucalyptus sp_ms_clelandi
   11$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus confertiflora$	Eucalyptus sp_ms_confertiflora
    3$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus consideriana$	Eucalyptus sp_ms_consideriana
    5$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus creba$	Eucalyptus sp_ms_creba
    2$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus dichromophloia$	Eucalyptus sp_ms_dichromophloia
    1$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus exerta$	Eucalyptus sp_ms_exerta
    1$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus ferruginea$	Eucalyptus sp_ms_ferruginea
   10$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus ficifolia$	Eucalyptus sp_ms_ficifolia
    1$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus foelcheana$	Eucalyptus sp_ms_foelcheana
    2$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus gacilis$	Eucalyptus sp_ms_gacilis
    9$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus gammophylla$	Eucalyptus sp_ms_gammophylla
    1$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus gimlei$	Eucalyptus sp_ms_gimlei
    2$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus haematoxylon$	Eucalyptus sp_ms_haematoxylon
    5$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus intermedia$	Eucalyptus sp_ms_intermedia
    7$Plantae/Dicotyledoneae/Myrtaceae$Eucalyptus landsdowneana$	Eucalyptus sp_ms_landsdowneana
