rank	count	Host authority
252=	1	&#40;Pedley&#41; Tindale &#38; Kodela
252=	1	&#40;R. Br. ex DC.&#41; Benth.
252=	1	&#40;R. Br.&#41; K.D.Hill &#38; L.A.S.Johnson
252=	1	&#40;Sol. ex Gaertner&#41; Smith
252=	1	&#40;Walp. &#38; Duchass.&#41; Griseb.
252=	1	&#40;Willd.&#41; Paul G. Wilson
252=	1	Behr
252=	1	Brooker &#38; Hopper
252=	1	Exell
252=	1	F. Muell
252=	1	F.Muell. ex Miq.
252=	1	Gaudich.
252=	1	Hotchk.
252=	1	J. Gay
252=	1	Knight
252=	1	Kunth
252=	1	P.H. Weston
252=	1	R. Br. ex Benth.
252=	1	R.S. Cowan
252=	1	R.S. Cowan &#38; Maslin
252=	1	Regel
252=	1	S.Schauer
252=	1	Staples

24610	TOTAL
