rank	count	Latitude
262=	26	42.12388
275=	25	-20.19955
275=	25	-22.96088
275=	25	-23.36667
275=	25	-25.99111
275=	25	-30.26667
275=	25	-30.42336
275=	25	-37.05908
275=	25	-38.84398
283=	24	-14.05790
283=	24	-14.27978
283=	24	-16.46667
283=	24	-17.58329
283=	24	-17.69389
283=	24	-19.43541
283=	24	-27.88068
283=	24	-29.82335
283=	24	-34.13872
283=	24	-43.03732
293=	23	-15.97252
293=	23	-21.94606
293=	23	-24.46768
293=	23	-29.08872
293=	23	-29.16269
293=	23	-29.60001
293=	23	-31.55000
293=	23	-32.00906
293=	23	-35.13883
293=	23	-38.07646
293=	23	42.06117
304=	22	-12.63105
304=	22	-17.11218
304=	22	-21.51928
304=	22	-22.18669
304=	22	-22.47740
304=	22	-27.50000
304=	22	-31.37749
304=	22	-33.75268
304=	22	-35.46302
304=	22	-41.48540
304=	22	35.62770
315=	21	-15.26755
315=	21	-30.53334
315=	21	-31.37181
315=	21	-32.58208
315=	21	-33.01750
315=	21	-33.07505
315=	21	-34.00398
315=	21	-36.45001
315=	21	42.12117
324=	20	-17.36519
324=	20	-18.17997
324=	20	-18.97155
324=	20	-20.40077
324=	20	-21.10333
324=	20	-22.56388
324=	20	-29.18327
324=	20	-29.88180
324=	20	-31.26667
324=	20	-37.76668
324=	20	-41.57083
335=	19	-13.99036
335=	19	-17.41666
335=	19	-17.65236
335=	19	-17.93180
335=	19	-19.00813
335=	19	-19.34533
335=	19	-22.09877
335=	19	-22.14513
335=	19	-29.19013
335=	19	-30.07080
335=	19	-31.11547
335=	19	-33.72415
335=	19	-34.83314
348=	18	-15.62788
348=	18	-15.68297
348=	18	-16.27000
348=	18	-22.16805
348=	18	-22.90198
348=	18	-34.76205
348=	18	-35.06481
348=	18	-38.12103
356=	17	-17.70000
356=	17	-22.39090
356=	17	-23.53334
356=	17	-29.62000
356=	17	-29.80735
356=	17	-29.88000
356=	17	-30.14259
356=	17	-30.53569
356=	17	-30.87541
356=	17	-33.79455
356=	17	-37.34801
356=	17	-41.17801
368=	16	-16.45000
368=	16	-17.38333
368=	16	-22.27227
368=	16	-24.57167
368=	16	-27.61971
368=	16	-27.92751
368=	16	-28.19200
368=	16	-29.11436
368=	16	-29.74620
368=	16	-33.63335
368=	16	-33.93293
368=	16	-34.17911
368=	16	-38.07846
381=	15	-14.22434
381=	15	-15.95000
381=	15	-22.03800
381=	15	-22.43425
381=	15	-22.63335
381=	15	-24.27972
381=	15	-27.45883
381=	15	-27.82917
381=	15	-28.42397
381=	15	-30.23101
381=	15	-33.80786
381=	15	-34.85263
381=	15	-34.99511
381=	15	-35.33300
381=	15	-41.06039
381=	15	-41.20759
381=	15	-41.40190
381=	15	35.64750
381=	15	4.03950
381=	15	42.08193
401=	14	-15.47863
401=	14	-16.65000
401=	14	-22.66638
401=	14	-24.57194
401=	14	-28.89667
401=	14	-28.93900
401=	14	-29.18108
401=	14	-29.28544
401=	14	-29.50483
401=	14	-30.22418
401=	14	-30.43488
401=	14	-31.21000
401=	14	-32.17000
401=	14	-33.73981
401=	14	-33.81790
401=	14	-34.10250
401=	14	-34.26646
401=	14	-34.76464
401=	14	-41.18012
401=	14	-41.37430
421=	13	-10.91667
421=	13	-13.92618
421=	13	-14.22399
421=	13	-14.90181
421=	13	-16.41216
421=	13	-17.55000
421=	13	-18.08155
421=	13	-22.10391
421=	13	-24.46666
421=	13	-26.61238
421=	13	-27.64166
421=	13	-29.24555
421=	13	-29.25294
421=	13	-32.84222
421=	13	-32.85954
421=	13	-33.58334
421=	13	-33.71083
421=	13	-34.09361
421=	13	-35.65001
421=	13	-37.21653
421=	13	-41.43611
421=	13	-41.99339
443=	12	-15.59413
443=	12	-16.25000
443=	12	-17.28333
443=	12	-23.80002
443=	12	-27.97400
443=	12	-28.01426
443=	12	-29.18016
443=	12	-30.07069
443=	12	-30.66147
443=	12	-31.80210
443=	12	-32.09039
443=	12	-32.39888
443=	12	-32.50001
443=	12	-32.78725
443=	12	-33.90852
443=	12	-33.92254
443=	12	-33.97064
443=	12	-34.47097
443=	12	-34.98965
443=	12	-41.80810
443=	12	-42.15000
464=	11	-10.29000
464=	11	-14.70974
464=	11	-16.68111
464=	11	-16.93333
464=	11	-17.68628
464=	11	-17.93666
464=	11	-23.03333
464=	11	-23.28366
464=	11	-25.66667
464=	11	-27.46785
464=	11	-29.62934
464=	11	-30.33705
464=	11	-32.50000
464=	11	-33.50842
464=	11	-33.53334
464=	11	-35.72815
464=	11	-36.61668
464=	11	-41.15739
482=	10	-13.26915
482=	10	-14.52718
482=	10	-15.34258
482=	10	-16.63750
482=	10	-17.05000
482=	10	-17.35584
482=	10	-17.38413
482=	10	-17.68333
482=	10	-18.01510
482=	10	-22.13334
482=	10	-26.24000
482=	10	-29.13733
482=	10	-29.30552
482=	10	-29.99963
482=	10	-30.16741
482=	10	-30.42986
482=	10	-32.12027
482=	10	-33.33333
482=	10	-34.09508
482=	10	-34.14956
482=	10	-34.15313
482=	10	-34.24697
482=	10	-34.89687
482=	10	-35.33333
482=	10	-36.46000
482=	10	-36.50000
482=	10	-37.36723
482=	10	-43.03734
482=	10	-9.59400
482=	10	35.69420
512=	9	-10.33000
512=	9	-11.84000
512=	9	-13.99279
512=	9	-14.04680
512=	9	-16.05000
512=	9	-16.09761
512=	9	-16.56475
512=	9	-17.21667
512=	9	-19.96833
512=	9	-21.98083
512=	9	-21.98847
512=	9	-22.15115
512=	9	-22.43541
512=	9	-22.93965
512=	9	-23.26667
512=	9	-25.91094
512=	9	-26.83333
512=	9	-29.15294
512=	9	-29.57413
512=	9	-29.88011
512=	9	-30.31361
512=	9	-31.63335
512=	9	-32.12041
512=	9	-32.53334
512=	9	-32.82691
512=	9	-33.11370
512=	9	-33.58097
512=	9	-38.04932
512=	9	-38.93212
512=	9	-41.16079
512=	9	-41.27337
512=	9	-41.58310
512=	9	-42.91670
512=	9	35.71570
512=	9	42.09145
547=	8	-16.81722
547=	8	-17.11666
547=	8	-17.20000
547=	8	-17.65000
547=	8	-18.30000
547=	8	-19.81856
547=	8	-20.30622
547=	8	-21.34642
547=	8	-27.43701
547=	8	-27.47677
547=	8	-27.51305
547=	8	-27.71000
547=	8	-29.06600
547=	8	-29.53227
547=	8	-30.42694
547=	8	-30.43876
547=	8	-30.51668
547=	8	-30.57312
547=	8	-30.75002
547=	8	-31.04000
547=	8	-31.71668
547=	8	-32.23888
547=	8	-32.37141
547=	8	-33.64797
547=	8	-33.86520
547=	8	-33.99916
547=	8	-34.83000
547=	8	-35.26387
547=	8	-35.56700
547=	8	-36.58334
547=	8	-36.67426
547=	8	-38.20205
547=	8	-41.16633
547=	8	-42.65398
581=	7	-12.58649
581=	7	-15.34995
581=	7	-16.43333
581=	7	-16.45958
581=	7	-16.56667
581=	7	-16.67919
581=	7	-17.42167
581=	7	-17.42388
581=	7	-17.45000
581=	7	-17.60000
581=	7	-21.03494
581=	7	-22.26850
581=	7	-22.49009
581=	7	-27.66542
581=	7	-28.71000
581=	7	-29.03205
581=	7	-29.96214
581=	7	-30.43369
581=	7	-30.46605
581=	7	-31.43596
581=	7	-31.52625
581=	7	-31.54800
581=	7	-31.55001
581=	7	-31.81666
581=	7	-32.35001
581=	7	-32.40001
581=	7	-32.46461
581=	7	-33.23670
581=	7	-33.76864
581=	7	-33.82444
581=	7	-33.96726
581=	7	-34.16667
581=	7	-34.17991
581=	7	-34.38333
581=	7	-35.34400
581=	7	-36.14047
581=	7	-40.25728
581=	7	-41.60940
581=	7	-41.81950
581=	7	-42.22034
581=	7	35.58357
622=	6	-14.05779
622=	6	-14.33596
622=	6	-16.11954
622=	6	-16.92304
622=	6	-16.94869
622=	6	-17.42969
622=	6	-17.58390
622=	6	-17.61667
622=	6	-17.97000
622=	6	-18.05494
622=	6	-20.48651
622=	6	-21.07402
622=	6	-21.32759
622=	6	-21.66280
622=	6	-21.74017
622=	6	-22.25663
622=	6	-24.58222
622=	6	-26.03300
622=	6	-26.26835
622=	6	-27.08465
622=	6	-27.41007
622=	6	-27.47634
622=	6	-27.56163
622=	6	-28.03737
622=	6	-28.19861
622=	6	-28.20000
622=	6	-28.23333
622=	6	-29.04816
622=	6	-29.50420
622=	6	-29.54794
622=	6	-30.06098
622=	6	-30.06250
622=	6	-30.35478
622=	6	-30.50469
622=	6	-30.77222
622=	6	-31.50001
622=	6	-31.56816
622=	6	-31.71710
622=	6	-32.08761
622=	6	-32.43294
622=	6	-32.65397
622=	6	-33.00680
622=	6	-33.32199
622=	6	-33.54491
622=	6	-33.58333
622=	6	-33.66300
622=	6	-34.07200
622=	6	-34.11801
622=	6	-34.14390
622=	6	-34.19354
622=	6	-34.23285
622=	6	-34.84055
622=	6	-34.98352
622=	6	-35.01930
622=	6	-35.21796
622=	6	-37.24204
622=	6	-38.04760
622=	6	-38.14140
622=	6	-40.87700
622=	6	-41.63500
622=	6	-42.69410
622=	6	-43.06649
622=	6	29.73602
622=	6	35.62593
622=	6	35.64297
687=	5	-10.20817
687=	5	-11.45000
687=	5	-12.86449
687=	5	-13.27000
687=	5	-13.64139
687=	5	-15.60563
687=	5	-15.81667
687=	5	-16.00000
687=	5	-16.40000
687=	5	-16.44365
687=	5	-16.56082
687=	5	-17.03333
687=	5	-17.11667
687=	5	-17.28796
687=	5	-17.41667
687=	5	-17.53333
687=	5	-17.83530
687=	5	-22.15536
687=	5	-22.46805
687=	5	-22.97922
687=	5	-24.17111
687=	5	-24.59806
687=	5	-25.50996
687=	5	-26.65000
687=	5	-27.60897
687=	5	-27.75408
687=	5	-28.00117
687=	5	-28.41302
687=	5	-28.66200
687=	5	-28.80000
687=	5	-29.00000
687=	5	-29.18225
687=	5	-29.23147
687=	5	-29.55969
687=	5	-29.68019
687=	5	-30.01000
687=	5	-30.22172
687=	5	-30.34550
687=	5	-30.41425
687=	5	-31.23414
687=	5	-31.78500
687=	5	-31.91500
687=	5	-32.09100
687=	5	-32.81408
687=	5	-33.03000
687=	5	-33.17000
687=	5	-33.63180
687=	5	-33.74000
687=	5	-33.74644
687=	5	-33.74900
687=	5	-33.98180
687=	5	-34.13988
687=	5	-34.20336
687=	5	-34.27038
687=	5	-34.28000
687=	5	-34.60354
687=	5	-34.91666
687=	5	-35.58333
687=	5	-35.65981
687=	5	-36.46487
687=	5	-37.20000
687=	5	-38.13534
687=	5	-38.19218
687=	5	-38.21948
687=	5	-40.93333
687=	5	-41.14910
687=	5	-41.16778
687=	5	-42.90597
755=	4	-10.18750
755=	4	-12.06000
755=	4	-12.34000
755=	4	-12.51072
755=	4	-13.35400
755=	4	-13.76799
755=	4	-13.91666
755=	4	-14.05814
755=	4	-14.05885
755=	4	-14.06186
755=	4	-15.78333
755=	4	-15.88333
755=	4	-15.95730
755=	4	-16.08333
755=	4	-16.23333
755=	4	-16.36666
755=	4	-16.80534
755=	4	-17.23333
755=	4	-17.26670
755=	4	-17.34390
755=	4	-17.43333
755=	4	-17.43766
755=	4	-17.43769
755=	4	-17.50000
755=	4	-17.51670
755=	4	-17.80758
755=	4	-17.97464
755=	4	-22.04619
755=	4	-22.64869
755=	4	-22.71933
755=	4	-24.17083
755=	4	-24.29778
755=	4	-24.30833
755=	4	-24.58000
755=	4	-24.58944
755=	4	-24.68335
755=	4	-24.81667
755=	4	-25.20000
755=	4	-26.14706
755=	4	-26.44062
755=	4	-27.32124
755=	4	-27.33683
755=	4	-27.63983
755=	4	-28.44833
755=	4	-29.01804
755=	4	-29.02503
755=	4	-29.08177
755=	4	-29.30155
755=	4	-29.51501
755=	4	-29.92444
755=	4	-29.99602
755=	4	-30.16817
755=	4	-30.22313
755=	4	-30.35700
755=	4	-30.38730
755=	4	-30.43141
755=	4	-30.44580
755=	4	-30.62008
755=	4	-31.85800
755=	4	-31.86500
755=	4	-32.48700
755=	4	-33.00504
755=	4	-33.60700
755=	4	-34.09199
755=	4	-34.09971
755=	4	-34.24350
755=	4	-34.39850
755=	4	-34.46000
755=	4	-34.61666
755=	4	-34.67773
755=	4	-34.80835
755=	4	-35.22000
755=	4	-35.48474
755=	4	-35.60421
755=	4	-35.75000
755=	4	-35.93028
755=	4	-35.97744
755=	4	-36.45600
755=	4	-36.97219
755=	4	-37.09622
755=	4	-38.03570
755=	4	-38.12057
755=	4	-38.19711
755=	4	-41.55283
755=	4	-41.63333
755=	4	-41.81440
755=	4	-41.86667
755=	4	-42.10900
755=	4	-42.84250
755=	4	-42.97568
755=	4	42.03070
755=	4	43.71400
847=	3	-10.58938
847=	3	-10.76667
847=	3	-11.10381
847=	3	-12.17000
847=	3	-14.02060
847=	3	-14.22146
847=	3	-14.22730
847=	3	-14.33653
847=	3	-15.48000
847=	3	-15.48600
847=	3	-15.66169
847=	3	-16.24167
847=	3	-16.38645
847=	3	-16.53533
847=	3	-17.10000
847=	3	-17.10306
847=	3	-17.12000
847=	3	-17.21670
847=	3	-17.31667
847=	3	-17.31994
847=	3	-17.43805
847=	3	-17.51667
847=	3	-17.70028
847=	3	-17.86067
847=	3	-17.90150
847=	3	-20.25000
847=	3	-20.31718
847=	3	-20.51900
847=	3	-20.73473
847=	3	-21.64606
847=	3	-21.98141
847=	3	-24.88387
847=	3	-25.45000
847=	3	-26.13333
847=	3	-26.41667
847=	3	-27.23333
847=	3	-27.33300
847=	3	-27.33667
847=	3	-27.45000
847=	3	-27.50150
847=	3	-27.58783
847=	3	-27.62473
847=	3	-27.69313
847=	3	-28.21674
847=	3	-28.24129
847=	3	-28.47000
847=	3	-28.95500
847=	3	-29.13990
847=	3	-29.19661
847=	3	-29.48986
847=	3	-29.60866
847=	3	-29.90633
847=	3	-29.92068
847=	3	-30.34020
847=	3	-30.43252
847=	3	-30.46358
847=	3	-30.47811
847=	3	-30.52586
847=	3	-30.58649
847=	3	-30.63481
847=	3	-31.10633
847=	3	-31.21666
847=	3	-31.23000
847=	3	-31.56889
847=	3	-31.58716
847=	3	-31.76666
847=	3	-31.76668
847=	3	-32.05143
847=	3	-32.37691
847=	3	-32.67619
847=	3	-32.82520
847=	3	-33.07681
847=	3	-33.25000
847=	3	-33.32711
847=	3	-33.42400
847=	3	-33.46667
847=	3	-33.48093
847=	3	-33.63566
847=	3	-33.87081
847=	3	-34.08333
847=	3	-34.13770
847=	3	-34.24513
847=	3	-34.24694
847=	3	-34.31331
847=	3	-34.37277
847=	3	-34.37300
847=	3	-34.70001
847=	3	-34.70677
847=	3	-34.73333
847=	3	-34.73363
847=	3	-34.83782
847=	3	-35.28330
847=	3	-35.68338
847=	3	-36.56868
847=	3	-36.74700
847=	3	-37.27915
847=	3	-37.29277
847=	3	-38.65000
847=	3	-40.87400
847=	3	-41.54900
847=	3	-42.00800
847=	3	-42.12166
847=	3	-42.67917
847=	3	-42.68126
847=	3	-43.03419
847=	3	-43.25000
847=	3	35.67207
847=	3	35.69852
847=	3	39.80238
847=	3	40.05633
957=	2	-10.28500
957=	2	-11.66666
957=	2	-11.68333
957=	2	-11.83333
957=	2	-12.25000
957=	2	-12.36000
957=	2	-12.39800
957=	2	-12.40749
957=	2	-12.66000
957=	2	-13.89067
957=	2	-13.98828
957=	2	-14.00422
957=	2	-14.02131
957=	2	-14.29411
957=	2	-14.41800
957=	2	-14.49000
957=	2	-15.47300
957=	2	-15.52800
957=	2	-15.70777
957=	2	-15.80000
957=	2	-15.92578
957=	2	-16.06667
957=	2	-16.38333
957=	2	-16.42361
957=	2	-16.50000
957=	2	-16.62458
957=	2	-16.63583
957=	2	-16.72167
957=	2	-16.81667
957=	2	-16.90086
957=	2	-16.91667
957=	2	-16.93330
957=	2	-16.98893
957=	2	-17.09958
957=	2	-17.15307
957=	2	-17.16000
957=	2	-17.23409
957=	2	-17.26666
957=	2	-17.28599
957=	2	-17.28736
957=	2	-17.33200
957=	2	-17.35000
957=	2	-17.35501
957=	2	-17.36150
957=	2	-17.37000
957=	2	-17.40000
957=	2	-17.46667
957=	2	-17.47000
957=	2	-17.50833
957=	2	-17.61600
957=	2	-17.98486
957=	2	-18.36667
957=	2	-18.65000
957=	2	-20.53368
957=	2	-20.73452
957=	2	-21.03333
957=	2	-21.40701
957=	2	-22.03104
957=	2	-22.20752
957=	2	-22.21650
957=	2	-22.25386
957=	2	-22.30000
957=	2	-22.65001
957=	2	-22.65130
957=	2	-23.05500
957=	2	-23.18983
957=	2	-23.88335
957=	2	-24.40028
957=	2	-24.41000
957=	2	-24.57806
957=	2	-24.65000
957=	2	-25.11985
957=	2	-25.28334
957=	2	-25.70250
957=	2	-26.08949
957=	2	-26.39650
957=	2	-26.42171
957=	2	-26.56300
957=	2	-26.63333
957=	2	-26.78167
957=	2	-26.85700
957=	2	-26.86667
957=	2	-27.05400
957=	2	-27.33000
957=	2	-27.49333
957=	2	-27.51667
957=	2	-27.62217
957=	2	-27.66975
957=	2	-27.82155
957=	2	-27.88333
957=	2	-27.97253
957=	2	-28.05000
957=	2	-28.54667
957=	2	-28.94000
957=	2	-29.21332
957=	2	-29.23572
957=	2	-29.23719
957=	2	-29.24582
957=	2	-29.26211
957=	2	-29.33000
957=	2	-29.88166
957=	2	-29.90000
957=	2	-29.92613
957=	2	-30.06102
957=	2	-30.06297
957=	2	-30.07055
957=	2	-30.20633
957=	2	-30.33330
957=	2	-30.39713
957=	2	-30.45700
957=	2	-30.49923
957=	2	-30.80000
957=	2	-31.06667
957=	2	-31.18876
957=	2	-31.19309
957=	2	-31.43333
957=	2	-31.52083
957=	2	-31.53200
957=	2	-31.55528
957=	2	-31.56303
957=	2	-31.59514
957=	2	-31.75741
957=	2	-31.91669
957=	2	-31.95000
957=	2	-32.04800
957=	2	-32.27972
957=	2	-32.30335
957=	2	-32.33334
957=	2	-32.40000
957=	2	-32.60000
957=	2	-33.07416
957=	2	-33.07900
957=	2	-33.08715
957=	2	-33.20722
957=	2	-33.24397
957=	2	-33.40000
957=	2	-33.43227
957=	2	-33.48333
957=	2	-33.61549
957=	2	-33.65916
957=	2	-33.71667
957=	2	-33.73197
957=	2	-33.76111
957=	2	-33.76500
957=	2	-33.76711
957=	2	-33.79083
957=	2	-33.80000
957=	2	-33.85781
957=	2	-33.89949
957=	2	-34.10200
957=	2	-34.14100
957=	2	-34.26273
957=	2	-34.26399
957=	2	-34.26742
957=	2	-34.27000
957=	2	-34.31667
957=	2	-34.36389
957=	2	-34.39000
957=	2	-34.70967
957=	2	-34.81335
957=	2	-34.83066
957=	2	-34.94436
957=	2	-34.96666
957=	2	-34.98624
957=	2	-35.02535
957=	2	-35.07114
957=	2	-35.15434
957=	2	-35.16000
957=	2	-35.21000
957=	2	-35.48726
957=	2	-35.51520
957=	2	-35.55000
957=	2	-35.61667
957=	2	-35.61800
957=	2	-35.76339
957=	2	-35.88800
957=	2	-36.12700
957=	2	-36.25041
957=	2	-36.28180
957=	2	-36.34900
957=	2	-36.76666
957=	2	-36.97245
957=	2	-37.37871
957=	2	-37.75600
957=	2	-38.07306
957=	2	-38.07694
957=	2	-38.91667
957=	2	-40.87200
957=	2	-41.00250
957=	2	-41.05300
957=	2	-41.08253
957=	2	-41.22000
957=	2	-41.34500
957=	2	-41.36504
957=	2	-41.46000
957=	2	-41.49000
957=	2	-41.63645
957=	2	-41.80788
957=	2	-42.16000
957=	2	-42.67944
957=	2	-42.75428
957=	2	-42.82103
957=	2	-42.83345
957=	2	-42.89600
957=	2	-42.95950
957=	2	-42.98208
957=	2	-43.09000
957=	2	-6.90000
957=	2	-9.50000
957=	2	3.02277
957=	2	35.78818
957=	2	35.87857
957=	2	39.94927
957=	2	39.95718
957=	2	40.18302
957=	2	42.05055
957=	2	42.05947
957=	2	42.76667
1175=	1	-10.27000
1175=	1	-10.30000
1175=	1	-10.68300
1175=	1	-11.55000
1175=	1	-11.56479
1175=	1	-12.17149
1175=	1	-12.20000
1175=	1	-12.22000
1175=	1	-12.38333
1175=	1	-12.42475
1175=	1	-12.43000
1175=	1	-12.44000
1175=	1	-12.46000
1175=	1	-12.46670
1175=	1	-12.64579
1175=	1	-12.75900
1175=	1	-12.85000
1175=	1	-12.86666
1175=	1	-12.86667
1175=	1	-12.95000
1175=	1	-13.00896
1175=	1	-13.37000
1175=	1	-13.75000
1175=	1	-13.98017
1175=	1	-14.19833
1175=	1	-14.27370
1175=	1	-14.28248
1175=	1	-14.29000
1175=	1	-14.31563
1175=	1	-14.51600
1175=	1	-14.52000
1175=	1	-14.86933
1175=	1	-15.02000
1175=	1	-15.05000
1175=	1	-15.11916
1175=	1	-15.19000
1175=	1	-15.26608
1175=	1	-15.30000
1175=	1	-15.45000
1175=	1	-15.47000
1175=	1	-15.53000
1175=	1	-15.71667
1175=	1	-15.73702
1175=	1	-15.76667
1175=	1	-15.79147
1175=	1	-16.02000
1175=	1	-16.03000
1175=	1	-16.04077
1175=	1	-16.07000
1175=	1	-16.10000
1175=	1	-16.12167
1175=	1	-16.16666
1175=	1	-16.17124
1175=	1	-16.21666
1175=	1	-16.22261
1175=	1	-16.44000
1175=	1	-16.44776
1175=	1	-16.45291
1175=	1	-16.45695
1175=	1	-16.47083
1175=	1	-16.47500
1175=	1	-16.48000
1175=	1	-16.51167
1175=	1	-16.52456
1175=	1	-16.57355
1175=	1	-16.58300
1175=	1	-16.58834
1175=	1	-16.59745
1175=	1	-16.63719
1175=	1	-16.66000
1175=	1	-16.67423
1175=	1	-16.67718
1175=	1	-16.70000
1175=	1	-16.79820
1175=	1	-16.80000
1175=	1	-16.88508
1175=	1	-16.93278
1175=	1	-16.98933
1175=	1	-17.00525
1175=	1	-17.03167
1175=	1	-17.03861
1175=	1	-17.06314
1175=	1	-17.06694
1175=	1	-17.09509
1175=	1	-17.15500
1175=	1	-17.25000
1175=	1	-17.25883
1175=	1	-17.26472
1175=	1	-17.27000
1175=	1	-17.27078
1175=	1	-17.27100
1175=	1	-17.28574
1175=	1	-17.29494
1175=	1	-17.36525
1175=	1	-17.37450
