rank	count	Host photo
120=	15	http://research.amnh.org/pbi/specimen/pbi_wa04l02h20.jpg;http://research.amnh.org/pbi/specimen/wa04l2h20a.jpg;http://research.amnh.org/pbi/specimen/wa04l2h20b.jpg
120=	15	http://research.amnh.org/pbi/specimen/pbi_wa04l11h87.jpg;http://research.amnh.org/pbi/specimen/wa04l11h87a.jpg;http://research.amnh.org/pbi/specimen/wa04l11h87b.jpg
120=	15	http://research.amnh.org/pbi/specimen/pbi_wa04l14h111.jpg;http://research.amnh.org/pbi/specimen/wa04l14h111a.jpg;http://research.amnh.org/pbi/specimen/wa04l14h111b.jpg
120=	15	http://research.amnh.org/pbi/specimen/tas04l33h42e.jpg;http://research.amnh.org/pbi/specimen/tas04l33h42.jpg
120=	15	http://research.amnh.org/pbi/specimen/wa 1996 l15 h038.jpg
120=	15	http://research.amnh.org/pbi/specimen/wa 1996 l27 h093.jpg
120=	15	http://research.amnh.org/pbi/specimen/wa 1997 l61 h129.jpg
120=	15	http://research.amnh.org/pbi/specimen/wa1999 l06 h019.jpg;http://research.amnh.org/pbi/specimen/wa99l06h19d.jpg;http://research.amnh.org/pbi/specimen/wa99l06h19e.jpg
120=	15	http://research.amnh.org/pbi/specimen/wa1999 l51 h166.jpg
130=	14	http://research.amnh.org/pbi/specimen/pbi_wa04l44h290.jpg
130=	14	http://research.amnh.org/pbi/specimen/wa1999 l03 h007.jpg;http://research.amnh.org/pbi/specimen/wa99l07h7a.jpg;http://research.amnh.org/pbi/specimen/wa99l07h7b.jpg
132=	13	http://research.amnh.org/pbi/specimen/ca01h47b.jpg;http://research.amnh.org/pbi/specimen/ca01h47a.jpg;http://research.amnh.org/pbi/specimen/ca01h47c.jpg;http://research.amnh.org/pbi/specimen/ca01h47e.jpg;http://research.amnh.org/pbi/specimen/ca01h47d.jpg
132=	13	http://research.amnh.org/pbi/specimen/pbi_wa04l06h57.jpg;http://research.amnh.org/pbi/specimen/wa04l6h57a.jpg;http://research.amnh.org/pbi/specimen/wa04l6h57a2.jpg;http://research.amnh.org/pbi/specimen/wa04l6h57b.jpg
132=	13	http://research.amnh.org/pbi/specimen/tas04l15h22a.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22b.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22c.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22d.jpg
132=	13	http://research.amnh.org/pbi/specimen/wa 1997 l46 h081.jpg
132=	13	http://research.amnh.org/pbi/specimen/wa04l2h17a.jpg;http://research.amnh.org/pbi/specimen/wa04l2h17b.jpg
132=	13	http://research.amnh.org/pbi/specimen/wa1999 l45 h146.jpg
132=	13	http://research.amnh.org/pbi/specimen/wa1999 l54 h182.jpg
139=	12	http://research.amnh.org/pbi/specimen/nsw 1995 l52 h088.jpg
139=	12	http://research.amnh.org/pbi/specimen/nsw 1995 l54 h091.jpg
139=	12	http://research.amnh.org/pbi/specimen/pbi_wa04_l51_h328_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l51_hc328.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l51h328.jpg
139=	12	http://research.amnh.org/pbi/specimen/pbi_wa04l15h138.jpg
139=	12	http://research.amnh.org/pbi/specimen/wa 1996 l24 h084.jpg
139=	12	http://research.amnh.org/pbi/specimen/wa1999 l18 h062.jpg
139=	12	http://research.amnh.org/pbi/specimen/wa1999 l53 h178.jpg
139=	12	http://research.amnh.org/pbi/specimen/wa1999 l65 h205.jpg
147=	11	http://research.amnh.org/pbi/specimen/nsw 1995 l03 h002.jpg
147=	11	http://research.amnh.org/pbi/specimen/nsw 1995 l04 h004.jpg
147=	11	http://research.amnh.org/pbi/specimen/pbi_wa04l09h76.jpg;http://research.amnh.org/pbi/specimen/wa04l9h76a.jpg;http://research.amnh.org/pbi/specimen/wa04l9h76b.jpg
147=	11	http://research.amnh.org/pbi/specimen/tas04l15h21b.jpg;http://research.amnh.org/pbi/specimen/tas04l15h21c.jpg;http://research.amnh.org/pbi/specimen/tas04l15h21a.jpg;http://research.amnh.org/pbi/specimen/tas04l15h21d.jpg
147=	11	http://research.amnh.org/pbi/specimen/wa 1996 l45 h135.jpg
147=	11	http://research.amnh.org/pbi/specimen/wa1999 l08 h037.jpg
147=	11	http://research.amnh.org/pbi/specimen/wa1999 l21 h074.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74a.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74b.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74c.jpg
147=	11	http://research.amnh.org/pbi/specimen/wa1999 l44 h143.jpg;http://research.amnh.org/pbi/specimen/wa99l44h143a.jpg
155=	10	http://research.amnh.org/pbi/specimen/nsw 1995 l50 h086.jpg
155=	10	http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h212.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h212_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc212.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l32h212.jpg
155=	10	http://research.amnh.org/pbi/specimen/pbi_wa04l18h161.jpg;http://research.amnh.org/pbi/specimen/pbiwa04l18h161a.jpg;http://research.amnh.org/pbi/specimen/pbiwa04l18h161b.jpg
155=	10	http://research.amnh.org/pbi/specimen/wa 1996 l15 h042.jpg
155=	10	http://research.amnh.org/pbi/specimen/wa1999 l33 h120.jpg
160=	9	http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h220.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h220_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h220_03.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_h220_04.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc220.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc220_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc220_02.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc220_03.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l32_hc220_04.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l32h220.jpg
160=	9	http://research.amnh.org/pbi/specimen/pbi_wa04_l51_h326_01.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04_l51_hc326.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l51h326.jpg
