rank	count	From
244=	1	Rhizophila marina
244=	1	Rinodina australiensis
244=	1	Saagaromyces glitra
244=	1	Saccardoella mangrovei
244=	1	Sarcographa subtricosa
244=	1	Sarmatium crassum
244=	1	Savoryella longispora
244=	1	Scaevola taccada
244=	1	Schiffneriolejeunea tumida
244=	1	Schismatomma occultum
244=	1	Schizophyllum commune
244=	1	Sclerophyton conspicuum
244=	1	Solenopsis
244=	1	Stenothyra australis
244=	1	Swampomyces armeniacus
244=	1	Swampomyces triseptus
244=	1	Syntherata janetta
244=	1	Tapinoma
244=	1	Tatea huonensis
244=	1	Tephromela alectoronica
244=	1	Tephromela isidiosa
244=	1	Teredothyra matocotana
244=	1	Theclinesthes serpentata
244=	1	Thelotrema lepadodes
244=	1	Tunicatispora australiensis
244=	1	Uca longidigita
244=	1	Uca perplexa
244=	1	Usnea nidifica
244=	1	Usnea ramulosissima
244=	1	Usnea rubrotincta
244=	1	Velacumantus australis
244=	1	Wilsonia humilis

1906	TOTAL
