rank	count	N_FAMILY
234=	1	HOLOCENTRIDAE
234=	1	HYPNIDAE
234=	1	Haematopodidae
234=	1	Halcyonidae
234=	1	Hemerocallidaceae
234=	1	Hemigaleidae
234=	1	Hypsiprymnodontidae
234=	1	ISOCRINIDAE
234=	1	ISTIOPHORIDAE
234=	1	KOGIIDAE
234=	1	LAMNIDAE
234=	1	LEGUMINOSAE
234=	1	LEIOGNATHIDAE
234=	1	LILIACEAE
234=	1	LITORIDAE
234=	1	LOGANIACEAE
234=	1	LYTHRACEAE
234=	1	Latridae
234=	1	Leguminosae
234=	1	MATUTIDAE
234=	1	MEGADERMATIDAE
234=	1	MENURIDAE
234=	1	MEROPIDAE
234=	1	MOTACILLIDAE
234=	1	MULLIDAE
234=	1	MURAENIDAE
234=	1	MUSCICAPIDAE
234=	1	MUSTELIDAE
234=	1	MYLIOBATIDIDAE
234=	1	MYOXIDAE
234=	1	Macropdidae
234=	1	Malvaceae
234=	1	Megapodiidae
234=	1	Menispermaceae
234=	1	Mugilidae
234=	1	Mustelidae
234=	1	Myobatrachidae
234=	1	Myrmecobiidae
234=	1	NARCINIDAE
234=	1	Notoryctidae
234=	1	OCULINIDAE
234=	1	ODONTASTERIDAE
234=	1	ORIOLIDAE
234=	1	OSTEOGLOSSIDAE
234=	1	OSTRACIIDAE
234=	1	Ostraciidae
234=	1	PAPAVERACEAE
234=	1	PARACRYPHIACEAE
234=	1	PARASCYLIIDAE
234=	1	PARASTACIDAE
234=	1	PARDALOTIDAE
234=	1	PARTHENOPIDAE
234=	1	PASSERINIDAE
234=	1	PENTACEROTIDAE
234=	1	PETROIDIDAE
234=	1	PHALOCROCORACIDAE
234=	1	PILUMNIDAE
234=	1	PLEURONECTIDAE
234=	1	PODARGIDAE
234=	1	POECILIIDAE
234=	1	POLYNEMIDAE
234=	1	POMACANTHIDAE
234=	1	POMACENTRIDAE
234=	1	POMATOMIDAE
234=	1	PORELLANIDAE
234=	1	PRIMNOIDAE
234=	1	PUNICACEAE
234=	1	PYGOPODIDAE
234=	1	Pachycephalidae
234=	1	Palmae
234=	1	Pandanaceae
234=	1	Petauridae
234=	1	Phalangeridae
234=	1	Phasianidae
234=	1	Pittosporaceae
234=	1	Platycephalidae
234=	1	Polynemidae
234=	1	Pomatostominae
234=	1	Proteaaceae
234=	1	RACHYCENTRIDAE
234=	1	RAJIDAE
234=	1	RHIZOPHORACEAE
234=	1	ROSSELLIDAE
234=	1	Ranidae
234=	1	Recurvirostridae
234=	1	Rhamnaceae
234=	1	Rhizophoraceae
234=	1	Rosaceae
234=	1	SCATOPHAGIDAE
234=	1	SERRANDIAE
234=	1	SPARIIDAE
234=	1	SPHENOPIDAE
234=	1	SQUALIDAE
234=	1	STEGOSTOMATIDAE
234=	1	STROMATEIDAE
234=	1	STYLASTERIDAE
234=	1	Santalaceae
234=	1	Serranidae
234=	1	Solanaceae
234=	1	Sparidae
234=	1	Sterculiaceae
234=	1	Struthionidae
234=	1	TETRAODONTIDAE
234=	1	THEACEAE
234=	1	THYLACOMYIDAE
234=	1	TINGIDAE
234=	1	TORPEDINIDAE
234=	1	TRIACANTHIDAE
234=	1	TROPIOMETRIDAE
234=	1	Termitidae
234=	1	ULMACEAE
234=	1	VERBENACEAE
234=	1	VIOLACEAE
234=	1	VITACEAE
234=	1	Verbenaceae
234=	1	Vitaceae
234=	1	Vombatidae
234=	1	XIPHIIDAE
234=	1	ZIPHIIDAE
234=	1	ZOROASTERIDAE
234=	1	ZYGOMETRIDAE
234=	1	pristidae
234=	1	scombridae
234=	1	sparidae
234=	1	squalidae
234=	1	triakidae
234=	1	urolophidae

2665	TOTAL
