rank	count	cc_attributionURL
123=	1	http://biodiversity.org.au/afd.taxon/019a37e0-0ce1-4e69-9e38-150d6afacbc8
123=	1	http://biodiversity.org.au/afd.taxon/01b45e80-98b3-475d-86c2-06f54734eb8d
123=	1	http://biodiversity.org.au/afd.taxon/01d05c50-e514-4df3-907a-30b903ced18a
123=	1	http://biodiversity.org.au/afd.taxon/01ea9ff9-f36f-4d0e-aef4-3fb0a07dc71c
123=	1	http://biodiversity.org.au/afd.taxon/0228450d-768d-4114-abb3-83f38a1afb67
123=	1	http://biodiversity.org.au/afd.taxon/02711fe3-84d1-4dbc-bd35-aeb54dd06b78
123=	1	http://biodiversity.org.au/afd.taxon/027c77d4-7a96-4163-8cdc-aaa08e07ad67
123=	1	http://biodiversity.org.au/afd.taxon/029422de-c0a9-467c-b329-058d0149716f
123=	1	http://biodiversity.org.au/afd.taxon/029ed7d7-cf30-4268-93b5-232feb984309
123=	1	http://biodiversity.org.au/afd.taxon/02a6bc59-a311-4eeb-b485-7bfcdd2df5bb
123=	1	http://biodiversity.org.au/afd.taxon/02b26737-5592-4f4c-884d-dc8fcfda423d
123=	1	http://biodiversity.org.au/afd.taxon/02cdf2b6-40e7-4bda-a0a2-166ab302426b
123=	1	http://biodiversity.org.au/afd.taxon/02d04257-f776-481a-8a4c-b80506028df1
123=	1	http://biodiversity.org.au/afd.taxon/0347d64d-14cf-42d6-b849-c2f521ae02ed
123=	1	http://biodiversity.org.au/afd.taxon/0354b7ac-2836-4b36-a89b-0ca74225823b
123=	1	http://biodiversity.org.au/afd.taxon/0369cc6f-64fe-40b6-b765-0a26511e61a8
123=	1	http://biodiversity.org.au/afd.taxon/03725056-1233-47b0-be10-b0d3ae2f41d2
123=	1	http://biodiversity.org.au/afd.taxon/0378a539-ed26-49b9-808a-cd129be6a008
123=	1	http://biodiversity.org.au/afd.taxon/0380d996-ee3f-467e-87df-6da4b8e27a91
123=	1	http://biodiversity.org.au/afd.taxon/03856ed2-28d9-40b6-b0d2-e17e6a832ca5
123=	1	http://biodiversity.org.au/afd.taxon/0385948f-36c2-47e1-81f4-b42503bebd4f
